N, WxH, Clock, Param0
0, 16x16, 12000, 0
0, 16x16, 11760, 0
0, 16x16, 11578, 0
0, 16x16, 11700, 0
0, 16x16, 19368, 0
0, 16x16, 178810, 0
0, 16x16, 11373, 0
0, 16x16, 18555, 0
0, 16x16, 18636, 0
0, 16x16, 11673, 0
0, 16x16, 11402, 0
0, 16x16, 12310, 0
0, 16x16, 12226, 0
0, 16x16, 19053, 0
0, 16x16, 18680, 0
0, 16x16, 11419, 0
0, 16x16, 11534, 0
0, 16x16, 11772, 0
0, 16x16, 13062, 0
0, 16x16, 18951, 0
0, 16x16, 11781, 0
0, 16x16, 11561, 0
0, 16x16, 23871, 0
0, 16x16, 11581, 0
0, 16x16, 19102, 0
0, 16x16, 11894, 0
0, 16x16, 11963, 0
0, 16x16, 11714, 0
0, 16x16, 11535, 0
0, 16x16, 11703, 0
0, 16x16, 19377, 0
0, 16x16, 11378, 0
0, 16x16, 11821, 0
0, 16x16, 12206, 0
0, 16x16, 15204, 0
0, 16x16, 18488, 0
0, 16x16, 17817, 0
0, 16x16, 11844, 0
0, 16x16, 11717, 0
0, 16x16, 11975, 0
0, 16x16, 11662, 0
0, 16x16, 11786, 0
0, 16x16, 18856, 0
0, 16x16, 19021, 0
0, 16x16, 11743, 0
0, 16x16, 11471, 0
0, 16x16, 11766, 0
0, 16x16, 13291, 0
0, 16x16, 11827, 0
0, 16x16, 11332, 0
0, 16x16, 12304, 0
0, 16x16, 11667, 0
0, 16x16, 12339, 0
0, 16x16, 11877, 0
0, 16x16, 11541, 0
0, 16x16, 11592, 0
0, 16x16, 18748, 0
0, 16x16, 18002, 0
0, 16x16, 11625, 0
0, 16x16, 11416, 0
0, 16x16, 11902, 0
0, 16x16, 12204, 0
0, 16x16, 12223, 0
0, 16x16, 11688, 0
0, 16x16, 12842, 0
0, 16x16, 11656, 0
0, 16x16, 11676, 0
0, 16x16, 11292, 0
0, 16x16, 22878, 0
0, 16x16, 11433, 0
0, 16x16, 18642, 0
0, 16x16, 18231, 0
0, 16x16, 11839, 0
0, 16x16, 12617, 0
0, 16x16, 11375, 0
0, 16x16, 11421, 0
0, 16x16, 19056, 0
0, 16x16, 18353, 0
0, 16x16, 12168, 0
0, 16x16, 11972, 0
0, 16x16, 11378, 0
0, 16x16, 11596, 0
0, 16x16, 12752, 0
0, 16x16, 11538, 0
0, 16x16, 12350, 0
0, 16x16, 12797, 0
0, 16x16, 18882, 0
0, 16x16, 18810, 0
0, 16x16, 11671, 0
0, 16x16, 11702, 0
0, 16x16, 11980, 0
0, 16x16, 12033, 0
0, 16x16, 11827, 0
0, 16x16, 11752, 0
0, 16x16, 22120, 0
0, 16x16, 11882, 0
0, 16x16, 11717, 0
0, 16x16, 11633, 0
0, 16x16, 19047, 0
0, 16x16, 11905, 0
1, 16x16, 12134, 0
1, 16x16, 12912, 0
1, 16x16, 12035, 0
1, 16x16, 11622, 0
1, 16x16, 12745, 0
1, 16x16, 11951, 0
1, 16x16, 11723, 0
1, 16x16, 11884, 0
1, 16x16, 12119, 0
1, 16x16, 11454, 0
1, 16x16, 18650, 0
1, 16x16, 18989, 0
1, 16x16, 11483, 0
1, 16x16, 11838, 0
1, 16x16, 11659, 0
1, 16x16, 19432, 0
1, 16x16, 11430, 0
1, 16x16, 11590, 0
1, 16x16, 12085, 0
1, 16x16, 11870, 0
1, 16x16, 11442, 0
1, 16x16, 11725, 0
1, 16x16, 11416, 0
1, 16x16, 12046, 0
1, 16x16, 11891, 0
1, 16x16, 21912, 0
1, 16x16, 11804, 0
1, 16x16, 11613, 0
1, 16x16, 11521, 0
1, 16x16, 11604, 0
1, 16x16, 12559, 0
1, 16x16, 19632, 0
1, 16x16, 11862, 0
1, 16x16, 18798, 0
1, 16x16, 18219, 0
1, 16x16, 12084, 0
1, 16x16, 11946, 0
1, 16x16, 11656, 0
1, 16x16, 11680, 0
1, 16x16, 11838, 0
1, 16x16, 12030, 0
1, 16x16, 12151, 0
1, 16x16, 11743, 0
1, 16x16, 11870, 0
1, 16x16, 11468, 0
1, 16x16, 11459, 0
1, 16x16, 11714, 0
1, 16x16, 12266, 0
1, 16x16, 11587, 0
1, 16x16, 11541, 0
1, 16x16, 21856, 0
1, 16x16, 11633, 0
1, 16x16, 18969, 0
1, 16x16, 11569, 0
1, 16x16, 11984, 0
1, 16x16, 11711, 0
1, 16x16, 11436, 0
1, 16x16, 11703, 0
1, 16x16, 11612, 0
1, 16x16, 11541, 0
1, 16x16, 19194, 0
1, 16x16, 11676, 0
1, 16x16, 12172, 0
1, 16x16, 11830, 0
1, 16x16, 11743, 0
1, 16x16, 11764, 0
1, 16x16, 11659, 0
1, 16x16, 22609, 0
1, 16x16, 11821, 0
1, 16x16, 12041, 0
1, 16x16, 11697, 0
1, 16x16, 12018, 0
1, 16x16, 18905, 0
1, 16x16, 11867, 0
1, 16x16, 12053, 0
1, 16x16, 11392, 0
1, 16x16, 11315, 0
1, 16x16, 11668, 0
1, 16x16, 18497, 0
1, 16x16, 11691, 0
1, 16x16, 19180, 0
1, 16x16, 11512, 0
1, 16x16, 11364, 0
1, 16x16, 11732, 0
1, 16x16, 33739, 0
1, 16x16, 12070, 0
1, 16x16, 11966, 0
1, 16x16, 18728, 0
1, 16x16, 21944, 0
1, 16x16, 19380, 0
1, 16x16, 12947, 0
1, 16x16, 12099, 0
1, 16x16, 11563, 0
1, 16x16, 12023, 0
1, 16x16, 11654, 0
1, 16x16, 11887, 0
1, 16x16, 4037, 0
1, 16x16, 11558, 0
1, 16x16, 11445, 0
