N, WxH, Clock, Param0
0, 16x16, 2509, 0.5
0, 16x16, 2757, 0.5
0, 16x16, 4250, 0.5
0, 16x16, 2676, 0.5
0, 16x16, 4718, 0.5
0, 16x16, 3328, 0.5
0, 16x16, 4170, 0.5
0, 16x16, 3192, 0.5
0, 16x16, 3276, 0.5
0, 16x16, 2669, 0.5
0, 16x16, 2743, 0.5
0, 16x16, 4165, 0.5
0, 16x16, 2748, 0.5
0, 16x16, 3488, 0.5
0, 16x16, 2636, 0.5
0, 16x16, 3308, 0.5
0, 16x16, 3150, 0.5
0, 16x16, 3464, 0.5
0, 16x16, 6510, 0.5
0, 16x16, 2739, 0.5
0, 16x16, 2761, 0.5
0, 16x16, 3975, 0.5
0, 16x16, 6250, 0.5
0, 16x16, 6017, 0.5
0, 16x16, 4866, 0.5
0, 16x16, 4090, 0.5
0, 16x16, 3075, 0.5
0, 16x16, 2597, 0.5
0, 16x16, 4544, 0.5
0, 16x16, 3446, 0.5
0, 16x16, 3188, 0.5
0, 16x16, 3141, 0.5
0, 16x16, 3209, 0.5
0, 16x16, 5650, 0.5
0, 16x16, 3680, 0.5
0, 16x16, 3308, 0.5
0, 16x16, 2552, 0.5
0, 16x16, 3624, 0.5
0, 16x16, 3376, 0.5
0, 16x16, 2685, 0.5
0, 16x16, 4513, 0.5
0, 16x16, 3935, 0.5
0, 16x16, 4575, 0.5
0, 16x16, 3162, 0.5
0, 16x16, 2564, 0.5
0, 16x16, 3328, 0.5
0, 16x16, 3550, 0.5
0, 16x16, 2724, 0.5
0, 16x16, 4130, 0.5
0, 16x16, 3280, 0.5
0, 16x16, 3300, 0.5
0, 16x16, 2736, 0.5
0, 16x16, 5600, 0.5
0, 16x16, 3556, 0.5
0, 16x16, 3430, 0.5
0, 16x16, 3033, 0.5
0, 16x16, 3292, 0.5
0, 16x16, 6158, 0.5
0, 16x16, 2752, 0.5
0, 16x16, 3187, 0.5
0, 16x16, 3344, 0.5
0, 16x16, 4400, 0.5
0, 16x16, 6150, 0.5
0, 16x16, 2655, 0.5
0, 16x16, 4794, 0.5
0, 16x16, 3188, 0.5
0, 16x16, 2591, 0.5
0, 16x16, 2497, 0.5
0, 16x16, 2782, 0.5
0, 16x16, 3504, 0.5
0, 16x16, 3128, 0.5
0, 16x16, 2891, 0.5
0, 16x16, 3556, 0.5
0, 16x16, 5129, 0.5
0, 16x16, 3167, 0.5
0, 16x16, 5983, 0.5
0, 16x16, 2597, 0.5
0, 16x16, 3200, 0.5
0, 16x16, 3225, 0.5
0, 16x16, 2718, 0.5
0, 16x16, 3870, 0.5
0, 16x16, 6067, 0.5
0, 16x16, 3229, 0.5
0, 16x16, 2663, 0.5
0, 16x16, 3324, 0.5
0, 16x16, 5257, 0.5
0, 16x16, 4275, 0.5
0, 16x16, 3464, 0.5
0, 16x16, 3656, 0.5
0, 16x16, 2579, 0.5
0, 16x16, 3304, 0.5
0, 16x16, 2597, 0.5
0, 16x16, 3656, 0.5
0, 16x16, 2700, 0.5
0, 16x16, 3150, 0.5
0, 16x16, 4212, 0.5
0, 16x16, 3133, 0.5
0, 16x16, 6025, 0.5
0, 16x16, 3280, 0.5
0, 16x16, 2879, 0.5
1, 32x32, 13875, 0.5
1, 32x32, 10816, 0.5
1, 32x32, 8149, 0.5
1, 32x32, 8251, 0.5
1, 32x32, 8730, 0.5
1, 32x32, 15363, 0.5
1, 32x32, 8103, 0.5
1, 32x32, 11154, 0.5
1, 32x32, 15263, 0.5
1, 32x32, 14415, 0.5
1, 32x32, 10792, 0.5
1, 32x32, 8115, 0.5
1, 32x32, 11860, 0.5
1, 32x32, 8118, 0.5
1, 32x32, 8100, 0.5
1, 32x32, 8582, 0.5
1, 32x32, 8576, 0.5
1, 32x32, 10796, 0.5
1, 32x32, 8015, 0.5
1, 32x32, 8618, 0.5
1, 32x32, 11322, 0.5
1, 32x32, 8651, 0.5
1, 32x32, 10856, 0.5
1, 32x32, 11824, 0.5
1, 32x32, 8797, 0.5
1, 32x32, 17386, 0.5
1, 32x32, 8612, 0.5
1, 32x32, 11342, 0.5
1, 32x32, 8700, 0.5
1, 32x32, 8216, 0.5
1, 32x32, 8124, 0.5
1, 32x32, 10446, 0.5
1, 32x32, 10391, 0.5
1, 32x32, 10756, 0.5
1, 32x32, 10688, 0.5
1, 32x32, 10796, 0.5
1, 32x32, 16312, 0.5
1, 32x32, 10840, 0.5
1, 32x32, 10840, 0.5
1, 32x32, 8633, 0.5
1, 32x32, 8006, 0.5
1, 32x32, 14405, 0.5
1, 32x32, 8067, 0.5
1, 32x32, 12355, 0.5
1, 32x32, 10250, 0.5
1, 32x32, 8188, 0.5
1, 32x32, 8119, 0.5
1, 32x32, 10521, 0.5
1, 32x32, 12706, 0.5
1, 32x32, 12982, 0.5
1, 32x32, 10796, 0.5
1, 32x32, 14515, 0.5
1, 32x32, 44965, 0.5
1, 32x32, 13195, 0.5
1, 32x32, 15213, 0.5
1, 32x32, 11376, 0.5
1, 32x32, 8882, 0.5
1, 32x32, 8639, 0.5
1, 32x32, 13020, 0.5
1, 32x32, 10764, 0.5
1, 32x32, 12472, 0.5
1, 32x32, 8064, 0.5
1, 32x32, 10412, 0.5
1, 32x32, 8679, 0.5
1, 32x32, 8566, 0.5
1, 32x32, 10367, 0.5
1, 32x32, 8167, 0.5
1, 32x32, 14550, 0.5
1, 32x32, 8670, 0.5
1, 32x32, 12945, 0.5
1, 32x32, 20283, 0.5
1, 32x32, 8806, 0.5
1, 32x32, 12955, 0.5
1, 32x32, 10848, 0.5
1, 32x32, 10434, 0.5
1, 32x32, 10780, 0.5
1, 32x32, 11800, 0.5
1, 32x32, 8682, 0.5
1, 32x32, 8091, 0.5
1, 32x32, 8833, 0.5
1, 32x32, 15200, 0.5
1, 32x32, 15288, 0.5
1, 32x32, 8655, 0.5
1, 32x32, 10836, 0.5
1, 32x32, 8131, 0.5
1, 32x32, 8158, 0.5
1, 32x32, 19251, 0.5
1, 32x32, 10296, 0.5
1, 32x32, 10313, 0.5
1, 32x32, 12250, 0.5
1, 32x32, 8639, 0.5
1, 32x32, 8582, 0.5
1, 32x32, 10872, 0.5
1, 32x32, 16376, 0.5
1, 32x32, 10442, 0.5
1, 32x32, 11680, 0.5
1, 32x32, 18865, 0.5
1, 32x32, 8191, 0.5
1, 32x32, 10880, 0.5
1, 32x32, 20425, 0.5
2, 64x64, 44112, 0.5
2, 64x64, 68965, 0.5
2, 64x64, 40500, 0.5
2, 64x64, 33860, 0.5
2, 64x64, 40484, 0.5
2, 64x64, 40592, 0.5
2, 64x64, 40925, 0.5
2, 64x64, 53675, 0.5
2, 64x64, 42464, 0.5
2, 64x64, 42428, 0.5
2, 64x64, 31455, 0.5
2, 64x64, 33464, 0.5
2, 64x64, 64482, 0.5
2, 64x64, 64712, 0.5
2, 64x64, 33467, 0.5
2, 64x64, 31818, 0.5
2, 64x64, 46280, 0.5
2, 64x64, 42192, 0.5
2, 64x64, 46288, 0.5
2, 64x64, 42252, 0.5
2, 64x64, 42208, 0.5
2, 64x64, 40442, 0.5
2, 64x64, 44366, 0.5
2, 64x64, 31424, 0.5
2, 64x64, 42116, 0.5
2, 64x64, 64582, 0.5
2, 64x64, 46200, 0.5
2, 64x64, 40371, 0.5
2, 64x64, 44196, 0.5
2, 64x64, 42304, 0.5
2, 64x64, 42108, 0.5
2, 64x64, 33703, 0.5
2, 64x64, 46160, 0.5
2, 64x64, 80350, 0.5
2, 64x64, 42336, 0.5
2, 64x64, 31297, 0.5
2, 64x64, 32557, 0.5
2, 64x64, 51020, 0.5
2, 64x64, 42052, 0.5
2, 64x64, 33379, 0.5
2, 64x64, 42192, 0.5
2, 64x64, 44192, 0.5
2, 64x64, 68928, 0.5
2, 64x64, 60569, 0.5
2, 64x64, 42336, 0.5
2, 64x64, 31451, 0.5
2, 64x64, 31412, 0.5
2, 64x64, 31440, 0.5
2, 64x64, 33433, 0.5
2, 64x64, 31324, 0.5
2, 64x64, 33640, 0.5
2, 64x64, 33588, 0.5
2, 64x64, 42928, 0.5
2, 64x64, 46024, 0.5
2, 64x64, 31527, 0.5
2, 64x64, 69021, 0.5
2, 64x64, 50815, 0.5
2, 64x64, 42196, 0.5
2, 64x64, 40566, 0.5
2, 64x64, 44576, 0.5
2, 64x64, 53810, 0.5
2, 64x64, 40529, 0.5
2, 64x64, 31515, 0.5
2, 64x64, 33679, 0.5
2, 64x64, 44092, 0.5
2, 64x64, 31448, 0.5
2, 64x64, 40384, 0.5
2, 64x64, 40517, 0.5
2, 64x64, 41113, 0.5
2, 64x64, 53825, 0.5
2, 64x64, 53880, 0.5
2, 64x64, 64534, 0.5
2, 64x64, 33788, 0.5
2, 64x64, 57095, 0.5
2, 64x64, 51040, 0.5
2, 64x64, 31421, 0.5
2, 64x64, 40621, 0.5
2, 64x64, 46200, 0.5
2, 64x64, 42308, 0.5
2, 64x64, 33570, 0.5
2, 64x64, 33682, 0.5
2, 64x64, 33751, 0.5
2, 64x64, 33661, 0.5
2, 64x64, 44618, 0.5
2, 64x64, 40358, 0.5
2, 64x64, 60575, 0.5
2, 64x64, 31449, 0.5
2, 64x64, 33579, 0.5
2, 64x64, 46160, 0.5
2, 64x64, 40733, 0.5
2, 64x64, 53900, 0.5
2, 64x64, 42288, 0.5
2, 64x64, 40458, 0.5
2, 64x64, 46176, 0.5
2, 64x64, 42392, 0.5
2, 64x64, 31618, 0.5
2, 64x64, 31345, 0.5
2, 64x64, 40513, 0.5
2, 64x64, 33630, 0.5
2, 64x64, 64588, 0.5
3, 128x128, 170654, 0.5
3, 128x128, 313858, 0.5
3, 128x128, 223046, 0.5
3, 128x128, 269865, 0.5
3, 128x128, 124652, 0.5
3, 128x128, 198600, 0.5
3, 128x128, 197180, 0.5
3, 128x128, 129531, 0.5
3, 128x128, 308105, 0.5
3, 128x128, 133042, 0.5
3, 128x128, 187890, 0.5
3, 128x128, 161043, 0.5
3, 128x128, 156729, 0.5
3, 128x128, 121185, 0.5
3, 128x128, 163496, 0.5
3, 128x128, 129488, 0.5
3, 128x128, 164624, 0.5
3, 128x128, 129755, 0.5
3, 128x128, 130285, 0.5
3, 128x128, 166244, 0.5
3, 128x128, 249800, 0.5
3, 128x128, 121079, 0.5
3, 128x128, 123439, 0.5
3, 128x128, 121285, 0.5
3, 128x128, 221410, 0.5
3, 128x128, 197340, 0.5
3, 128x128, 219006, 0.5
3, 128x128, 121270, 0.5
3, 128x128, 240280, 0.5
3, 128x128, 121022, 0.5
3, 128x128, 129554, 0.5
3, 128x128, 164448, 0.5
3, 128x128, 121570, 0.5
3, 128x128, 209795, 0.5
3, 128x128, 156687, 0.5
3, 128x128, 197275, 0.5
3, 128x128, 157396, 0.5
3, 128x128, 189310, 0.5
3, 128x128, 250354, 0.5
3, 128x128, 170646, 0.5
3, 128x128, 156462, 0.5
3, 128x128, 121206, 0.5
3, 128x128, 163776, 0.5
3, 128x128, 163668, 0.5
3, 128x128, 157012, 0.5
3, 128x128, 123315, 0.5
3, 128x128, 156458, 0.5
3, 128x128, 157959, 0.5
3, 128x128, 129609, 0.5
3, 128x128, 179536, 0.5
3, 128x128, 123425, 0.5
3, 128x128, 156596, 0.5
3, 128x128, 131815, 0.5
3, 128x128, 129463, 0.5
3, 128x128, 405934, 0.5
3, 128x128, 130036, 0.5
3, 128x128, 130488, 0.5
3, 128x128, 131943, 0.5
3, 128x128, 287668, 0.5
3, 128x128, 163680, 0.5
3, 128x128, 130103, 0.5
3, 128x128, 198010, 0.5
3, 128x128, 130840, 0.5
3, 128x128, 220340, 0.5
3, 128x128, 187680, 0.5
3, 128x128, 259648, 0.5
3, 128x128, 123867, 0.5
3, 128x128, 210810, 0.5
3, 128x128, 163220, 0.5
3, 128x128, 157458, 0.5
3, 128x128, 130533, 0.5
3, 128x128, 170850, 0.5
3, 128x128, 122040, 0.5
3, 128x128, 130345, 0.5
3, 128x128, 178648, 0.5
3, 128x128, 220835, 0.5
3, 128x128, 195885, 0.5
3, 128x128, 281730, 0.5
3, 128x128, 211440, 0.5
3, 128x128, 153605, 0.5
3, 128x128, 173004, 0.5
3, 128x128, 268321, 0.5
3, 128x128, 132827, 0.5
3, 128x128, 129567, 0.5
3, 128x128, 156587, 0.5
3, 128x128, 163280, 0.5
3, 128x128, 156471, 0.5
3, 128x128, 187660, 0.5
3, 128x128, 119379, 0.5
3, 128x128, 129548, 0.5
3, 128x128, 235031, 0.5
3, 128x128, 122851, 0.5
3, 128x128, 156679, 0.5
3, 128x128, 121697, 0.5
3, 128x128, 122372, 0.5
3, 128x128, 282523, 0.5
3, 128x128, 121584, 0.5
3, 128x128, 122373, 0.5
3, 128x128, 171266, 0.5
3, 128x128, 187690, 0.5
4, 256x256, 484036, 0.5
4, 256x256, 480815, 0.5
4, 256x256, 618908, 0.5
4, 256x256, 513376, 0.5
4, 256x256, 644264, 0.5
4, 256x256, 478709, 0.5
4, 256x256, 647488, 0.5
4, 256x256, 478091, 0.5
4, 256x256, 477985, 0.5
4, 256x256, 751859, 0.5
4, 256x256, 826870, 0.5
4, 256x256, 992966, 0.5
4, 256x256, 480458, 0.5
4, 256x256, 779800, 0.5
4, 256x256, 649812, 0.5
4, 256x256, 676108, 0.5
4, 256x256, 620163, 0.5
4, 256x256, 469476, 0.5
4, 256x256, 478569, 0.5
4, 256x256, 479440, 0.5
4, 256x256, 1007974, 0.5
4, 256x256, 516724, 0.5
4, 256x256, 518707, 0.5
4, 256x256, 673804, 0.5
4, 256x256, 780030, 0.5
4, 256x256, 481449, 0.5
4, 256x256, 781970, 0.5
4, 256x256, 783110, 0.5
4, 256x256, 824800, 0.5
4, 256x256, 709704, 0.5
4, 256x256, 478928, 0.5
4, 256x256, 1081375, 0.5
4, 256x256, 570675, 0.5
4, 256x256, 782335, 0.5
4, 256x256, 1561218, 0.5
4, 256x256, 511206, 0.5
4, 256x256, 511173, 0.5
4, 256x256, 478197, 0.5
4, 256x256, 479278, 0.5
4, 256x256, 1062057, 0.5
4, 256x256, 708448, 0.5
4, 256x256, 711024, 0.5
4, 256x256, 742170, 0.5
4, 256x256, 478661, 0.5
4, 256x256, 667113, 0.5
4, 256x256, 523601, 0.5
4, 256x256, 511040, 0.5
4, 256x256, 481057, 0.5
4, 256x256, 1144035, 0.5
4, 256x256, 480133, 0.5
4, 256x256, 513509, 0.5
4, 256x256, 512246, 0.5
4, 256x256, 511045, 0.5
4, 256x256, 478549, 0.5
4, 256x256, 479945, 0.5
4, 256x256, 647456, 0.5
4, 256x256, 676336, 0.5
4, 256x256, 478494, 0.5
4, 256x256, 510715, 0.5
4, 256x256, 511212, 0.5
4, 256x256, 653048, 0.5
4, 256x256, 478172, 0.5
4, 256x256, 511185, 0.5
4, 256x256, 478145, 0.5
4, 256x256, 644512, 0.5
4, 256x256, 617730, 0.5
4, 256x256, 823200, 0.5
4, 256x256, 617704, 0.5
4, 256x256, 478197, 0.5
4, 256x256, 511470, 0.5
4, 256x256, 513730, 0.5
4, 256x256, 478246, 0.5
4, 256x256, 513527, 0.5
4, 256x256, 481888, 0.5
4, 256x256, 479303, 0.5
4, 256x256, 478242, 0.5
4, 256x256, 646060, 0.5
4, 256x256, 515740, 0.5
4, 256x256, 530510, 0.5
4, 256x256, 1139658, 0.5
4, 256x256, 516491, 0.5
4, 256x256, 483139, 0.5
4, 256x256, 483582, 0.5
4, 256x256, 511743, 0.5
4, 256x256, 673408, 0.5
4, 256x256, 480800, 0.5
4, 256x256, 926188, 0.5
4, 256x256, 752146, 0.5
4, 256x256, 978691, 0.5
4, 256x256, 676642, 0.5
4, 256x256, 483352, 0.5
4, 256x256, 705324, 0.5
4, 256x256, 981704, 0.5
4, 256x256, 618521, 0.5
4, 256x256, 618663, 0.5
4, 256x256, 708992, 0.5
4, 256x256, 617341, 0.5
4, 256x256, 511012, 0.5
4, 256x256, 618583, 0.5
4, 256x256, 481621, 0.5
5, 512x512, 2793260, 0.5
5, 512x512, 2598420, 0.5
5, 512x512, 2693726, 0.5
5, 512x512, 1947054, 0.5
5, 512x512, 2502100, 0.5
5, 512x512, 4925450, 0.5
5, 512x512, 1923173, 0.5
5, 512x512, 1922630, 0.5
5, 512x512, 2490709, 0.5
5, 512x512, 2625492, 0.5
5, 512x512, 2530734, 0.5
5, 512x512, 2740245, 0.5
5, 512x512, 2742162, 0.5
5, 512x512, 2099994, 0.5
5, 512x512, 2209285, 0.5
5, 512x512, 2987625, 0.5
5, 512x512, 4929208, 0.5
5, 512x512, 1917275, 0.5
5, 512x512, 5023291, 0.5
5, 512x512, 2738568, 0.5
5, 512x512, 2544920, 0.5
5, 512x512, 3635758, 0.5
5, 512x512, 4732530, 0.5
5, 512x512, 2582172, 0.5
5, 512x512, 3863204, 0.5
5, 512x512, 2693712, 0.5
5, 512x512, 2447568, 0.5
5, 512x512, 4218821, 0.5
5, 512x512, 4049810, 0.5
5, 512x512, 2340915, 0.5
5, 512x512, 2033149, 0.5
5, 512x512, 3222390, 0.5
5, 512x512, 2467910, 0.5
5, 512x512, 2537043, 0.5
5, 512x512, 2464525, 0.5
5, 512x512, 2959855, 0.5
5, 512x512, 4550921, 0.5
5, 512x512, 2717845, 0.5
5, 512x512, 4930433, 0.5
