N, WxH, Clock, Param0
0, 16x16, 18876, 0
0, 16x16, 11616, 0
0, 16x16, 21804, 0
0, 16x16, 11515, 0
0, 16x16, 12062, 0
0, 16x16, 11445, 0
0, 16x16, 11537, 0
0, 16x16, 13048, 0
0, 16x16, 11471, 0
0, 16x16, 21640, 0
0, 16x16, 19675, 0
0, 16x16, 11078, 0
0, 16x16, 11190, 0
0, 16x16, 11602, 0
0, 16x16, 11815, 0
0, 16x16, 15933, 0
0, 16x16, 11670, 0
0, 16x16, 11893, 0
0, 16x16, 11280, 0
0, 16x16, 11396, 0
0, 16x16, 11697, 0
0, 16x16, 11517, 0
0, 16x16, 11578, 0
0, 16x16, 454272, 0
0, 16x16, 11326, 0
0, 16x16, 11217, 0
0, 16x16, 11147, 0
0, 16x16, 11366, 0
0, 16x16, 11453, 0
0, 16x16, 18893, 0
0, 16x16, 17452, 0
0, 16x16, 10843, 0
0, 16x16, 11454, 0
0, 16x16, 11245, 0
0, 16x16, 11662, 0
0, 16x16, 11150, 0
0, 16x16, 11575, 0
0, 16x16, 11746, 0
0, 16x16, 11095, 0
0, 16x16, 11503, 0
0, 16x16, 11164, 0
0, 16x16, 11404, 0
0, 16x16, 10869, 0
0, 16x16, 11526, 0
0, 16x16, 11769, 0
0, 16x16, 11708, 0
0, 16x16, 11249, 0
0, 16x16, 11347, 0
0, 16x16, 12198, 0
0, 16x16, 11581, 0
0, 16x16, 11210, 0
0, 16x16, 12382, 0
0, 16x16, 11404, 0
0, 16x16, 18662, 0
0, 16x16, 11679, 0
0, 16x16, 11361, 0
0, 16x16, 11813, 0
0, 16x16, 18688, 0
0, 16x16, 21202, 0
0, 16x16, 12449, 0
0, 16x16, 18505, 0
0, 16x16, 11589, 0
0, 16x16, 18286, 0
0, 16x16, 11549, 0
0, 16x16, 63340, 0
0, 16x16, 11269, 0
0, 16x16, 11002, 0
0, 16x16, 13045, 0
0, 16x16, 18473, 0
0, 16x16, 11321, 0
0, 16x16, 11682, 0
0, 16x16, 18144, 0
0, 16x16, 12001, 0
0, 16x16, 18089, 0
0, 16x16, 18268, 0
0, 16x16, 23506, 0
0, 16x16, 11240, 0
0, 16x16, 11306, 0
0, 16x16, 21758, 0
0, 16x16, 10964, 0
0, 16x16, 11801, 0
0, 16x16, 11318, 0
0, 16x16, 11297, 0
0, 16x16, 11014, 0
0, 16x16, 11196, 0
0, 16x16, 19070, 0
0, 16x16, 12808, 0
0, 16x16, 19524, 0
0, 16x16, 11228, 0
0, 16x16, 11526, 0
0, 16x16, 11057, 0
0, 16x16, 11361, 0
