N, WxH, Clock, Param0
0, 16x16, 12849, 0
1, 16x16, 18844, 0
2, 32x32, 27179, 0
3, 48x48, 35307, 0
4, 64x64, 56160, 0
5, 80x80, 81888, 0
6, 96x96, 167229, 0
7, 112x112, 194130, 0
8, 128x128, 191201, 0
9, 144x144, 247467, 0
10, 160x160, 320944, 0
11, 176x176, 366926, 0
12, 192x192, 476815, 0
13, 208x208, 570863, 0
14, 224x224, 594725, 0
15, 240x240, 711694, 0
16, 256x256, 866057, 0
17, 272x272, 954153, 0
18, 288x288, 998220, 0
19, 304x304, 1115962, 0
20, 320x320, 1233675, 0
21, 336x336, 1352236, 0
22, 352x352, 1476488, 0
23, 368x368, 1669503, 0
24, 384x384, 1989523, 0
25, 400x400, 2241361, 0
26, 416x416, 2095419, 0
27, 432x432, 4081039, 0
28, 448x448, 2759099, 0
29, 464x464, 2615318, 0
30, 480x480, 2813899, 0
31, 496x496, 3374967, 0
32, 512x512, 3475653, 0
33, 528x528, 4001434, 0
34, 544x544, 3576637, 0
35, 560x560, 3751517, 0
36, 576x576, 4324834, 0
37, 592x592, 4294973, 0
38, 608x608, 4446630, 0
39, 624x624, 3690412, 0
40, 640x640, 5035000, 0
41, 656x656, 5209994, 0
42, 672x672, 7646694, 0
43, 688x688, 4911470, 0
44, 704x704, 6037087, 0
45, 720x720, 6813150, 0
46, 736x736, 5990641, 0
47, 752x752, 7087912, 0
48, 768x768, 7883420, 0
49, 784x784, 17362819, 0
50, 800x800, 8559390, 0
51, 816x816, 8405401, 0
52, 832x832, 8357650, 0
53, 848x848, 9281473, 0
54, 864x864, 9134571, 0
55, 880x880, 11061059, 0
56, 896x896, 11533186, 0
57, 912x912, 11726334, 0
58, 928x928, 11287559, 0
59, 944x944, 11480990, 0
60, 960x960, 14207555, 0
61, 976x976, 12743465, 0
62, 992x992, 10867088, 0
63, 1008x1008, 14604903, 0
64, 1024x1024, 16751166, 0
65, 1040x1040, 11799041, 0
66, 1056x1056, 26781071, 0
67, 1072x1072, 15756334, 0
68, 1088x1088, 15136952, 0
69, 1104x1104, 15872754, 0
70, 1120x1120, 17868791, 0
71, 1136x1136, 22397563, 0
72, 1152x1152, 19447899, 0
73, 1168x1168, 16523955, 0
74, 1184x1184, 31141331, 0
75, 1200x1200, 18875056, 0
76, 1216x1216, 22767605, 0
77, 1232x1232, 20403693, 0
78, 1248x1248, 20387276, 0
79, 1264x1264, 21249077, 0
80, 1280x1280, 19871283, 0
81, 1296x1296, 22757726, 0
82, 1312x1312, 23569232, 0
83, 1328x1328, 23561983, 0
84, 1344x1344, 25921932, 0
85, 1360x1360, 23572329, 0
86, 1376x1376, 25979805, 0
87, 1392x1392, 23102141, 0
88, 1408x1408, 26895581, 0
89, 1424x1424, 25702314, 0
90, 1440x1440, 37039446, 0
91, 1456x1456, 30765025, 0
92, 1472x1472, 26764235, 0
93, 1488x1488, 51886837, 0
94, 1504x1504, 27604992, 0
95, 1520x1520, 31864996, 0
96, 1536x1536, 31109886, 0
97, 1552x1552, 28987498, 0
98, 1568x1568, 30405780, 0
99, 1584x1584, 29938201, 0
100, 1600x1600, 32618280, 0
