N, WxH, Clock, Param0
0, 16x16, 98792, 0
0, 16x16, 61975, 0
0, 16x16, 50041, 0
0, 16x16, 50638, 0
0, 16x16, 49638, 0
0, 16x16, 71305, 0
0, 16x16, 66170, 0
0, 16x16, 49583, 0
0, 16x16, 38603, 0
0, 16x16, 51924, 0
0, 16x16, 38906, 0
0, 16x16, 84614, 0
0, 16x16, 42000, 0
0, 16x16, 39725, 0
0, 16x16, 52084, 0
0, 16x16, 41676, 0
0, 16x16, 39000, 0
0, 16x16, 50933, 0
0, 16x16, 51748, 0
0, 16x16, 38800, 0
0, 16x16, 91451, 0
0, 16x16, 38618, 0
0, 16x16, 40736, 0
0, 16x16, 49500, 0
0, 16x16, 118460, 0
0, 16x16, 54742, 0
0, 16x16, 42121, 0
0, 16x16, 55292, 0
0, 16x16, 51840, 0
0, 16x16, 52312, 0
0, 16x16, 52288, 0
0, 16x16, 42745, 0
0, 16x16, 56632, 0
0, 16x16, 49500, 0
0, 16x16, 49109, 0
0, 16x16, 56868, 0
0, 16x16, 52476, 0
0, 16x16, 78834, 0
0, 16x16, 42764, 0
0, 16x16, 42785, 0
0, 16x16, 41282, 0
0, 16x16, 51692, 0
0, 16x16, 54284, 0
0, 16x16, 45236, 0
0, 16x16, 51937, 0
0, 16x16, 52272, 0
0, 16x16, 53980, 0
0, 16x16, 41076, 0
0, 16x16, 133876, 0
0, 16x16, 51976, 0
0, 16x16, 38964, 0
0, 16x16, 98533, 0
0, 16x16, 41839, 0
0, 16x16, 39791, 0
0, 16x16, 59450, 0
0, 16x16, 73794, 0
0, 16x16, 38894, 0
0, 16x16, 56664, 0
0, 16x16, 97883, 0
0, 16x16, 62360, 0
0, 16x16, 38688, 0
0, 16x16, 49817, 0
0, 16x16, 54726, 0
0, 16x16, 51680, 0
0, 16x16, 72679, 0
0, 16x16, 38924, 0
0, 16x16, 84322, 0
0, 16x16, 41515, 0
0, 16x16, 69365, 0
0, 16x16, 38763, 0
0, 16x16, 54126, 0
0, 16x16, 84978, 0
0, 16x16, 38519, 0
0, 16x16, 57004, 0
0, 16x16, 52056, 0
0, 16x16, 51584, 0
0, 16x16, 80254, 0
0, 16x16, 41452, 0
0, 16x16, 38479, 0
0, 16x16, 38300, 0
0, 16x16, 75312, 0
0, 16x16, 38912, 0
0, 16x16, 52112, 0
0, 16x16, 41903, 0
0, 16x16, 40972, 0
0, 16x16, 82148, 0
0, 16x16, 38930, 0
0, 16x16, 39721, 0
0, 16x16, 37925, 0
0, 16x16, 53416, 0
0, 16x16, 61609, 0
0, 16x16, 38363, 0
0, 16x16, 54192, 0
0, 16x16, 43279, 0
0, 16x16, 51250, 0
0, 16x16, 41815, 0
0, 16x16, 59940, 0
0, 16x16, 40246, 0
0, 16x16, 100167, 0
0, 16x16, 62665, 0
1, 32x32, 172430, 0
1, 32x32, 292470, 0
1, 32x32, 207375, 0
1, 32x32, 160558, 0
1, 32x32, 384849, 0
1, 32x32, 172991, 0
1, 32x32, 172646, 0
1, 32x32, 401220, 0
1, 32x32, 162139, 0
1, 32x32, 172215, 0
1, 32x32, 227174, 0
1, 32x32, 227018, 0
1, 32x32, 237168, 0
1, 32x32, 160775, 0
1, 32x32, 279061, 0
1, 32x32, 172222, 0
1, 32x32, 172767, 0
1, 32x32, 303204, 0
1, 32x32, 208604, 0
1, 32x32, 208837, 0
1, 32x32, 178058, 0
1, 32x32, 251567, 0
1, 32x32, 209597, 0
1, 32x32, 171852, 0
1, 32x32, 160597, 0
1, 32x32, 227296, 0
1, 32x32, 172382, 0
1, 32x32, 261396, 0
1, 32x32, 171736, 0
1, 32x32, 226708, 0
1, 32x32, 248160, 0
1, 32x32, 311612, 0
1, 32x32, 325736, 0
1, 32x32, 173718, 0
1, 32x32, 160994, 0
1, 32x32, 218736, 0
1, 32x32, 216180, 0
1, 32x32, 172682, 0
1, 32x32, 218576, 0
1, 32x32, 208958, 0
1, 32x32, 216664, 0
1, 32x32, 228204, 0
1, 32x32, 162330, 0
1, 32x32, 300562, 0
