N, WxH, Clock, Param0
0, 16x16, 16876, 0.5
1, 16x16, 17082, 0.5
2, 32x32, 51260, 0.5
3, 48x48, 114105, 0.5
4, 64x64, 193079, 0.5
5, 80x80, 290261, 0.5
6, 96x96, 460823, 0.5
7, 112x112, 571120, 0.5
8, 128x128, 780827, 0.5
9, 144x144, 997198, 0.5
10, 160x160, 1155043, 0.5
11, 176x176, 1428147, 0.5
12, 192x192, 1698275, 0.5
13, 208x208, 1351258, 0.5
14, 224x224, 1393728, 0.5
15, 240x240, 2656147, 0.5
16, 256x256, 1920012, 0.5
17, 272x272, 3629211, 0.5
18, 288x288, 3194941, 0.5
19, 304x304, 6749641, 0.5
20, 320x320, 4698910, 0.5
21, 336x336, 5195834, 0.5
22, 352x352, 5361529, 0.5
23, 368x368, 5147048, 0.5
24, 384x384, 6199581, 0.5
25, 400x400, 7737957, 0.5
26, 416x416, 8608246, 0.5
27, 432x432, 9103086, 0.5
28, 448x448, 8534087, 0.5
29, 464x464, 11909068, 0.5
30, 480x480, 9458049, 0.5
31, 496x496, 10880067, 0.5
32, 512x512, 12493346, 0.5
33, 528x528, 13255795, 0.5
34, 544x544, 13790578, 0.5
35, 560x560, 16303364, 0.5
36, 576x576, 15158838, 0.5
37, 592x592, 17605191, 0.5
38, 608x608, 16196923, 0.5
39, 624x624, 19088400, 0.5
40, 640x640, 23496257, 0.5
41, 656x656, 21891801, 0.5
42, 672x672, 21778049, 0.5
43, 688x688, 20890341, 0.5
44, 704x704, 25440279, 0.5
45, 720x720, 25427621, 0.5
46, 736x736, 25379700, 0.5
47, 752x752, 26658591, 0.5
48, 768x768, 27414960, 0.5
49, 784x784, 30852444, 0.5
50, 800x800, 29638293, 0.5
51, 816x816, 31233029, 0.5
52, 832x832, 33222780, 0.5
53, 848x848, 34175261, 0.5
54, 864x864, 37234481, 0.5
55, 880x880, 35551065, 0.5
56, 896x896, 39203698, 0.5
57, 912x912, 41022159, 0.5
58, 928x928, 40753653, 0.5
59, 944x944, 40805863, 0.5
60, 960x960, 43192136, 0.5
61, 976x976, 46461797, 0.5
62, 992x992, 44926946, 0.5
63, 1008x1008, 48588807, 0.5
64, 1024x1024, 48030399, 0.5
65, 1040x1040, 50597892, 0.5
66, 1056x1056, 53969875, 0.5
67, 1072x1072, 55887709, 0.5
68, 1088x1088, 57388445, 0.5
69, 1104x1104, 60217534, 0.5
70, 1120x1120, 62768420, 0.5
71, 1136x1136, 60849481, 0.5
72, 1152x1152, 63256934, 0.5
73, 1168x1168, 64060533, 0.5
74, 1184x1184, 66137479, 0.5
75, 1200x1200, 67533037, 0.5
76, 1216x1216, 70772151, 0.5
77, 1232x1232, 74179997, 0.5
78, 1248x1248, 72245779, 0.5
79, 1264x1264, 77354010, 0.5
80, 1280x1280, 84723097, 0.5
81, 1296x1296, 81165602, 0.5
82, 1312x1312, 81444268, 0.5
83, 1328x1328, 81994709, 0.5
84, 1344x1344, 85619401, 0.5
85, 1360x1360, 88207743, 0.5
86, 1376x1376, 100692790, 0.5
87, 1392x1392, 91278073, 0.5
88, 1408x1408, 96067141, 0.5
89, 1424x1424, 100260215, 0.5
90, 1440x1440, 97074876, 0.5
91, 1456x1456, 102697309, 0.5
92, 1472x1472, 105473878, 0.5
93, 1488x1488, 103621552, 0.5
94, 1504x1504, 118748645, 0.5
95, 1520x1520, 110164174, 0.5
96, 1536x1536, 113300288, 0.5
97, 1552x1552, 116240066, 0.5
98, 1568x1568, 123679070, 0.5
99, 1584x1584, 134825993, 0.5
100, 1600x1600, 120449728, 0.5
