N, WxH, Clock, Param0
0, 16x16, 8940, 0
0, 16x16, 6819, 0
0, 16x16, 10320, 0
0, 16x16, 9260, 0
0, 16x16, 14557, 0
0, 16x16, 7130, 0
0, 16x16, 7219, 0
0, 16x16, 7221, 0
0, 16x16, 9434, 0
0, 16x16, 8842, 0
0, 16x16, 11813, 0
0, 16x16, 7221, 0
0, 16x16, 6552, 0
0, 16x16, 6964, 0
0, 16x16, 9360, 0
0, 16x16, 6703, 0
0, 16x16, 7100, 0
0, 16x16, 7197, 0
0, 16x16, 7327, 0
0, 16x16, 6609, 0
0, 16x16, 8896, 0
0, 16x16, 7297, 0
0, 16x16, 8812, 0
0, 16x16, 7251, 0
0, 16x16, 8584, 0
0, 16x16, 8164, 0
0, 16x16, 7085, 0
0, 16x16, 17075, 0
0, 16x16, 11520, 0
0, 16x16, 7125, 0
0, 16x16, 8808, 0
0, 16x16, 16766, 0
0, 16x16, 10527, 0
0, 16x16, 7118, 0
0, 16x16, 11373, 0
0, 16x16, 7358, 0
0, 16x16, 7054, 0
0, 16x16, 16800, 0
0, 16x16, 7155, 0
0, 16x16, 10554, 0
0, 16x16, 7140, 0
0, 16x16, 7145, 0
0, 16x16, 8900, 0
0, 16x16, 17316, 0
0, 16x16, 8396, 0
0, 16x16, 9464, 0
0, 16x16, 7115, 0
0, 16x16, 9212, 0
0, 16x16, 8279, 0
0, 16x16, 6837, 0
0, 16x16, 8876, 0
0, 16x16, 7064, 0
0, 16x16, 8528, 0
0, 16x16, 7585, 0
0, 16x16, 7849, 0
0, 16x16, 8492, 0
0, 16x16, 14257, 0
0, 16x16, 9254, 0
0, 16x16, 7112, 0
0, 16x16, 7782, 0
0, 16x16, 9280, 0
0, 16x16, 10891, 0
0, 16x16, 7527, 0
0, 16x16, 8958, 0
0, 16x16, 6936, 0
0, 16x16, 7403, 0
0, 16x16, 8717, 0
0, 16x16, 7676, 0
0, 16x16, 16242, 0
0, 16x16, 6906, 0
0, 16x16, 14550, 0
0, 16x16, 7127, 0
0, 16x16, 7019, 0
0, 16x16, 7188, 0
0, 16x16, 6969, 0
0, 16x16, 9020, 0
0, 16x16, 7439, 0
0, 16x16, 9146, 0
0, 16x16, 7472, 0
0, 16x16, 8733, 0
0, 16x16, 9254, 0
0, 16x16, 17958, 0
0, 16x16, 13984, 0
0, 16x16, 8584, 0
0, 16x16, 6739, 0
0, 16x16, 7318, 0
0, 16x16, 11625, 0
0, 16x16, 7103, 0
0, 16x16, 12763, 0
0, 16x16, 15993, 0
0, 16x16, 7242, 0
0, 16x16, 7630, 0
0, 16x16, 10128, 0
0, 16x16, 12675, 0
0, 16x16, 7115, 0
0, 16x16, 9029, 0
