N, WxH, Clock, Param0, Param1, Param2
0, 16x16, 46575, 30.0, 1.0, 0.1
0, 16x16, 46709, 30.0, 1.0, 0.1
0, 16x16, 69204, 30.0, 1.0, 0.1
0, 16x16, 83794, 30.0, 1.0, 0.1
0, 16x16, 52633, 30.0, 1.0, 0.1
0, 16x16, 136648, 30.0, 1.0, 0.1
0, 16x16, 46921, 30.0, 1.0, 0.1
0, 16x16, 56504, 30.0, 1.0, 0.1
0, 16x16, 56496, 30.0, 1.0, 0.1
0, 16x16, 46676, 30.0, 1.0, 0.1
1, 32x32, 303920, 30.0, 1.0, 0.1
1, 32x32, 178649, 30.0, 1.0, 0.1
1, 32x32, 258965, 30.0, 1.0, 0.1
1, 32x32, 166570, 30.0, 1.0, 0.1
1, 32x32, 323369, 30.0, 1.0, 0.1
1, 32x32, 225016, 30.0, 1.0, 0.1
1, 32x32, 272190, 30.0, 1.0, 0.1
1, 32x32, 178527, 30.0, 1.0, 0.1
1, 32x32, 167167, 30.0, 1.0, 0.1
1, 32x32, 463235, 30.0, 1.0, 0.1
2, 48x48, 380624, 30.0, 1.0, 0.1
2, 48x48, 393815, 30.0, 1.0, 0.1
2, 48x48, 372342, 30.0, 1.0, 0.1
2, 48x48, 530358, 30.0, 1.0, 0.1
2, 48x48, 480741, 30.0, 1.0, 0.1
2, 48x48, 398615, 30.0, 1.0, 0.1
2, 48x48, 960675, 30.0, 1.0, 0.1
2, 48x48, 443567, 30.0, 1.0, 0.1
2, 48x48, 505356, 30.0, 1.0, 0.1
2, 48x48, 563080, 30.0, 1.0, 0.1
3, 64x64, 1138345, 30.0, 1.0, 0.1
3, 64x64, 706567, 30.0, 1.0, 0.1
3, 64x64, 853275, 30.0, 1.0, 0.1
3, 64x64, 1085720, 30.0, 1.0, 0.1
3, 64x64, 870862, 30.0, 1.0, 0.1
3, 64x64, 894380, 30.0, 1.0, 0.1
3, 64x64, 706373, 30.0, 1.0, 0.1
3, 64x64, 752393, 30.0, 1.0, 0.1
3, 64x64, 1204575, 30.0, 1.0, 0.1
3, 64x64, 858100, 30.0, 1.0, 0.1
4, 80x80, 1101069, 30.0, 1.0, 0.1
4, 80x80, 1598740, 30.0, 1.0, 0.1
4, 80x80, 1100775, 30.0, 1.0, 0.1
4, 80x80, 1522340, 30.0, 1.0, 0.1
4, 80x80, 1121700, 30.0, 1.0, 0.1
4, 80x80, 1205579, 30.0, 1.0, 0.1
4, 80x80, 1330371, 30.0, 1.0, 0.1
4, 80x80, 2680717, 30.0, 1.0, 0.1
4, 80x80, 1029781, 30.0, 1.0, 0.1
4, 80x80, 1420700, 30.0, 1.0, 0.1
5, 96x96, 1659524, 30.0, 1.0, 0.1
5, 96x96, 1728234, 30.0, 1.0, 0.1
5, 96x96, 2140279, 30.0, 1.0, 0.1
5, 96x96, 1632161, 30.0, 1.0, 0.1
5, 96x96, 3113922, 30.0, 1.0, 0.1
5, 96x96, 1593967, 30.0, 1.0, 0.1
5, 96x96, 1590827, 30.0, 1.0, 0.1
5, 96x96, 1614826, 30.0, 1.0, 0.1
5, 96x96, 1482060, 30.0, 1.0, 0.1
5, 96x96, 1584397, 30.0, 1.0, 0.1
6, 112x112, 2014181, 30.0, 1.0, 0.1
6, 112x112, 2603696, 30.0, 1.0, 0.1
6, 112x112, 2276877, 30.0, 1.0, 0.1
6, 112x112, 3362550, 30.0, 1.0, 0.1
6, 112x112, 2775679, 30.0, 1.0, 0.1
6, 112x112, 2173724, 30.0, 1.0, 0.1
6, 112x112, 3819955, 30.0, 1.0, 0.1
6, 112x112, 3094528, 30.0, 1.0, 0.1
6, 112x112, 2635683, 30.0, 1.0, 0.1
6, 112x112, 2193769, 30.0, 1.0, 0.1
7, 128x128, 2938388, 30.0, 1.0, 0.1
7, 128x128, 2837906, 30.0, 1.0, 0.1
7, 128x128, 3547776, 30.0, 1.0, 0.1
7, 128x128, 3398083, 30.0, 1.0, 0.1
7, 128x128, 2861600, 30.0, 1.0, 0.1
7, 128x128, 4945426, 30.0, 1.0, 0.1
7, 128x128, 4158860, 30.0, 1.0, 0.1
7, 128x128, 2774121, 30.0, 1.0, 0.1
7, 128x128, 6623241, 30.0, 1.0, 0.1
7, 128x128, 3909813, 30.0, 1.0, 0.1
8, 144x144, 5365464, 30.0, 1.0, 0.1
8, 144x144, 4782982, 30.0, 1.0, 0.1
8, 144x144, 4431879, 30.0, 1.0, 0.1
8, 144x144, 3832829, 30.0, 1.0, 0.1
8, 144x144, 4625664, 30.0, 1.0, 0.1
8, 144x144, 4422875, 30.0, 1.0, 0.1
8, 144x144, 3561038, 30.0, 1.0, 0.1
8, 144x144, 4732726, 30.0, 1.0, 0.1
8, 144x144, 8030008, 30.0, 1.0, 0.1
8, 144x144, 3945894, 30.0, 1.0, 0.1
9, 160x160, 4455127, 30.0, 1.0, 0.1
9, 160x160, 6899488, 30.0, 1.0, 0.1
9, 160x160, 4438109, 30.0, 1.0, 0.1
9, 160x160, 4345022, 30.0, 1.0, 0.1
9, 160x160, 4204546, 30.0, 1.0, 0.1
9, 160x160, 4443003, 30.0, 1.0, 0.1
9, 160x160, 6608910, 30.0, 1.0, 0.1
9, 160x160, 5482316, 30.0, 1.0, 0.1
9, 160x160, 6181924, 30.0, 1.0, 0.1
9, 160x160, 6175531, 30.0, 1.0, 0.1
10, 176x176, 7829936, 30.0, 1.0, 0.1
10, 176x176, 7482580, 30.0, 1.0, 0.1
10, 176x176, 5403018, 30.0, 1.0, 0.1
10, 176x176, 5946453, 30.0, 1.0, 0.1
10, 176x176, 5858538, 30.0, 1.0, 0.1
10, 176x176, 8705989, 30.0, 1.0, 0.1
10, 176x176, 7821092, 30.0, 1.0, 0.1
10, 176x176, 5091074, 30.0, 1.0, 0.1
10, 176x176, 5486216, 30.0, 1.0, 0.1
10, 176x176, 5208186, 30.0, 1.0, 0.1
11, 192x192, 6550991, 30.0, 1.0, 0.1
11, 192x192, 8349734, 30.0, 1.0, 0.1
11, 192x192, 8988753, 30.0, 1.0, 0.1
11, 192x192, 7507510, 30.0, 1.0, 0.1
11, 192x192, 6849434, 30.0, 1.0, 0.1
11, 192x192, 7115081, 30.0, 1.0, 0.1
11, 192x192, 6486261, 30.0, 1.0, 0.1
11, 192x192, 6407618, 30.0, 1.0, 0.1
11, 192x192, 5976100, 30.0, 1.0, 0.1
11, 192x192, 9807070, 30.0, 1.0, 0.1
12, 208x208, 9189491, 30.0, 1.0, 0.1
12, 208x208, 7376770, 30.0, 1.0, 0.1
12, 208x208, 9075534, 30.0, 1.0, 0.1
12, 208x208, 10467648, 30.0, 1.0, 0.1
12, 208x208, 7535176, 30.0, 1.0, 0.1
12, 208x208, 10335768, 30.0, 1.0, 0.1
12, 208x208, 7544918, 30.0, 1.0, 0.1
12, 208x208, 7409095, 30.0, 1.0, 0.1
12, 208x208, 9328282, 30.0, 1.0, 0.1
12, 208x208, 7617901, 30.0, 1.0, 0.1
13, 224x224, 10986179, 30.0, 1.0, 0.1
13, 224x224, 14067875, 30.0, 1.0, 0.1
13, 224x224, 8220380, 30.0, 1.0, 0.1
13, 224x224, 10786399, 30.0, 1.0, 0.1
13, 224x224, 10518084, 30.0, 1.0, 0.1
13, 224x224, 10992996, 30.0, 1.0, 0.1
13, 224x224, 11032896, 30.0, 1.0, 0.1
13, 224x224, 11302528, 30.0, 1.0, 0.1
13, 224x224, 10700867, 30.0, 1.0, 0.1
13, 224x224, 11466406, 30.0, 1.0, 0.1
14, 240x240, 12344033, 30.0, 1.0, 0.1
14, 240x240, 9874742, 30.0, 1.0, 0.1
14, 240x240, 12247330, 30.0, 1.0, 0.1
14, 240x240, 14535366, 30.0, 1.0, 0.1
14, 240x240, 12828699, 30.0, 1.0, 0.1
14, 240x240, 9950899, 30.0, 1.0, 0.1
14, 240x240, 10148263, 30.0, 1.0, 0.1
14, 240x240, 13823102, 30.0, 1.0, 0.1
14, 240x240, 9811220, 30.0, 1.0, 0.1
14, 240x240, 13042155, 30.0, 1.0, 0.1
15, 256x256, 14452700, 30.0, 1.0, 0.1
15, 256x256, 13995413, 30.0, 1.0, 0.1
15, 256x256, 11576381, 30.0, 1.0, 0.1
15, 256x256, 11414536, 30.0, 1.0, 0.1
15, 256x256, 11042629, 30.0, 1.0, 0.1
15, 256x256, 16365755, 30.0, 1.0, 0.1
