N, WxH, Clock, Param0, Param1, Param2
0, 16x16, 41103, 30.0, 1.0, 0.1
0, 16x16, 51596, 30.0, 1.0, 0.1
0, 16x16, 98700, 30.0, 1.0, 0.1
0, 16x16, 53892, 30.0, 1.0, 0.1
0, 16x16, 40809, 30.0, 1.0, 0.1
0, 16x16, 49159, 30.0, 1.0, 0.1
0, 16x16, 38346, 30.0, 1.0, 0.1
0, 16x16, 56232, 30.0, 1.0, 0.1
0, 16x16, 41270, 30.0, 1.0, 0.1
0, 16x16, 69890, 30.0, 1.0, 0.1
1, 32x32, 146397, 30.0, 1.0, 0.1
1, 32x32, 146255, 30.0, 1.0, 0.1
1, 32x32, 156612, 30.0, 1.0, 0.1
1, 32x32, 156261, 30.0, 1.0, 0.1
1, 32x32, 188567, 30.0, 1.0, 0.1
1, 32x32, 258784, 30.0, 1.0, 0.1
1, 32x32, 156303, 30.0, 1.0, 0.1
1, 32x32, 156327, 30.0, 1.0, 0.1
1, 32x32, 173573, 30.0, 1.0, 0.1
1, 32x32, 196676, 30.0, 1.0, 0.1
2, 48x48, 326088, 30.0, 1.0, 0.1
2, 48x48, 418312, 30.0, 1.0, 0.1
2, 48x48, 326100, 30.0, 1.0, 0.1
2, 48x48, 358233, 30.0, 1.0, 0.1
2, 48x48, 348333, 30.0, 1.0, 0.1
2, 48x48, 462635, 30.0, 1.0, 0.1
2, 48x48, 438880, 30.0, 1.0, 0.1
2, 48x48, 420383, 30.0, 1.0, 0.1
2, 48x48, 348579, 30.0, 1.0, 0.1
2, 48x48, 630665, 30.0, 1.0, 0.1
3, 64x64, 577491, 30.0, 1.0, 0.1
3, 64x64, 617721, 30.0, 1.0, 0.1
3, 64x64, 748952, 30.0, 1.0, 0.1
3, 64x64, 745696, 30.0, 1.0, 0.1
3, 64x64, 813208, 30.0, 1.0, 0.1
3, 64x64, 617242, 30.0, 1.0, 0.1
3, 64x64, 617309, 30.0, 1.0, 0.1
3, 64x64, 687230, 30.0, 1.0, 0.1
3, 64x64, 577303, 30.0, 1.0, 0.1
3, 64x64, 623884, 30.0, 1.0, 0.1
4, 80x80, 901400, 30.0, 1.0, 0.1
4, 80x80, 1095185, 30.0, 1.0, 0.1
4, 80x80, 1010491, 30.0, 1.0, 0.1
4, 80x80, 900757, 30.0, 1.0, 0.1
4, 80x80, 963627, 30.0, 1.0, 0.1
4, 80x80, 900642, 30.0, 1.0, 0.1
4, 80x80, 988478, 30.0, 1.0, 0.1
4, 80x80, 1630860, 30.0, 1.0, 0.1
4, 80x80, 1007900, 30.0, 1.0, 0.1
4, 80x80, 1163879, 30.0, 1.0, 0.1
5, 96x96, 1439303, 30.0, 1.0, 0.1
5, 96x96, 1895632, 30.0, 1.0, 0.1
5, 96x96, 1674650, 30.0, 1.0, 0.1
5, 96x96, 2932425, 30.0, 1.0, 0.1
5, 96x96, 1643673, 30.0, 1.0, 0.1
5, 96x96, 2424229, 30.0, 1.0, 0.1
5, 96x96, 2136682, 30.0, 1.0, 0.1
5, 96x96, 1785963, 30.0, 1.0, 0.1
5, 96x96, 2179632, 30.0, 1.0, 0.1
5, 96x96, 3091947, 30.0, 1.0, 0.1
6, 112x112, 1919248, 30.0, 1.0, 0.1
6, 112x112, 2788672, 30.0, 1.0, 0.1
6, 112x112, 1763027, 30.0, 1.0, 0.1
6, 112x112, 1891892, 30.0, 1.0, 0.1
6, 112x112, 1886422, 30.0, 1.0, 0.1
6, 112x112, 2296939, 30.0, 1.0, 0.1
6, 112x112, 1885194, 30.0, 1.0, 0.1
6, 112x112, 1927406, 30.0, 1.0, 0.1
6, 112x112, 1936939, 30.0, 1.0, 0.1
6, 112x112, 2474885, 30.0, 1.0, 0.1
7, 128x128, 3124668, 30.0, 1.0, 0.1
7, 128x128, 2845092, 30.0, 1.0, 0.1
7, 128x128, 3130440, 30.0, 1.0, 0.1
7, 128x128, 2491143, 30.0, 1.0, 0.1
7, 128x128, 2451393, 30.0, 1.0, 0.1
7, 128x128, 3006179, 30.0, 1.0, 0.1
7, 128x128, 2462409, 30.0, 1.0, 0.1
7, 128x128, 2930859, 30.0, 1.0, 0.1
