N, WxH, Clock, Param0, Param1, Param2
0, 16x16, 5056, 0.5, 0, 0
1, 32x32, 13894, 0.5, 0, 0
2, 48x48, 31615, 0.5, 0, 0
3, 64x64, 52306, 0.5, 0, 0
4, 80x80, 99075, 0.5, 0, 0
5, 96x96, 111021, 0.5, 0, 0
6, 112x112, 152528, 0.5, 0, 0
7, 128x128, 145837, 0.5, 0, 0
8, 144x144, 185215, 0.5, 0, 0
9, 160x160, 312524, 0.5, 0, 0
10, 176x176, 291091, 0.5, 0, 0
11, 192x192, 329088, 0.5, 0, 0
12, 208x208, 513921, 0.5, 0, 0
13, 224x224, 630027, 0.5, 0, 0
14, 240x240, 690542, 0.5, 0, 0
15, 256x256, 836255, 0.5, 0, 0
16, 272x272, 1231504, 0.5, 0, 0
17, 288x288, 796091, 0.5, 0, 0
18, 304x304, 844912, 0.5, 0, 0
19, 320x320, 1311391, 0.5, 0, 0
