N, WxH, Clock, Param0
0, 16x16, 4148, 0.5
0, 16x16, 5783, 0.5
0, 16x16, 3456, 0.5
0, 16x16, 3192, 0.5
0, 16x16, 3320, 0.5
0, 16x16, 3180, 0.5
0, 16x16, 3404, 0.5
0, 16x16, 3368, 0.5
0, 16x16, 4465, 0.5
0, 16x16, 3848, 0.5
0, 16x16, 4230, 0.5
0, 16x16, 5340, 0.5
0, 16x16, 5407, 0.5
0, 16x16, 3868, 0.5
0, 16x16, 3196, 0.5
0, 16x16, 3955, 0.5
0, 16x16, 4000, 0.5
0, 16x16, 4115, 0.5
0, 16x16, 3548, 0.5
0, 16x16, 3220, 0.5
0, 16x16, 3212, 0.5
0, 16x16, 3260, 0.5
0, 16x16, 3200, 0.5
0, 16x16, 3309, 0.5
0, 16x16, 3208, 0.5
0, 16x16, 3111, 0.5
0, 16x16, 3252, 0.5
0, 16x16, 3308, 0.5
0, 16x16, 4595, 0.5
0, 16x16, 3356, 0.5
0, 16x16, 3123, 0.5
0, 16x16, 3184, 0.5
0, 16x16, 3152, 0.5
0, 16x16, 3252, 0.5
0, 16x16, 3532, 0.5
0, 16x16, 3212, 0.5
0, 16x16, 3192, 0.5
0, 16x16, 3188, 0.5
0, 16x16, 4410, 0.5
0, 16x16, 3114, 0.5
0, 16x16, 3352, 0.5
0, 16x16, 3196, 0.5
0, 16x16, 3304, 0.5
0, 16x16, 3996, 0.5
0, 16x16, 3176, 0.5
0, 16x16, 3240, 0.5
0, 16x16, 3208, 0.5
0, 16x16, 5196, 0.5
0, 16x16, 3252, 0.5
0, 16x16, 3380, 0.5
0, 16x16, 3188, 0.5
0, 16x16, 3180, 0.5
0, 16x16, 3168, 0.5
0, 16x16, 3172, 0.5
0, 16x16, 3111, 0.5
0, 16x16, 3656, 0.5
0, 16x16, 4936, 0.5
0, 16x16, 3188, 0.5
0, 16x16, 3208, 0.5
0, 16x16, 3192, 0.5
0, 16x16, 3252, 0.5
0, 16x16, 3808, 0.5
0, 16x16, 3294, 0.5
0, 16x16, 3364, 0.5
0, 16x16, 3304, 0.5
0, 16x16, 3364, 0.5
0, 16x16, 3164, 0.5
0, 16x16, 4244, 0.5
0, 16x16, 3336, 0.5
0, 16x16, 3352, 0.5
0, 16x16, 3444, 0.5
0, 16x16, 3304, 0.5
0, 16x16, 3168, 0.5
0, 16x16, 3232, 0.5
0, 16x16, 3248, 0.5
0, 16x16, 3237, 0.5
0, 16x16, 3960, 0.5
0, 16x16, 3544, 0.5
0, 16x16, 3176, 0.5
0, 16x16, 3304, 0.5
0, 16x16, 3200, 0.5
0, 16x16, 3228, 0.5
0, 16x16, 3228, 0.5
0, 16x16, 3396, 0.5
0, 16x16, 5806, 0.5
0, 16x16, 3504, 0.5
0, 16x16, 3306, 0.5
0, 16x16, 3084, 0.5
0, 16x16, 3216, 0.5
0, 16x16, 3292, 0.5
0, 16x16, 3204, 0.5
0, 16x16, 3488, 0.5
0, 16x16, 3256, 0.5
0, 16x16, 3216, 0.5
0, 16x16, 6163, 0.5
0, 16x16, 3216, 0.5
0, 16x16, 3384, 0.5
0, 16x16, 3980, 0.5
0, 16x16, 3096, 0.5
0, 16x16, 3784, 0.5
1, 32x32, 11396, 0.5
1, 32x32, 11044, 0.5
1, 32x32, 11208, 0.5
1, 32x32, 11140, 0.5
1, 32x32, 20490, 0.5
1, 32x32, 10737, 0.5
1, 32x32, 11152, 0.5
1, 32x32, 11028, 0.5
1, 32x32, 11196, 0.5
1, 32x32, 11328, 0.5
1, 32x32, 11368, 0.5
1, 32x32, 11388, 0.5
1, 32x32, 20834, 0.5
1, 32x32, 10965, 0.5
1, 32x32, 11308, 0.5
1, 32x32, 10692, 0.5
1, 32x32, 11076, 0.5
1, 32x32, 12672, 0.5
1, 32x32, 11172, 0.5
1, 32x32, 11188, 0.5
1, 32x32, 11404, 0.5
1, 32x32, 11236, 0.5
1, 32x32, 11524, 0.5
1, 32x32, 11176, 0.5
1, 32x32, 11156, 0.5
1, 32x32, 11112, 0.5
1, 32x32, 11048, 0.5
1, 32x32, 11176, 0.5
1, 32x32, 10668, 0.5
1, 32x32, 11036, 0.5
1, 32x32, 11052, 0.5
1, 32x32, 11152, 0.5
1, 32x32, 11116, 0.5
1, 32x32, 11460, 0.5
1, 32x32, 11004, 0.5
1, 32x32, 11008, 0.5
1, 32x32, 11480, 0.5
