N, WxH, Clock, Param0
0, 16x16, 7391, 0
0, 16x16, 8438, 0
0, 16x16, 7418, 0
0, 16x16, 8940, 0
0, 16x16, 7133, 0
0, 16x16, 7227, 0
0, 16x16, 8350, 0
0, 16x16, 6921, 0
0, 16x16, 9400, 0
0, 16x16, 8550, 0
0, 16x16, 7148, 0
0, 16x16, 9242, 0
0, 16x16, 8488, 0
0, 16x16, 8688, 0
0, 16x16, 6542, 0
0, 16x16, 9084, 0
0, 16x16, 7040, 0
0, 16x16, 8704, 0
0, 16x16, 7500, 0
0, 16x16, 8448, 0
0, 16x16, 9288, 0
0, 16x16, 7463, 0
0, 16x16, 8964, 0
0, 16x16, 7576, 0
0, 16x16, 13918, 0
0, 16x16, 6964, 0
0, 16x16, 9700, 0
0, 16x16, 6666, 0
0, 16x16, 9558, 0
0, 16x16, 15834, 0
0, 16x16, 8950, 0
0, 16x16, 10450, 0
0, 16x16, 12450, 0
0, 16x16, 9188, 0
0, 16x16, 7324, 0
0, 16x16, 8754, 0
0, 16x16, 9467, 0
0, 16x16, 10160, 0
0, 16x16, 7454, 0
0, 16x16, 10720, 0
0, 16x16, 9448, 0
0, 16x16, 7085, 0
0, 16x16, 9376, 0
0, 16x16, 9562, 0
0, 16x16, 16225, 0
0, 16x16, 7179, 0
0, 16x16, 10244, 0
0, 16x16, 6749, 0
0, 16x16, 9278, 0
0, 16x16, 7352, 0
0, 16x16, 8796, 0
0, 16x16, 6936, 0
0, 16x16, 9082, 0
0, 16x16, 9020, 0
0, 16x16, 9032, 0
0, 16x16, 8822, 0
0, 16x16, 8976, 0
0, 16x16, 7270, 0
0, 16x16, 9048, 0
0, 16x16, 7257, 0
0, 16x16, 7294, 0
0, 16x16, 10345, 0
0, 16x16, 8796, 0
0, 16x16, 7121, 0
0, 16x16, 8476, 0
0, 16x16, 9450, 0
0, 16x16, 8559, 0
0, 16x16, 7772, 0
0, 16x16, 8784, 0
0, 16x16, 7418, 0
0, 16x16, 9164, 0
0, 16x16, 9980, 0
0, 16x16, 7143, 0
0, 16x16, 8860, 0
0, 16x16, 8255, 0
0, 16x16, 13670, 0
0, 16x16, 6697, 0
0, 16x16, 8462, 0
0, 16x16, 6891, 0
0, 16x16, 9354, 0
0, 16x16, 7000, 0
0, 16x16, 9316, 0
0, 16x16, 7642, 0
0, 16x16, 15893, 0
0, 16x16, 7155, 0
0, 16x16, 7191, 0
0, 16x16, 8876, 0
0, 16x16, 9454, 0
0, 16x16, 10296, 0
0, 16x16, 9808, 0
0, 16x16, 7621, 0
0, 16x16, 9071, 0
0, 16x16, 7424, 0
0, 16x16, 6851, 0
0, 16x16, 15207, 0
0, 16x16, 7206, 0
0, 16x16, 8683, 0
0, 16x16, 7854, 0
0, 16x16, 10045, 0
0, 16x16, 6966, 0
1, 32x32, 18440, 0
1, 32x32, 12912, 0
1, 32x32, 40818, 0
1, 32x32, 19506, 0
1, 32x32, 20440, 0
1, 32x32, 26658, 0
1, 32x32, 18380, 0
1, 32x32, 17792, 0
1, 32x32, 16513, 0
1, 32x32, 16400, 0
1, 32x32, 16600, 0
1, 32x32, 13870, 0
1, 32x32, 20445, 0
1, 32x32, 17108, 0
1, 32x32, 17492, 0
1, 32x32, 13718, 0
1, 32x32, 19032, 0
1, 32x32, 13836, 0
1, 32x32, 17654, 0
1, 32x32, 16487, 0
1, 32x32, 17512, 0
1, 32x32, 13652, 0
1, 32x32, 15851, 0
1, 32x32, 16708, 0
1, 32x32, 14015, 0
1, 32x32, 17918, 0
1, 32x32, 16050, 0
1, 32x32, 13548, 0
1, 32x32, 16454, 0
1, 32x32, 17972, 0
1, 32x32, 18496, 0
1, 32x32, 14082, 0
1, 32x32, 13139, 0
1, 32x32, 17762, 0
1, 32x32, 13797, 0
1, 32x32, 13073, 0
1, 32x32, 18716, 0
1, 32x32, 16936, 0
1, 32x32, 13857, 0
1, 32x32, 16675, 0
1, 32x32, 16596, 0
1, 32x32, 26900, 0
1, 32x32, 13685, 0
1, 32x32, 17532, 0
