N, WxH, Clock, Param0
0, 16x16, 16650, 0
0, 16x16, 7388, 0
0, 16x16, 7070, 0
0, 16x16, 10445, 0
0, 16x16, 9008, 0
0, 16x16, 10645, 0
0, 16x16, 7349, 0
0, 16x16, 8646, 0
0, 16x16, 7309, 0
0, 16x16, 14679, 0
0, 16x16, 8966, 0
0, 16x16, 6694, 0
0, 16x16, 10856, 0
0, 16x16, 8418, 0
0, 16x16, 7452, 0
0, 16x16, 8591, 0
0, 16x16, 6821, 0
0, 16x16, 13836, 0
0, 16x16, 8892, 0
0, 16x16, 9224, 0
0, 16x16, 7715, 0
0, 16x16, 12930, 0
0, 16x16, 7261, 0
0, 16x16, 14164, 0
0, 16x16, 17075, 0
0, 16x16, 7139, 0
0, 16x16, 16516, 0
0, 16x16, 14108, 0
0, 16x16, 7582, 0
0, 16x16, 9150, 0
0, 16x16, 6639, 0
0, 16x16, 6915, 0
0, 16x16, 7297, 0
0, 16x16, 11040, 0
0, 16x16, 15265, 0
0, 16x16, 7242, 0
0, 16x16, 8976, 0
0, 16x16, 8838, 0
0, 16x16, 9596, 0
0, 16x16, 9632, 0
0, 16x16, 13454, 0
0, 16x16, 7336, 0
0, 16x16, 10360, 0
0, 16x16, 6667, 0
0, 16x16, 6897, 0
0, 16x16, 9048, 0
0, 16x16, 7028, 0
0, 16x16, 6806, 0
0, 16x16, 9010, 0
0, 16x16, 8612, 0
0, 16x16, 7412, 0
0, 16x16, 10060, 0
0, 16x16, 8609, 0
0, 16x16, 7473, 0
0, 16x16, 11385, 0
0, 16x16, 9296, 0
0, 16x16, 13606, 0
0, 16x16, 8558, 0
0, 16x16, 8856, 0
0, 16x16, 14485, 0
0, 16x16, 9441, 0
0, 16x16, 15100, 0
0, 16x16, 14593, 0
0, 16x16, 16800, 0
0, 16x16, 7188, 0
0, 16x16, 9212, 0
0, 16x16, 16333, 0
0, 16x16, 6997, 0
0, 16x16, 9985, 0
0, 16x16, 8800, 0
0, 16x16, 9780, 0
0, 16x16, 16525, 0
0, 16x16, 8944, 0
0, 16x16, 7127, 0
0, 16x16, 9004, 0
0, 16x16, 9158, 0
0, 16x16, 11085, 0
0, 16x16, 9536, 0
0, 16x16, 9062, 0
0, 16x16, 10585, 0
0, 16x16, 7461, 0
0, 16x16, 22375, 0
0, 16x16, 7464, 0
0, 16x16, 14058, 0
0, 16x16, 8800, 0
0, 16x16, 7297, 0
0, 16x16, 7388, 0
0, 16x16, 15658, 0
0, 16x16, 7215, 0
0, 16x16, 7130, 0
0, 16x16, 9200, 0
0, 16x16, 8238, 0
0, 16x16, 7461, 0
0, 16x16, 9116, 0
0, 16x16, 7012, 0
0, 16x16, 8736, 0
0, 16x16, 6694, 0
0, 16x16, 6964, 0
0, 16x16, 13792, 0
0, 16x16, 11315, 0
1, 32x32, 13891, 0
1, 32x32, 63277, 0
1, 32x32, 29958, 0
1, 32x32, 13097, 0
1, 32x32, 32625, 0
1, 32x32, 16741, 0
1, 32x32, 16679, 0
1, 32x32, 12888, 0
1, 32x32, 17620, 0
1, 32x32, 13894, 0
1, 32x32, 18124, 0
1, 32x32, 13870, 0
1, 32x32, 16709, 0
1, 32x32, 19197, 0
1, 32x32, 17628, 0
1, 32x32, 12742, 0
1, 32x32, 14055, 0
1, 32x32, 27950, 0
1, 32x32, 13036, 0
1, 32x32, 20265, 0
1, 32x32, 32417, 0
1, 32x32, 12785, 0
1, 32x32, 29150, 0
1, 32x32, 12997, 0
1, 32x32, 25694, 0
1, 32x32, 13879, 0
1, 32x32, 18444, 0
1, 32x32, 32783, 0
1, 32x32, 16888, 0
1, 32x32, 16329, 0
1, 32x32, 13779, 0
1, 32x32, 20663, 0
1, 32x32, 17208, 0
1, 32x32, 12909, 0
1, 32x32, 17862, 0
1, 32x32, 13791, 0
1, 32x32, 13118, 0
1, 32x32, 17432, 0
1, 32x32, 14100, 0
1, 32x32, 17930, 0
1, 32x32, 20354, 0
1, 32x32, 16679, 0
1, 32x32, 13233, 0
1, 32x32, 16542, 0
1, 32x32, 15533, 0
1, 32x32, 17460, 0
1, 32x32, 16848, 0
1, 32x32, 13618, 0
1, 32x32, 12991, 0
1, 32x32, 20160, 0
1, 32x32, 17838, 0
1, 32x32, 31625, 0
1, 32x32, 12961, 0
1, 32x32, 26172, 0
1, 32x32, 16213, 0
1, 32x32, 16600, 0
1, 32x32, 19675, 0
1, 32x32, 16317, 0
1, 32x32, 16421, 0
1, 32x32, 12884, 0
1, 32x32, 19012, 0
1, 32x32, 17620, 0
1, 32x32, 17016, 0
1, 32x32, 13888, 0
1, 32x32, 17076, 0
1, 32x32, 24450, 0
1, 32x32, 13097, 0
1, 32x32, 26312, 0
1, 32x32, 31992, 0
1, 32x32, 30149, 0
1, 32x32, 18380, 0
1, 32x32, 13839, 0
1, 32x32, 24575, 0
1, 32x32, 17042, 0
1, 32x32, 12958, 0
1, 32x32, 17496, 0
1, 32x32, 12837, 0
1, 32x32, 25860, 0
1, 32x32, 13009, 0
1, 32x32, 18732, 0
1, 32x32, 13943, 0
1, 32x32, 16671, 0
1, 32x32, 17534, 0
1, 32x32, 25870, 0
1, 32x32, 13191, 0
1, 32x32, 18688, 0
1, 32x32, 13812, 0
1, 32x32, 14336, 0
1, 32x32, 16608, 0
1, 32x32, 17750, 0
1, 32x32, 13894, 0
1, 32x32, 16363, 0
1, 32x32, 17020, 0
1, 32x32, 22530, 0
1, 32x32, 18756, 0
1, 32x32, 29350, 0
1, 32x32, 13943, 0
1, 32x32, 20839, 0
1, 32x32, 12752, 0
1, 32x32, 12733, 0
2, 48x48, 31632, 0
2, 48x48, 23509, 0
2, 48x48, 31112, 0
2, 48x48, 31088, 0
2, 48x48, 23433, 0
2, 48x48, 29971, 0
2, 48x48, 23161, 0
2, 48x48, 29842, 0
2, 48x48, 29867, 0
2, 48x48, 29788, 0
2, 48x48, 31548, 0
2, 48x48, 59192, 0
2, 48x48, 24973, 0
2, 48x48, 23334, 0
2, 48x48, 31264, 0
2, 48x48, 23415, 0
2, 48x48, 34572, 0
2, 48x48, 35380, 0
2, 48x48, 32770, 0
2, 48x48, 23579, 0
2, 48x48, 34256, 0
2, 48x48, 25931, 0
2, 48x48, 32982, 0
2, 48x48, 26503, 0
2, 48x48, 23206, 0
2, 48x48, 23800, 0
2, 48x48, 23233, 0
2, 48x48, 30033, 0
2, 48x48, 47594, 0
2, 48x48, 23624, 0
2, 48x48, 30171, 0
2, 48x48, 23458, 0
2, 48x48, 48130, 0
2, 48x48, 24670, 0
2, 48x48, 48356, 0
2, 48x48, 25524, 0
2, 48x48, 31232, 0
2, 48x48, 29762, 0
2, 48x48, 31188, 0
2, 48x48, 32892, 0
2, 48x48, 23564, 0
2, 48x48, 30468, 0
2, 48x48, 23254, 0
2, 48x48, 31832, 0
2, 48x48, 23755, 0
2, 48x48, 25139, 0
2, 48x48, 31288, 0
2, 48x48, 24958, 0
2, 48x48, 30216, 0
2, 48x48, 25243, 0
2, 48x48, 34192, 0
2, 48x48, 25867, 0
2, 48x48, 58933, 0
2, 48x48, 25224, 0
2, 48x48, 36100, 0
2, 48x48, 25991, 0
2, 48x48, 25276, 0
2, 48x48, 35835, 0
2, 48x48, 47936, 0
2, 48x48, 30479, 0
2, 48x48, 45420, 0
2, 48x48, 23349, 0
2, 48x48, 44492, 0
2, 48x48, 25227, 0
2, 48x48, 25140, 0
2, 48x48, 25022, 0
2, 48x48, 34272, 0
2, 48x48, 23449, 0
2, 48x48, 56524, 0
2, 48x48, 34800, 0
2, 48x48, 31236, 0
2, 48x48, 31256, 0
2, 48x48, 37260, 0
2, 48x48, 23633, 0
2, 48x48, 31168, 0
2, 48x48, 48006, 0
2, 48x48, 52736, 0
2, 48x48, 25312, 0
2, 48x48, 32616, 0
2, 48x48, 23373, 0
2, 48x48, 51893, 0
2, 48x48, 23619, 0
2, 48x48, 34444, 0
2, 48x48, 24933, 0
2, 48x48, 24824, 0
2, 48x48, 32792, 0
2, 48x48, 25027, 0
2, 48x48, 34592, 0
2, 48x48, 25003, 0
2, 48x48, 25094, 0
2, 48x48, 34028, 0
2, 48x48, 25025, 0
2, 48x48, 32562, 0
2, 48x48, 25179, 0
2, 48x48, 25200, 0
2, 48x48, 23467, 0
2, 48x48, 32712, 0
2, 48x48, 29950, 0
2, 48x48, 25070, 0
2, 48x48, 29988, 0
3, 64x64, 89393, 0
3, 64x64, 48845, 0
3, 64x64, 83522, 0
3, 64x64, 51032, 0
3, 64x64, 50976, 0
3, 64x64, 56700, 0
3, 64x64, 42942, 0
3, 64x64, 52866, 0
3, 64x64, 40388, 0
3, 64x64, 51096, 0
3, 64x64, 40376, 0
3, 64x64, 40615, 0
3, 64x64, 40382, 0
3, 64x64, 37852, 0
3, 64x64, 53292, 0
3, 64x64, 40585, 0
3, 64x64, 40263, 0
3, 64x64, 37697, 0
3, 64x64, 83572, 0
3, 64x64, 40285, 0
3, 64x64, 38239, 0
3, 64x64, 134221, 0
3, 64x64, 41994, 0
3, 64x64, 40675, 0
3, 64x64, 53386, 0
3, 64x64, 73025, 0
3, 64x64, 37773, 0
3, 64x64, 50848, 0
3, 64x64, 37460, 0
3, 64x64, 39927, 0
3, 64x64, 53296, 0
3, 64x64, 61130, 0
3, 64x64, 65300, 0
3, 64x64, 51132, 0
3, 64x64, 37800, 0
3, 64x64, 48979, 0
3, 64x64, 39897, 0
3, 64x64, 50433, 0
3, 64x64, 40945, 0
3, 64x64, 48941, 0
3, 64x64, 38109, 0
3, 64x64, 73006, 0
3, 64x64, 37806, 0
3, 64x64, 53170, 0
3, 64x64, 37555, 0
3, 64x64, 50144, 0
3, 64x64, 38221, 0
3, 64x64, 55480, 0
3, 64x64, 48479, 0
3, 64x64, 48655, 0
3, 64x64, 40385, 0
3, 64x64, 84500, 0
3, 64x64, 37585, 0
3, 64x64, 105000, 0
3, 64x64, 52462, 0
3, 64x64, 37639, 0
3, 64x64, 51244, 0
3, 64x64, 40306, 0
3, 64x64, 40424, 0
3, 64x64, 40385, 0
3, 64x64, 50648, 0
3, 64x64, 49050, 0
3, 64x64, 58645, 0
3, 64x64, 41067, 0
3, 64x64, 53504, 0
3, 64x64, 40406, 0
3, 64x64, 50676, 0
3, 64x64, 37958, 0
3, 64x64, 96942, 0
3, 64x64, 41118, 0
3, 64x64, 49634, 0
3, 64x64, 48912, 0
3, 64x64, 83057, 0
3, 64x64, 40694, 0
3, 64x64, 50848, 0
3, 64x64, 40524, 0
3, 64x64, 50728, 0
3, 64x64, 40582, 0
3, 64x64, 77500, 0
3, 64x64, 38085, 0
3, 64x64, 37661, 0
3, 64x64, 58165, 0
3, 64x64, 40500, 0
3, 64x64, 40494, 0
3, 64x64, 58390, 0
3, 64x64, 91750, 0
3, 64x64, 40500, 0
3, 64x64, 52966, 0
3, 64x64, 37827, 0
3, 64x64, 48884, 0
3, 64x64, 50632, 0
3, 64x64, 80948, 0
3, 64x64, 49579, 0
3, 64x64, 50392, 0
3, 64x64, 63330, 0
3, 64x64, 50396, 0
3, 64x64, 53804, 0
3, 64x64, 40521, 0
3, 64x64, 50208, 0
3, 64x64, 51304, 0
4, 80x80, 73642, 0
4, 80x80, 56670, 0
4, 80x80, 76156, 0
4, 80x80, 57006, 0
4, 80x80, 60070, 0
4, 80x80, 73354, 0
4, 80x80, 56770, 0
4, 80x80, 76060, 0
4, 80x80, 60885, 0
4, 80x80, 72896, 0
4, 80x80, 72600, 0
4, 80x80, 60133, 0
4, 80x80, 60627, 0
4, 80x80, 72575, 0
4, 80x80, 56445, 0
4, 80x80, 83404, 0
4, 80x80, 56591, 0
4, 80x80, 79380, 0
4, 80x80, 117430, 0
4, 80x80, 56736, 0
4, 80x80, 76128, 0
4, 80x80, 73308, 0
4, 80x80, 60364, 0
4, 80x80, 59918, 0
4, 80x80, 82808, 0
4, 80x80, 60885, 0
4, 80x80, 72692, 0
4, 80x80, 72558, 0
4, 80x80, 56285, 0
4, 80x80, 77804, 0
4, 80x80, 56742, 0
4, 80x80, 128346, 0
4, 80x80, 60527, 0
4, 80x80, 97055, 0
4, 80x80, 96395, 0
4, 80x80, 83020, 0
4, 80x80, 73267, 0
4, 80x80, 72888, 0
4, 80x80, 60876, 0
4, 80x80, 79480, 0
4, 80x80, 76280, 0
4, 80x80, 56721, 0
4, 80x80, 56791, 0
4, 80x80, 236658, 0
4, 80x80, 72979, 0
4, 80x80, 75868, 0
4, 80x80, 79910, 0
4, 80x80, 83172, 0
4, 80x80, 56594, 0
4, 80x80, 87530, 0
4, 80x80, 57431, 0
4, 80x80, 124936, 0
4, 80x80, 123892, 0
4, 80x80, 83296, 0
4, 80x80, 72870, 0
4, 80x80, 56997, 0
4, 80x80, 73183, 0
4, 80x80, 116954, 0
4, 80x80, 60536, 0
4, 80x80, 61542, 0
4, 80x80, 56867, 0
4, 80x80, 60173, 0
4, 80x80, 60500, 0
4, 80x80, 76152, 0
4, 80x80, 106205, 0
4, 80x80, 56930, 0
4, 80x80, 136882, 0
4, 80x80, 83724, 0
4, 80x80, 97445, 0
4, 80x80, 102580, 0
4, 80x80, 56972, 0
4, 80x80, 79684, 0
4, 80x80, 73592, 0
4, 80x80, 133984, 0
4, 80x80, 73062, 0
4, 80x80, 56821, 0
4, 80x80, 60594, 0
4, 80x80, 73338, 0
4, 80x80, 56306, 0
4, 80x80, 58448, 0
4, 80x80, 60582, 0
4, 80x80, 61054, 0
4, 80x80, 72734, 0
4, 80x80, 60603, 0
4, 80x80, 79838, 0
4, 80x80, 60294, 0
4, 80x80, 56475, 0
4, 80x80, 92235, 0
4, 80x80, 72958, 0
4, 80x80, 76268, 0
4, 80x80, 60672, 0
4, 80x80, 80208, 0
4, 80x80, 72695, 0
4, 80x80, 72416, 0
4, 80x80, 104759, 0
4, 80x80, 109606, 0
4, 80x80, 76957, 0
4, 80x80, 56406, 0
4, 80x80, 57200, 0
4, 80x80, 76500, 0
5, 96x96, 119140, 0
5, 96x96, 122547, 0
5, 96x96, 117292, 0
5, 96x96, 86600, 0
5, 96x96, 149090, 0
5, 96x96, 126900, 0
5, 96x96, 121980, 0
5, 96x96, 112929, 0
5, 96x96, 130615, 0
5, 96x96, 112612, 0
5, 96x96, 117564, 0
5, 96x96, 118032, 0
5, 96x96, 93528, 0
5, 96x96, 123886, 0
5, 96x96, 112683, 0
5, 96x96, 92703, 0
5, 96x96, 135985, 0
5, 96x96, 88124, 0
5, 96x96, 192407, 0
5, 96x96, 185292, 0
5, 96x96, 92749, 0
5, 96x96, 93609, 0
5, 96x96, 93654, 0
5, 96x96, 92806, 0
5, 96x96, 113591, 0
5, 96x96, 92746, 0
5, 96x96, 116448, 0
5, 96x96, 117644, 0
5, 96x96, 93739, 0
5, 96x96, 86546, 0
5, 96x96, 86406, 0
5, 96x96, 96173, 0
5, 96x96, 112625, 0
5, 96x96, 117536, 0
5, 96x96, 118344, 0
5, 96x96, 92564, 0
5, 96x96, 224883, 0
5, 96x96, 113096, 0
5, 96x96, 86864, 0
5, 96x96, 93837, 0
5, 96x96, 93569, 0
5, 96x96, 93248, 0
5, 96x96, 112929, 0
5, 96x96, 179336, 0
5, 96x96, 104136, 0
5, 96x96, 112812, 0
5, 96x96, 192714, 0
5, 96x96, 113471, 0
5, 96x96, 133670, 0
5, 96x96, 112038, 0
5, 96x96, 129244, 0
5, 96x96, 183783, 0
5, 96x96, 207370, 0
5, 96x96, 105636, 0
5, 96x96, 93245, 0
5, 96x96, 134935, 0
5, 96x96, 92664, 0
5, 96x96, 118796, 0
5, 96x96, 150100, 0
5, 96x96, 135400, 0
5, 96x96, 117560, 0
5, 96x96, 158815, 0
5, 96x96, 134955, 0
5, 96x96, 93555, 0
5, 96x96, 164969, 0
5, 96x96, 93558, 0
5, 96x96, 92331, 0
5, 96x96, 98061, 0
5, 96x96, 142816, 0
5, 96x96, 93058, 0
5, 96x96, 156139, 0
5, 96x96, 93339, 0
5, 96x96, 157440, 0
5, 96x96, 93676, 0
5, 96x96, 92830, 0
5, 96x96, 112279, 0
5, 96x96, 87406, 0
5, 96x96, 117696, 0
5, 96x96, 87706, 0
5, 96x96, 117484, 0
5, 96x96, 87075, 0
5, 96x96, 144251, 0
5, 96x96, 133830, 0
5, 96x96, 223383, 0
5, 96x96, 113066, 0
5, 96x96, 93091, 0
5, 96x96, 141410, 0
5, 96x96, 111812, 0
5, 96x96, 116268, 0
5, 96x96, 168750, 0
5, 96x96, 93148, 0
5, 96x96, 89088, 0
5, 96x96, 118336, 0
5, 96x96, 87906, 0
5, 96x96, 86918, 0
5, 96x96, 159100, 0
5, 96x96, 86909, 0
5, 96x96, 114425, 0
5, 96x96, 127400, 0
5, 96x96, 150785, 0
6, 112x112, 113515, 0
6, 112x112, 199000, 0
6, 112x112, 132364, 0
6, 112x112, 106830, 0
6, 112x112, 138133, 0
6, 112x112, 107372, 0
6, 112x112, 136371, 0
6, 112x112, 112739, 0
6, 112x112, 142256, 0
6, 112x112, 142936, 0
6, 112x112, 105536, 0
6, 112x112, 138979, 0
6, 112x112, 113588, 0
6, 112x112, 136800, 0
6, 112x112, 109124, 0
6, 112x112, 177795, 0
6, 112x112, 143876, 0
6, 112x112, 182542, 0
6, 112x112, 157532, 0
6, 112x112, 275108, 0
6, 112x112, 113027, 0
6, 112x112, 113715, 0
6, 112x112, 142032, 0
6, 112x112, 222476, 0
6, 112x112, 114409, 0
