N, WxH, Clock, Param0
0, 16x16, 10036, 0
0, 16x16, 7361, 0
0, 16x16, 6303, 0
0, 16x16, 8379, 0
0, 16x16, 14150, 0
0, 16x16, 7091, 0
0, 16x16, 10278, 0
0, 16x16, 16883, 0
0, 16x16, 8521, 0
0, 16x16, 7227, 0
0, 16x16, 8691, 0
0, 16x16, 7425, 0
0, 16x16, 8600, 0
0, 16x16, 10175, 0
0, 16x16, 6851, 0
0, 16x16, 7488, 0
0, 16x16, 8628, 0
0, 16x16, 8509, 0
0, 16x16, 6927, 0
0, 16x16, 8157, 0
0, 16x16, 6815, 0
0, 16x16, 7367, 0
0, 16x16, 6997, 0
0, 16x16, 11415, 0
0, 16x16, 7442, 0
0, 16x16, 7279, 0
0, 16x16, 10240, 0
0, 16x16, 16400, 0
0, 16x16, 7939, 0
0, 16x16, 8904, 0
0, 16x16, 7779, 0
0, 16x16, 6958, 0
0, 16x16, 12990, 0
0, 16x16, 7082, 0
0, 16x16, 11905, 0
0, 16x16, 8550, 0
0, 16x16, 7291, 0
0, 16x16, 8900, 0
0, 16x16, 22534, 0
0, 16x16, 7243, 0
0, 16x16, 7406, 0
0, 16x16, 8772, 0
0, 16x16, 8734, 0
0, 16x16, 7348, 0
0, 16x16, 10443, 0
0, 16x16, 7185, 0
0, 16x16, 12145, 0
0, 16x16, 10815, 0
0, 16x16, 7469, 0
0, 16x16, 10335, 0
0, 16x16, 8471, 0
0, 16x16, 6976, 0
0, 16x16, 6576, 0
0, 16x16, 8870, 0
0, 16x16, 9576, 0
0, 16x16, 8362, 0
0, 16x16, 7161, 0
0, 16x16, 7024, 0
0, 16x16, 7003, 0
0, 16x16, 9088, 0
0, 16x16, 7512, 0
0, 16x16, 6951, 0
0, 16x16, 8763, 0
0, 16x16, 6730, 0
0, 16x16, 9880, 0
0, 16x16, 10012, 0
0, 16x16, 8621, 0
0, 16x16, 6916, 0
0, 16x16, 6300, 0
0, 16x16, 8650, 0
0, 16x16, 6725, 0
0, 16x16, 9376, 0
0, 16x16, 9730, 0
0, 16x16, 12224, 0
0, 16x16, 6831, 0
0, 16x16, 8492, 0
0, 16x16, 7294, 0
0, 16x16, 7460, 0
0, 16x16, 7106, 0
0, 16x16, 6594, 0
0, 16x16, 6721, 0
0, 16x16, 9012, 0
0, 16x16, 8816, 0
0, 16x16, 6858, 0
0, 16x16, 8596, 0
0, 16x16, 7485, 0
0, 16x16, 6658, 0
0, 16x16, 9856, 0
0, 16x16, 7382, 0
0, 16x16, 11654, 0
0, 16x16, 10360, 0
0, 16x16, 7142, 0
0, 16x16, 14515, 0
0, 16x16, 8752, 0
0, 16x16, 8567, 0
0, 16x16, 7179, 0
0, 16x16, 6697, 0
0, 16x16, 10656, 0
0, 16x16, 9300, 0
0, 16x16, 7570, 0
1, 32x32, 12969, 0
1, 32x32, 32750, 0
1, 32x32, 13109, 0
1, 32x32, 33555, 0
1, 32x32, 13361, 0
1, 32x32, 21915, 0
1, 32x32, 24375, 0
1, 32x32, 16846, 0
1, 32x32, 18096, 0
1, 32x32, 13348, 0
1, 32x32, 13833, 0
1, 32x32, 12624, 0
1, 32x32, 21690, 0
1, 32x32, 17228, 0
1, 32x32, 12806, 0
