N, WxH, Clock, Param0
0, 16x16, 7827, 0
1, 32x32, 27360, 0
2, 48x48, 28872, 0
3, 64x64, 46380, 0
4, 80x80, 77580, 0
5, 96x96, 111040, 0
6, 112x112, 150884, 0
7, 128x128, 166962, 0
8, 144x144, 219724, 0
9, 160x160, 325628, 0
10, 176x176, 311076, 0
11, 192x192, 374748, 0
12, 208x208, 461388, 0
13, 224x224, 745830, 0
14, 240x240, 622680, 0
15, 256x256, 741306, 0
16, 272x272, 760508, 0
17, 288x288, 866832, 0
18, 304x304, 994581, 0
19, 320x320, 1021962, 0
0, 16x16, 15383, 0
0, 16x16, 8013, 0
0, 16x16, 8440, 0
0, 16x16, 8652, 0
0, 16x16, 8464, 0
0, 16x16, 8442, 0
0, 16x16, 7875, 0
0, 16x16, 9264, 0
0, 16x16, 8652, 0
0, 16x16, 8178, 0
0, 16x16, 8536, 0
0, 16x16, 8612, 0
0, 16x16, 9268, 0
0, 16x16, 8388, 0
0, 16x16, 8380, 0
0, 16x16, 8616, 0
0, 16x16, 8284, 0
0, 16x16, 9620, 0
0, 16x16, 8748, 0
0, 16x16, 8211, 0
0, 16x16, 9140, 0
0, 16x16, 8352, 0
0, 16x16, 7842, 0
0, 16x16, 8624, 0
0, 16x16, 8280, 0
0, 16x16, 8676, 0
0, 16x16, 8636, 0
0, 16x16, 8172, 0
0, 16x16, 8151, 0
0, 16x16, 15713, 0
0, 16x16, 8196, 0
0, 16x16, 8316, 0
0, 16x16, 8692, 0
0, 16x16, 12924, 0
0, 16x16, 9732, 0
0, 16x16, 10480, 0
0, 16x16, 8656, 0
0, 16x16, 15743, 0
0, 16x16, 8721, 0
0, 16x16, 9088, 0
0, 16x16, 8560, 0
0, 16x16, 8112, 0
0, 16x16, 8220, 0
0, 16x16, 8148, 0
0, 16x16, 16456, 0
0, 16x16, 8040, 0
0, 16x16, 7938, 0
0, 16x16, 8532, 0
0, 16x16, 8592, 0
0, 16x16, 8460, 0
0, 16x16, 8164, 0
0, 16x16, 7500, 0
0, 16x16, 9796, 0
0, 16x16, 8316, 0
0, 16x16, 9144, 0
0, 16x16, 8568, 0
0, 16x16, 8472, 0
0, 16x16, 13805, 0
0, 16x16, 9492, 0
0, 16x16, 9908, 0
0, 16x16, 8732, 0
0, 16x16, 8301, 0
0, 16x16, 8901, 0
0, 16x16, 8992, 0
0, 16x16, 9932, 0
0, 16x16, 10216, 0
0, 16x16, 8532, 0
0, 16x16, 7641, 0
0, 16x16, 9468, 0
0, 16x16, 11445, 0
0, 16x16, 7923, 0
0, 16x16, 9268, 0
0, 16x16, 15736, 0
0, 16x16, 12624, 0
0, 16x16, 9008, 0
0, 16x16, 8940, 0
0, 16x16, 8384, 0
0, 16x16, 8516, 0
0, 16x16, 8528, 0
0, 16x16, 8352, 0
0, 16x16, 7977, 0
0, 16x16, 9152, 0
0, 16x16, 9708, 0
0, 16x16, 8224, 0
0, 16x16, 8226, 0
0, 16x16, 8540, 0
0, 16x16, 8736, 0
0, 16x16, 8548, 0
0, 16x16, 8764, 0
0, 16x16, 8224, 0
0, 16x16, 8052, 0
0, 16x16, 7962, 0
0, 16x16, 8280, 0
0, 16x16, 9988, 0
0, 16x16, 8202, 0
0, 16x16, 10505, 0
0, 16x16, 12940, 0
0, 16x16, 16304, 0
0, 16x16, 8312, 0
0, 16x16, 7902, 0
1, 32x32, 16428, 0
1, 32x32, 16512, 0
1, 32x32, 17676, 0
1, 32x32, 15384, 0
1, 32x32, 15792, 0
1, 32x32, 22290, 0
1, 32x32, 15964, 0
1, 32x32, 15477, 0
1, 32x32, 16256, 0
1, 32x32, 15920, 0
1, 32x32, 17148, 0
1, 32x32, 18696, 0
1, 32x32, 15824, 0
1, 32x32, 16748, 0
1, 32x32, 16036, 0
1, 32x32, 17760, 0
1, 32x32, 15648, 0
1, 32x32, 17068, 0
1, 32x32, 16424, 0
1, 32x32, 19755, 0
1, 32x32, 15108, 0
1, 32x32, 16352, 0
1, 32x32, 34747, 0
1, 32x32, 15372, 0
1, 32x32, 19136, 0
1, 32x32, 16064, 0
1, 32x32, 16020, 0
1, 32x32, 16732, 0
1, 32x32, 15516, 0
1, 32x32, 16340, 0
1, 32x32, 19890, 0
1, 32x32, 16260, 0
1, 32x32, 15908, 0
1, 32x32, 16492, 0
1, 32x32, 16088, 0
1, 32x32, 15126, 0
1, 32x32, 15852, 0
1, 32x32, 16128, 0
1, 32x32, 16072, 0
1, 32x32, 15936, 0
1, 32x32, 15432, 0
1, 32x32, 23705, 0
1, 32x32, 16016, 0
1, 32x32, 16104, 0
1, 32x32, 17284, 0
1, 32x32, 16224, 0
1, 32x32, 16800, 0
1, 32x32, 18056, 0
1, 32x32, 60404, 0
1, 32x32, 16920, 0
1, 32x32, 15628, 0
1, 32x32, 18168, 0
1, 32x32, 15696, 0
1, 32x32, 22700, 0
1, 32x32, 15345, 0
1, 32x32, 16668, 0
1, 32x32, 16224, 0
1, 32x32, 15728, 0
1, 32x32, 16172, 0
1, 32x32, 16128, 0
1, 32x32, 15664, 0
1, 32x32, 16856, 0
1, 32x32, 16668, 0
1, 32x32, 15261, 0
1, 32x32, 17248, 0
1, 32x32, 17136, 0
1, 32x32, 16044, 0
1, 32x32, 27763, 0
1, 32x32, 60301, 0
1, 32x32, 16884, 0
1, 32x32, 15156, 0
1, 32x32, 17404, 0
1, 32x32, 16064, 0
1, 32x32, 16312, 0
1, 32x32, 16364, 0
1, 32x32, 51563, 0
1, 32x32, 17556, 0
1, 32x32, 16156, 0
1, 32x32, 15652, 0
1, 32x32, 16028, 0
1, 32x32, 19096, 0
1, 32x32, 16348, 0
1, 32x32, 15744, 0
1, 32x32, 17484, 0
1, 32x32, 16220, 0
1, 32x32, 15776, 0
1, 32x32, 16096, 0
1, 32x32, 16788, 0
1, 32x32, 15552, 0
1, 32x32, 16788, 0
1, 32x32, 16352, 0
1, 32x32, 17648, 0
1, 32x32, 15720, 0
1, 32x32, 54065, 0
1, 32x32, 17724, 0
1, 32x32, 16140, 0
1, 32x32, 15756, 0
1, 32x32, 15468, 0
1, 32x32, 18812, 0
1, 32x32, 19000, 0
2, 48x48, 28876, 0
2, 48x48, 32020, 0
2, 48x48, 28700, 0
2, 48x48, 29740, 0
2, 48x48, 30524, 0
2, 48x48, 40410, 0
2, 48x48, 35820, 0
2, 48x48, 28680, 0
2, 48x48, 28596, 0
2, 48x48, 33648, 0
2, 48x48, 31900, 0
2, 48x48, 29132, 0
2, 48x48, 37075, 0
2, 48x48, 29432, 0
2, 48x48, 30404, 0
2, 48x48, 30296, 0
2, 48x48, 29388, 0
2, 48x48, 29664, 0
2, 48x48, 31656, 0
2, 48x48, 29500, 0
2, 48x48, 27201, 0
2, 48x48, 29640, 0
2, 48x48, 26916, 0
2, 48x48, 29788, 0
2, 48x48, 29904, 0
2, 48x48, 28836, 0
2, 48x48, 29948, 0
2, 48x48, 29800, 0
2, 48x48, 30336, 0
2, 48x48, 28796, 0
2, 48x48, 30072, 0
2, 48x48, 34516, 0
2, 48x48, 29456, 0
2, 48x48, 29468, 0
2, 48x48, 29528, 0
2, 48x48, 28828, 0
2, 48x48, 29504, 0
2, 48x48, 29636, 0
2, 48x48, 29548, 0
2, 48x48, 27795, 0
2, 48x48, 30848, 0
2, 48x48, 28468, 0
2, 48x48, 29004, 0
2, 48x48, 32288, 0
2, 48x48, 30388, 0
2, 48x48, 30064, 0
2, 48x48, 43770, 0
2, 48x48, 55724, 0
2, 48x48, 29528, 0
2, 48x48, 28944, 0
2, 48x48, 34456, 0
2, 48x48, 36232, 0
2, 48x48, 34824, 0
2, 48x48, 29468, 0
2, 48x48, 29780, 0
2, 48x48, 29664, 0
2, 48x48, 28023, 0
2, 48x48, 34028, 0
2, 48x48, 30896, 0
2, 48x48, 29572, 0
2, 48x48, 29004, 0
2, 48x48, 31436, 0
2, 48x48, 29872, 0
2, 48x48, 29704, 0
2, 48x48, 29788, 0
2, 48x48, 27948, 0
2, 48x48, 29744, 0
2, 48x48, 34000, 0
2, 48x48, 28191, 0
2, 48x48, 30476, 0
2, 48x48, 29652, 0
2, 48x48, 28668, 0
2, 48x48, 29960, 0
2, 48x48, 29732, 0
2, 48x48, 31908, 0
2, 48x48, 28712, 0
2, 48x48, 28708, 0
2, 48x48, 28888, 0
2, 48x48, 35232, 0
2, 48x48, 29772, 0
2, 48x48, 29556, 0
2, 48x48, 27258, 0
2, 48x48, 31320, 0
2, 48x48, 28812, 0
2, 48x48, 31976, 0
2, 48x48, 29680, 0
2, 48x48, 50256, 0
2, 48x48, 34856, 0
2, 48x48, 33104, 0
2, 48x48, 29472, 0
2, 48x48, 29524, 0
2, 48x48, 29604, 0
2, 48x48, 28764, 0
2, 48x48, 28408, 0
2, 48x48, 29380, 0
2, 48x48, 30032, 0
2, 48x48, 31360, 0
2, 48x48, 34352, 0
2, 48x48, 29012, 0
2, 48x48, 29160, 0
3, 64x64, 52164, 0
3, 64x64, 46665, 0
3, 64x64, 48620, 0
3, 64x64, 48168, 0
3, 64x64, 48376, 0
3, 64x64, 45798, 0
3, 64x64, 48396, 0
3, 64x64, 48024, 0
3, 64x64, 45666, 0
3, 64x64, 52428, 0
3, 64x64, 58035, 0
3, 64x64, 47084, 0
3, 64x64, 52104, 0
3, 64x64, 51188, 0
3, 64x64, 46752, 0
3, 64x64, 48736, 0
3, 64x64, 62660, 0
3, 64x64, 46776, 0
3, 64x64, 82454, 0
3, 64x64, 46336, 0
3, 64x64, 48224, 0
3, 64x64, 46836, 0
3, 64x64, 46340, 0
3, 64x64, 54676, 0
3, 64x64, 48020, 0
3, 64x64, 54260, 0
3, 64x64, 63640, 0
3, 64x64, 53252, 0
3, 64x64, 58175, 0
3, 64x64, 47252, 0
3, 64x64, 48044, 0
3, 64x64, 47780, 0
3, 64x64, 46708, 0
3, 64x64, 46764, 0
3, 64x64, 61225, 0
3, 64x64, 47956, 0
3, 64x64, 52544, 0
3, 64x64, 51284, 0
3, 64x64, 45831, 0
3, 64x64, 52676, 0
3, 64x64, 48224, 0
3, 64x64, 55496, 0
3, 64x64, 46568, 0
3, 64x64, 55236, 0
3, 64x64, 48416, 0
3, 64x64, 47008, 0
3, 64x64, 49136, 0
3, 64x64, 84099, 0
3, 64x64, 49737, 0
3, 64x64, 46808, 0
3, 64x64, 46312, 0
3, 64x64, 48100, 0
3, 64x64, 48696, 0
3, 64x64, 47032, 0
3, 64x64, 49940, 0
3, 64x64, 48320, 0
3, 64x64, 52444, 0
3, 64x64, 51688, 0
3, 64x64, 55692, 0
3, 64x64, 47912, 0
3, 64x64, 48212, 0
3, 64x64, 47072, 0
3, 64x64, 48476, 0
3, 64x64, 47952, 0
3, 64x64, 51876, 0
3, 64x64, 45468, 0
3, 64x64, 47852, 0
3, 64x64, 48588, 0
3, 64x64, 46560, 0
3, 64x64, 56036, 0
3, 64x64, 87450, 0
3, 64x64, 57885, 0
3, 64x64, 44826, 0
3, 64x64, 48212, 0
3, 64x64, 46524, 0
3, 64x64, 46005, 0
3, 64x64, 50544, 0
3, 64x64, 48344, 0
3, 64x64, 44886, 0
3, 64x64, 51684, 0
3, 64x64, 48488, 0
3, 64x64, 47056, 0
3, 64x64, 45348, 0
3, 64x64, 48400, 0
3, 64x64, 47920, 0
3, 64x64, 45381, 0
3, 64x64, 63930, 0
3, 64x64, 51676, 0
3, 64x64, 45009, 0
3, 64x64, 48120, 0
3, 64x64, 47848, 0
3, 64x64, 46928, 0
3, 64x64, 49820, 0
3, 64x64, 48060, 0
3, 64x64, 48176, 0
3, 64x64, 44700, 0
3, 64x64, 51884, 0
3, 64x64, 46932, 0
3, 64x64, 48088, 0
3, 64x64, 48080, 0
4, 80x80, 111584, 0
4, 80x80, 75984, 0
4, 80x80, 80124, 0
4, 80x80, 69736, 0
4, 80x80, 69248, 0
4, 80x80, 72364, 0
4, 80x80, 73432, 0
4, 80x80, 70060, 0
4, 80x80, 70964, 0
4, 80x80, 72176, 0
4, 80x80, 80344, 0
4, 80x80, 78856, 0
4, 80x80, 71340, 0
4, 80x80, 67956, 0
4, 80x80, 72656, 0
4, 80x80, 72752, 0
4, 80x80, 72488, 0
4, 80x80, 72336, 0
4, 80x80, 71676, 0
4, 80x80, 70832, 0
4, 80x80, 72168, 0
4, 80x80, 72376, 0
4, 80x80, 71996, 0
4, 80x80, 67308, 0
4, 80x80, 72308, 0
4, 80x80, 75272, 0
4, 80x80, 71944, 0
4, 80x80, 81396, 0
4, 80x80, 123770, 0
4, 80x80, 83988, 0
4, 80x80, 72512, 0
4, 80x80, 83792, 0
4, 80x80, 69396, 0
4, 80x80, 69696, 0
4, 80x80, 72488, 0
4, 80x80, 82092, 0
4, 80x80, 83412, 0
4, 80x80, 84652, 0
4, 80x80, 71756, 0
4, 80x80, 68031, 0
4, 80x80, 109836, 0
4, 80x80, 73156, 0
4, 80x80, 72168, 0
4, 80x80, 65409, 0
4, 80x80, 73544, 0
4, 80x80, 110412, 0
4, 80x80, 77260, 0
4, 80x80, 70380, 0
4, 80x80, 133371, 0
4, 80x80, 67602, 0
4, 80x80, 72600, 0
4, 80x80, 72312, 0
4, 80x80, 68901, 0
4, 80x80, 83624, 0
4, 80x80, 70288, 0
4, 80x80, 69944, 0
4, 80x80, 95980, 0
4, 80x80, 71896, 0
4, 80x80, 67662, 0
4, 80x80, 73124, 0
4, 80x80, 84748, 0
4, 80x80, 84380, 0
4, 80x80, 72192, 0
4, 80x80, 67680, 0
4, 80x80, 74192, 0
4, 80x80, 72448, 0
4, 80x80, 70280, 0
4, 80x80, 78236, 0
4, 80x80, 67869, 0
4, 80x80, 73000, 0
4, 80x80, 74840, 0
4, 80x80, 67089, 0
4, 80x80, 70360, 0
4, 80x80, 85656, 0
4, 80x80, 65289, 0
4, 80x80, 72528, 0
4, 80x80, 73352, 0
4, 80x80, 67647, 0
4, 80x80, 72036, 0
4, 80x80, 72300, 0
4, 80x80, 65343, 0
4, 80x80, 130066, 0
4, 80x80, 100880, 0
