N, WxH, Clock, Param0, Param1, Param2
0, 16x16, 57115, 30.0, 1.0, 0.1
0, 16x16, 35897, 30.0, 1.0, 0.1
0, 16x16, 43736, 30.0, 1.0, 0.1
0, 16x16, 49092, 30.0, 1.0, 0.1
0, 16x16, 43292, 30.0, 1.0, 0.1
0, 16x16, 37012, 30.0, 1.0, 0.1
0, 16x16, 44972, 30.0, 1.0, 0.1
0, 16x16, 60550, 30.0, 1.0, 0.1
0, 16x16, 35721, 30.0, 1.0, 0.1
0, 16x16, 36009, 30.0, 1.0, 0.1
1, 32x32, 141391, 30.0, 1.0, 0.1
1, 32x32, 142261, 30.0, 1.0, 0.1
1, 32x32, 141624, 30.0, 1.0, 0.1
1, 32x32, 178244, 30.0, 1.0, 0.1
1, 32x32, 171618, 30.0, 1.0, 0.1
1, 32x32, 141609, 30.0, 1.0, 0.1
1, 32x32, 141255, 30.0, 1.0, 0.1
1, 32x32, 194808, 30.0, 1.0, 0.1
1, 32x32, 178156, 30.0, 1.0, 0.1
1, 32x32, 214895, 30.0, 1.0, 0.1
2, 48x48, 297479, 30.0, 1.0, 0.1
2, 48x48, 317355, 30.0, 1.0, 0.1
2, 48x48, 637415, 30.0, 1.0, 0.1
2, 48x48, 343303, 30.0, 1.0, 0.1
2, 48x48, 317597, 30.0, 1.0, 0.1
2, 48x48, 362197, 30.0, 1.0, 0.1
2, 48x48, 398588, 30.0, 1.0, 0.1
2, 48x48, 353534, 30.0, 1.0, 0.1
2, 48x48, 320109, 30.0, 1.0, 0.1
2, 48x48, 386797, 30.0, 1.0, 0.1
3, 64x64, 563533, 30.0, 1.0, 0.1
3, 64x64, 683326, 30.0, 1.0, 0.1
3, 64x64, 578049, 30.0, 1.0, 0.1
3, 64x64, 564679, 30.0, 1.0, 0.1
3, 64x64, 685515, 30.0, 1.0, 0.1
3, 64x64, 710452, 30.0, 1.0, 0.1
3, 64x64, 1065393, 30.0, 1.0, 0.1
3, 64x64, 1468642, 30.0, 1.0, 0.1
3, 64x64, 524809, 30.0, 1.0, 0.1
3, 64x64, 683259, 30.0, 1.0, 0.1
4, 80x80, 1469288, 30.0, 1.0, 0.1
4, 80x80, 1285130, 30.0, 1.0, 0.1
4, 80x80, 1243346, 30.0, 1.0, 0.1
4, 80x80, 877231, 30.0, 1.0, 0.1
4, 80x80, 1064983, 30.0, 1.0, 0.1
4, 80x80, 824730, 30.0, 1.0, 0.1
4, 80x80, 1147334, 30.0, 1.0, 0.1
4, 80x80, 976512, 30.0, 1.0, 0.1
4, 80x80, 1521364, 30.0, 1.0, 0.1
4, 80x80, 880145, 30.0, 1.0, 0.1
5, 96x96, 1536462, 30.0, 1.0, 0.1
5, 96x96, 1755568, 30.0, 1.0, 0.1
5, 96x96, 1319107, 30.0, 1.0, 0.1
5, 96x96, 1426582, 30.0, 1.0, 0.1
5, 96x96, 1663261, 30.0, 1.0, 0.1
5, 96x96, 1521564, 30.0, 1.0, 0.1
5, 96x96, 1267375, 30.0, 1.0, 0.1
5, 96x96, 1302027, 30.0, 1.0, 0.1
5, 96x96, 1230321, 30.0, 1.0, 0.1
5, 96x96, 1733719, 30.0, 1.0, 0.1
6, 112x112, 2727674, 30.0, 1.0, 0.1
6, 112x112, 2207866, 30.0, 1.0, 0.1
6, 112x112, 2795801, 30.0, 1.0, 0.1
6, 112x112, 2190914, 30.0, 1.0, 0.1
6, 112x112, 1833394, 30.0, 1.0, 0.1
6, 112x112, 2594176, 30.0, 1.0, 0.1
6, 112x112, 2065367, 30.0, 1.0, 0.1
