N, WxH, Clock, Param0, Param1, Param2
0, 16x16, 36182, 30.0, 1.0, 0.1
0, 16x16, 54325, 30.0, 1.0, 0.1
0, 16x16, 65025, 30.0, 1.0, 0.1
0, 16x16, 52245, 30.0, 1.0, 0.1
0, 16x16, 49668, 30.0, 1.0, 0.1
0, 16x16, 36339, 30.0, 1.0, 0.1
0, 16x16, 86625, 30.0, 1.0, 0.1
0, 16x16, 35939, 30.0, 1.0, 0.1
0, 16x16, 33866, 30.0, 1.0, 0.1
0, 16x16, 45512, 30.0, 1.0, 0.1
1, 32x32, 207080, 30.0, 1.0, 0.1
1, 32x32, 194780, 30.0, 1.0, 0.1
1, 32x32, 293693, 30.0, 1.0, 0.1
1, 32x32, 197728, 30.0, 1.0, 0.1
1, 32x32, 197316, 30.0, 1.0, 0.1
1, 32x32, 142155, 30.0, 1.0, 0.1
1, 32x32, 171243, 30.0, 1.0, 0.1
1, 32x32, 243400, 30.0, 1.0, 0.1
1, 32x32, 179388, 30.0, 1.0, 0.1
1, 32x32, 342500, 30.0, 1.0, 0.1
2, 48x48, 513645, 30.0, 1.0, 0.1
2, 48x48, 321664, 30.0, 1.0, 0.1
2, 48x48, 356944, 30.0, 1.0, 0.1
2, 48x48, 387804, 30.0, 1.0, 0.1
2, 48x48, 404864, 30.0, 1.0, 0.1
2, 48x48, 404460, 30.0, 1.0, 0.1
2, 48x48, 387229, 30.0, 1.0, 0.1
2, 48x48, 413212, 30.0, 1.0, 0.1
2, 48x48, 323779, 30.0, 1.0, 0.1
2, 48x48, 322164, 30.0, 1.0, 0.1
3, 64x64, 691615, 30.0, 1.0, 0.1
3, 64x64, 592467, 30.0, 1.0, 0.1
3, 64x64, 570888, 30.0, 1.0, 0.1
3, 64x64, 701800, 30.0, 1.0, 0.1
3, 64x64, 570785, 30.0, 1.0, 0.1
3, 64x64, 1026168, 30.0, 1.0, 0.1
3, 64x64, 701912, 30.0, 1.0, 0.1
3, 64x64, 1099652, 30.0, 1.0, 0.1
3, 64x64, 603936, 30.0, 1.0, 0.1
3, 64x64, 1029793, 30.0, 1.0, 0.1
4, 80x80, 1324842, 30.0, 1.0, 0.1
4, 80x80, 890569, 30.0, 1.0, 0.1
4, 80x80, 857996, 30.0, 1.0, 0.1
4, 80x80, 1795252, 30.0, 1.0, 0.1
4, 80x80, 1552500, 30.0, 1.0, 0.1
4, 80x80, 1074405, 30.0, 1.0, 0.1
4, 80x80, 1079137, 30.0, 1.0, 0.1
4, 80x80, 889836, 30.0, 1.0, 0.1
4, 80x80, 1174008, 30.0, 1.0, 0.1
4, 80x80, 890854, 30.0, 1.0, 0.1
5, 96x96, 2157840, 30.0, 1.0, 0.1
5, 96x96, 1281497, 30.0, 1.0, 0.1
5, 96x96, 2500170, 30.0, 1.0, 0.1
5, 96x96, 1217557, 30.0, 1.0, 0.1
5, 96x96, 1862465, 30.0, 1.0, 0.1
5, 96x96, 1498332, 30.0, 1.0, 0.1
5, 96x96, 1299800, 30.0, 1.0, 0.1
5, 96x96, 1280430, 30.0, 1.0, 0.1
5, 96x96, 1198751, 30.0, 1.0, 0.1
5, 96x96, 1282982, 30.0, 1.0, 0.1
6, 112x112, 2060762, 30.0, 1.0, 0.1
6, 112x112, 2546186, 30.0, 1.0, 0.1
6, 112x112, 2101712, 30.0, 1.0, 0.1
6, 112x112, 1632879, 30.0, 1.0, 0.1
6, 112x112, 2349434, 30.0, 1.0, 0.1
6, 112x112, 2691342, 30.0, 1.0, 0.1
6, 112x112, 2298684, 30.0, 1.0, 0.1
6, 112x112, 1632939, 30.0, 1.0, 0.1
6, 112x112, 1631118, 30.0, 1.0, 0.1
6, 112x112, 1741815, 30.0, 1.0, 0.1
7, 128x128, 3163313, 30.0, 1.0, 0.1
7, 128x128, 3043383, 30.0, 1.0, 0.1
7, 128x128, 3337731, 30.0, 1.0, 0.1
7, 128x128, 4874792, 30.0, 1.0, 0.1
7, 128x128, 4435480, 30.0, 1.0, 0.1
7, 128x128, 2750846, 30.0, 1.0, 0.1
7, 128x128, 2281152, 30.0, 1.0, 0.1
7, 128x128, 2293191, 30.0, 1.0, 0.1
