N, WxH, Clock, Param0, Param1, Param2
0, 16x16, 36242, 30.0, 1.0, 0.1
0, 16x16, 33385, 30.0, 1.0, 0.1
0, 16x16, 57282, 30.0, 1.0, 0.1
0, 16x16, 44812, 30.0, 1.0, 0.1
0, 16x16, 85425, 30.0, 1.0, 0.1
0, 16x16, 33333, 30.0, 1.0, 0.1
0, 16x16, 54540, 30.0, 1.0, 0.1
0, 16x16, 33464, 30.0, 1.0, 0.1
0, 16x16, 78709, 30.0, 1.0, 0.1
0, 16x16, 43138, 30.0, 1.0, 0.1
1, 32x32, 132288, 30.0, 1.0, 0.1
1, 32x32, 177976, 30.0, 1.0, 0.1
1, 32x32, 178671, 30.0, 1.0, 0.1
1, 32x32, 184025, 30.0, 1.0, 0.1
1, 32x32, 204535, 30.0, 1.0, 0.1
1, 32x32, 204900, 30.0, 1.0, 0.1
1, 32x32, 264859, 30.0, 1.0, 0.1
1, 32x32, 146009, 30.0, 1.0, 0.1
1, 32x32, 132439, 30.0, 1.0, 0.1
1, 32x32, 240480, 30.0, 1.0, 0.1
2, 48x48, 418270, 30.0, 1.0, 0.1
2, 48x48, 297191, 30.0, 1.0, 0.1
2, 48x48, 297185, 30.0, 1.0, 0.1
2, 48x48, 437769, 30.0, 1.0, 0.1
2, 48x48, 317703, 30.0, 1.0, 0.1
2, 48x48, 400240, 30.0, 1.0, 0.1
2, 48x48, 357827, 30.0, 1.0, 0.1
2, 48x48, 424212, 30.0, 1.0, 0.1
2, 48x48, 498712, 30.0, 1.0, 0.1
2, 48x48, 419676, 30.0, 1.0, 0.1
3, 64x64, 680354, 30.0, 1.0, 0.1
3, 64x64, 777552, 30.0, 1.0, 0.1
3, 64x64, 742084, 30.0, 1.0, 0.1
3, 64x64, 561130, 30.0, 1.0, 0.1
3, 64x64, 817020, 30.0, 1.0, 0.1
3, 64x64, 587937, 30.0, 1.0, 0.1
3, 64x64, 650833, 30.0, 1.0, 0.1
3, 64x64, 656191, 30.0, 1.0, 0.1
3, 64x64, 816085, 30.0, 1.0, 0.1
3, 64x64, 680417, 30.0, 1.0, 0.1
4, 80x80, 915791, 30.0, 1.0, 0.1
4, 80x80, 881236, 30.0, 1.0, 0.1
4, 80x80, 1272686, 30.0, 1.0, 0.1
4, 80x80, 1887790, 30.0, 1.0, 0.1
4, 80x80, 1218928, 30.0, 1.0, 0.1
4, 80x80, 823764, 30.0, 1.0, 0.1
4, 80x80, 1061078, 30.0, 1.0, 0.1
4, 80x80, 1418425, 30.0, 1.0, 0.1
4, 80x80, 1120879, 30.0, 1.0, 0.1
4, 80x80, 2094717, 30.0, 1.0, 0.1
5, 96x96, 1404445, 30.0, 1.0, 0.1
5, 96x96, 1325494, 30.0, 1.0, 0.1
5, 96x96, 1539506, 30.0, 1.0, 0.1
5, 96x96, 1710786, 30.0, 1.0, 0.1
5, 96x96, 2041210, 30.0, 1.0, 0.1
5, 96x96, 1268197, 30.0, 1.0, 0.1
5, 96x96, 1761484, 30.0, 1.0, 0.1
5, 96x96, 1597660, 30.0, 1.0, 0.1
5, 96x96, 1371730, 30.0, 1.0, 0.1
5, 96x96, 1314337, 30.0, 1.0, 0.1
6, 112x112, 1724418, 30.0, 1.0, 0.1
6, 112x112, 2097930, 30.0, 1.0, 0.1
6, 112x112, 2803613, 30.0, 1.0, 0.1
6, 112x112, 2274385, 30.0, 1.0, 0.1
6, 112x112, 1611997, 30.0, 1.0, 0.1
6, 112x112, 2354188, 30.0, 1.0, 0.1
6, 112x112, 1718221, 30.0, 1.0, 0.1
6, 112x112, 2400268, 30.0, 1.0, 0.1
6, 112x112, 4221542, 30.0, 1.0, 0.1
6, 112x112, 3650413, 30.0, 1.0, 0.1
7, 128x128, 3290740, 30.0, 1.0, 0.1
7, 128x128, 2784438, 30.0, 1.0, 0.1
7, 128x128, 2099488, 30.0, 1.0, 0.1
7, 128x128, 3191880, 30.0, 1.0, 0.1
7, 128x128, 2253124, 30.0, 1.0, 0.1
7, 128x128, 2117946, 30.0, 1.0, 0.1
7, 128x128, 3278025, 30.0, 1.0, 0.1
7, 128x128, 3133012, 30.0, 1.0, 0.1
7, 128x128, 4028404, 30.0, 1.0, 0.1
7, 128x128, 3702871, 30.0, 1.0, 0.1
8, 144x144, 2874482, 30.0, 1.0, 0.1
8, 144x144, 2854040, 30.0, 1.0, 0.1
8, 144x144, 4066565, 30.0, 1.0, 0.1
8, 144x144, 2755833, 30.0, 1.0, 0.1
8, 144x144, 3148415, 30.0, 1.0, 0.1
8, 144x144, 5161949, 30.0, 1.0, 0.1
8, 144x144, 2846324, 30.0, 1.0, 0.1
8, 144x144, 2760415, 30.0, 1.0, 0.1
8, 144x144, 3177218, 30.0, 1.0, 0.1
8, 144x144, 3638896, 30.0, 1.0, 0.1
9, 160x160, 4600386, 30.0, 1.0, 0.1
9, 160x160, 6057179, 30.0, 1.0, 0.1
9, 160x160, 3428665, 30.0, 1.0, 0.1
9, 160x160, 4668210, 30.0, 1.0, 0.1
9, 160x160, 4281175, 30.0, 1.0, 0.1
9, 160x160, 3443689, 30.0, 1.0, 0.1
9, 160x160, 5273900, 30.0, 1.0, 0.1
9, 160x160, 3383231, 30.0, 1.0, 0.1
9, 160x160, 6100843, 30.0, 1.0, 0.1
9, 160x160, 3693290, 30.0, 1.0, 0.1
10, 176x176, 5218405, 30.0, 1.0, 0.1
10, 176x176, 7252029, 30.0, 1.0, 0.1
10, 176x176, 6259550, 30.0, 1.0, 0.1
10, 176x176, 7793294, 30.0, 1.0, 0.1
10, 176x176, 7197808, 30.0, 1.0, 0.1
10, 176x176, 6976330, 30.0, 1.0, 0.1
10, 176x176, 5337784, 30.0, 1.0, 0.1
10, 176x176, 4047667, 30.0, 1.0, 0.1
10, 176x176, 8310409, 30.0, 1.0, 0.1
10, 176x176, 5088512, 30.0, 1.0, 0.1
11, 192x192, 5561569, 30.0, 1.0, 0.1
11, 192x192, 8743825, 30.0, 1.0, 0.1
11, 192x192, 8306102, 30.0, 1.0, 0.1
11, 192x192, 6755246, 30.0, 1.0, 0.1
11, 192x192, 6478144, 30.0, 1.0, 0.1
11, 192x192, 4963416, 30.0, 1.0, 0.1
11, 192x192, 7368425, 30.0, 1.0, 0.1
11, 192x192, 8822825, 30.0, 1.0, 0.1
11, 192x192, 5274496, 30.0, 1.0, 0.1
11, 192x192, 5122642, 30.0, 1.0, 0.1
12, 208x208, 10333083, 30.0, 1.0, 0.1
12, 208x208, 5992781, 30.0, 1.0, 0.1
12, 208x208, 10687727, 30.0, 1.0, 0.1
12, 208x208, 7199794, 30.0, 1.0, 0.1
12, 208x208, 8626290, 30.0, 1.0, 0.1
12, 208x208, 8436971, 30.0, 1.0, 0.1
12, 208x208, 5804533, 30.0, 1.0, 0.1
12, 208x208, 10142069, 30.0, 1.0, 0.1
12, 208x208, 6112655, 30.0, 1.0, 0.1
12, 208x208, 7255300, 30.0, 1.0, 0.1
13, 224x224, 8743084, 30.0, 1.0, 0.1
13, 224x224, 9753734, 30.0, 1.0, 0.1
13, 224x224, 12166694, 30.0, 1.0, 0.1
13, 224x224, 6522671, 30.0, 1.0, 0.1
13, 224x224, 11091510, 30.0, 1.0, 0.1
13, 224x224, 7086621, 30.0, 1.0, 0.1
13, 224x224, 11932898, 30.0, 1.0, 0.1
13, 224x224, 8592086, 30.0, 1.0, 0.1
13, 224x224, 14173587, 30.0, 1.0, 0.1
13, 224x224, 11939035, 30.0, 1.0, 0.1
14, 240x240, 10254072, 30.0, 1.0, 0.1
14, 240x240, 8061901, 30.0, 1.0, 0.1
14, 240x240, 10345861, 30.0, 1.0, 0.1
14, 240x240, 10734616, 30.0, 1.0, 0.1
14, 240x240, 9728665, 30.0, 1.0, 0.1
14, 240x240, 10414466, 30.0, 1.0, 0.1
14, 240x240, 8854277, 30.0, 1.0, 0.1
14, 240x240, 7743594, 30.0, 1.0, 0.1
14, 240x240, 7466222, 30.0, 1.0, 0.1
14, 240x240, 11381263, 30.0, 1.0, 0.1
15, 256x256, 14061845, 30.0, 1.0, 0.1
15, 256x256, 10963641, 30.0, 1.0, 0.1
15, 256x256, 13049750, 30.0, 1.0, 0.1
15, 256x256, 11586110, 30.0, 1.0, 0.1
15, 256x256, 9472316, 30.0, 1.0, 0.1
15, 256x256, 11346996, 30.0, 1.0, 0.1
15, 256x256, 12579774, 30.0, 1.0, 0.1
15, 256x256, 11326692, 30.0, 1.0, 0.1
15, 256x256, 11514804, 30.0, 1.0, 0.1
15, 256x256, 9329608, 30.0, 1.0, 0.1
16, 272x272, 11948549, 30.0, 1.0, 0.1
16, 272x272, 14022366, 30.0, 1.0, 0.1
16, 272x272, 10998450, 30.0, 1.0, 0.1
16, 272x272, 13525546, 30.0, 1.0, 0.1
16, 272x272, 14505505, 30.0, 1.0, 0.1
16, 272x272, 10439573, 30.0, 1.0, 0.1
16, 272x272, 11477642, 30.0, 1.0, 0.1
16, 272x272, 10053152, 30.0, 1.0, 0.1
16, 272x272, 15859720, 30.0, 1.0, 0.1
16, 272x272, 14210794, 30.0, 1.0, 0.1
17, 288x288, 13873556, 30.0, 1.0, 0.1
17, 288x288, 12463445, 30.0, 1.0, 0.1
17, 288x288, 13554902, 30.0, 1.0, 0.1
17, 288x288, 13975441, 30.0, 1.0, 0.1
17, 288x288, 16498048, 30.0, 1.0, 0.1
17, 288x288, 16156422, 30.0, 1.0, 0.1
17, 288x288, 15756007, 30.0, 1.0, 0.1
17, 288x288, 15813259, 30.0, 1.0, 0.1
17, 288x288, 12704705, 30.0, 1.0, 0.1
17, 288x288, 12135857, 30.0, 1.0, 0.1
18, 304x304, 15549958, 30.0, 1.0, 0.1
18, 304x304, 19763550, 30.0, 1.0, 0.1
18, 304x304, 16918473, 30.0, 1.0, 0.1
18, 304x304, 14603522, 30.0, 1.0, 0.1
18, 304x304, 16083397, 30.0, 1.0, 0.1
18, 304x304, 14810655, 30.0, 1.0, 0.1
18, 304x304, 12762324, 30.0, 1.0, 0.1
18, 304x304, 15585604, 30.0, 1.0, 0.1
18, 304x304, 21791219, 30.0, 1.0, 0.1
18, 304x304, 15279216, 30.0, 1.0, 0.1
19, 320x320, 17668040, 30.0, 1.0, 0.1
19, 320x320, 19344653, 30.0, 1.0, 0.1
19, 320x320, 15629932, 30.0, 1.0, 0.1
19, 320x320, 19870229, 30.0, 1.0, 0.1
19, 320x320, 14473213, 30.0, 1.0, 0.1
19, 320x320, 16308007, 30.0, 1.0, 0.1
19, 320x320, 17072858, 30.0, 1.0, 0.1
19, 320x320, 14178090, 30.0, 1.0, 0.1
19, 320x320, 14340642, 30.0, 1.0, 0.1
19, 320x320, 19006871, 30.0, 1.0, 0.1
