N, WxH, Clock, Param0, Param1, Param2
0, 16x16, 2712, 0.5, 0, 0
1, 32x32, 5885, 0.5, 0, 0
2, 48x48, 15390, 0.5, 0, 0
3, 64x64, 14927, 0.5, 0, 0
4, 80x80, 34308, 0.5, 0, 0
5, 96x96, 35564, 0.5, 0, 0
6, 112x112, 49567, 0.5, 0, 0
7, 128x128, 97951, 0.5, 0, 0
8, 144x144, 121897, 0.5, 0, 0
9, 160x160, 99021, 0.5, 0, 0
10, 176x176, 172320, 0.5, 0, 0
11, 192x192, 223032, 0.5, 0, 0
12, 208x208, 276773, 0.5, 0, 0
13, 224x224, 253525, 0.5, 0, 0
14, 240x240, 290591, 0.5, 0, 0
15, 256x256, 474422, 0.5, 0, 0
16, 272x272, 945624, 0.5, 0, 0
17, 288x288, 329664, 0.5, 0, 0
18, 304x304, 590350, 0.5, 0, 0
19, 320x320, 595321, 0.5, 0, 0
