N, WxH, Clock, Param0, Param1, Param2
0, 16x16, 2070, 0.5, 0, 0
1, 32x32, 5167, 0.5, 0, 0
2, 48x48, 11885, 0.5, 0, 0
3, 64x64, 15912, 0.5, 0, 0
4, 80x80, 33940, 0.5, 0, 0
5, 96x96, 34988, 0.5, 0, 0
6, 112x112, 75471, 0.5, 0, 0
7, 128x128, 67912, 0.5, 0, 0
8, 144x144, 106685, 0.5, 0, 0
9, 160x160, 208812, 0.5, 0, 0
10, 176x176, 188748, 0.5, 0, 0
11, 192x192, 143331, 0.5, 0, 0
12, 208x208, 200867, 0.5, 0, 0
13, 224x224, 379112, 0.5, 0, 0
14, 240x240, 300573, 0.5, 0, 0
15, 256x256, 263482, 0.5, 0, 0
16, 272x272, 343652, 0.5, 0, 0
17, 288x288, 487670, 0.5, 0, 0
18, 304x304, 420406, 0.5, 0, 0
19, 320x320, 399230, 0.5, 0, 0
