N, WxH, Clock, Param0, Param1, Param2
0, 16x16, 1649, 0.5, 0, 0
1, 32x32, 4231, 0.5, 0, 0
2, 48x48, 10133, 0.5, 0, 0
3, 64x64, 21952, 0.5, 0, 0
4, 80x80, 29221, 0.5, 0, 0
5, 96x96, 41763, 0.5, 0, 0
6, 112x112, 47733, 0.5, 0, 0
7, 128x128, 64194, 0.5, 0, 0
8, 144x144, 114260, 0.5, 0, 0
9, 160x160, 112869, 0.5, 0, 0
10, 176x176, 117373, 0.5, 0, 0
11, 192x192, 144661, 0.5, 0, 0
12, 208x208, 164958, 0.5, 0, 0
13, 224x224, 236275, 0.5, 0, 0
14, 240x240, 238930, 0.5, 0, 0
15, 256x256, 348644, 0.5, 0, 0
16, 272x272, 382894, 0.5, 0, 0
17, 288x288, 468876, 0.5, 0, 0
18, 304x304, 500103, 0.5, 0, 0
19, 320x320, 414242, 0.5, 0, 0
