N, WxH, Clock, Param0, Param1, Param2
0, 16x16, 1804, 0.5, 0, 0
1, 32x32, 10042, 0.5, 0, 0
2, 48x48, 16727, 0.5, 0, 0
3, 64x64, 21312, 0.5, 0, 0
4, 80x80, 23891, 0.5, 0, 0
5, 96x96, 67645, 0.5, 0, 0
6, 112x112, 74750, 0.5, 0, 0
7, 128x128, 87848, 0.5, 0, 0
8, 144x144, 96871, 0.5, 0, 0
9, 160x160, 190730, 0.5, 0, 0
10, 176x176, 195709, 0.5, 0, 0
11, 192x192, 196294, 0.5, 0, 0
12, 208x208, 279767, 0.5, 0, 0
13, 224x224, 254185, 0.5, 0, 0
14, 240x240, 334294, 0.5, 0, 0
15, 256x256, 425239, 0.5, 0, 0
16, 272x272, 425897, 0.5, 0, 0
17, 288x288, 477773, 0.5, 0, 0
18, 304x304, 458103, 0.5, 0, 0
19, 320x320, 715470, 0.5, 0, 0
