N, WxH, Clock, Param0, Param1, Param2
1, 160x160, 1724325, 0, 0, 0, c
2, 160x160, 553345, 0, 0, 0, c
3, 160x160, 717446, 0, 0, 0, c
4, 160x160, 857730, 0, 0, 0, c
5, 160x160, 744044, 0, 0, 0, c
6, 160x160, 819524, 0, 0, 0, c
7, 160x160, 719795, 0, 0, 0, c
8, 160x160, 1007390, 0, 0, 0, c
9, 160x160, 716142, 0, 0, 0, c
10, 160x160, 715816, 0, 0, 0, c
11, 160x160, 970610, 0, 0, 0, c
12, 160x160, 606796, 0, 0, 0, c
13, 160x160, 590821, 0, 0, 0, c
14, 160x160, 553481, 0, 0, 0, c
15, 160x160, 1008345, 0, 0, 0, c
16, 160x160, 556031, 0, 0, 0, c
17, 160x160, 745984, 0, 0, 0, c
18, 160x160, 593942, 0, 0, 0, c
19, 160x160, 715045, 0, 0, 0, c
20, 160x160, 714588, 0, 0, 0, c
21, 160x160, 551142, 0, 0, 0, c
22, 160x160, 715375, 0, 0, 0, c
23, 160x160, 554533, 0, 0, 0, c
24, 160x160, 745096, 0, 0, 0, c
25, 160x160, 591327, 0, 0, 0, c
26, 160x160, 779304, 0, 0, 0, c
27, 160x160, 746560, 0, 0, 0, c
28, 160x160, 1146954, 0, 0, 0, c
29, 160x160, 555885, 0, 0, 0, c
30, 160x160, 556348, 0, 0, 0, c
31, 160x160, 556776, 0, 0, 0, c
32, 160x160, 747124, 0, 0, 0, c
33, 160x160, 716833, 0, 0, 0, c
34, 160x160, 712950, 0, 0, 0, c
35, 160x160, 714975, 0, 0, 0, c
36, 160x160, 552561, 0, 0, 0, c
37, 160x160, 555091, 0, 0, 0, c
38, 160x160, 815612, 0, 0, 0, c
39, 160x160, 993905, 0, 0, 0, c
40, 160x160, 556809, 0, 0, 0, c
41, 160x160, 749256, 0, 0, 0, c
42, 160x160, 750172, 0, 0, 0, c
43, 160x160, 555842, 0, 0, 0, c
44, 160x160, 717008, 0, 0, 0, c
45, 160x160, 591700, 0, 0, 0, c
46, 160x160, 553485, 0, 0, 0, c
47, 160x160, 715680, 0, 0, 0, c
48, 160x160, 714929, 0, 0, 0, c
49, 160x160, 1146072, 0, 0, 0, c
50, 160x160, 1075725, 0, 0, 0, c
51, 160x160, 719296, 0, 0, 0, c
52, 160x160, 553130, 0, 0, 0, c
53, 160x160, 594621, 0, 0, 0, c
54, 160x160, 749956, 0, 0, 0, c
55, 160x160, 1433009, 0, 0, 0, c
56, 160x160, 630131, 0, 0, 0, c
57, 160x160, 598576, 0, 0, 0, c
58, 160x160, 716509, 0, 0, 0, c
59, 160x160, 1009215, 0, 0, 0, c
60, 160x160, 907095, 0, 0, 0, c
61, 160x160, 717792, 0, 0, 0, c
62, 160x160, 861305, 0, 0, 0, c
63, 160x160, 984020, 0, 0, 0, c
64, 160x160, 718629, 0, 0, 0, c
65, 160x160, 718304, 0, 0, 0, c
66, 160x160, 1425925, 0, 0, 0, c
67, 160x160, 595131, 0, 0, 0, c
68, 160x160, 554118, 0, 0, 0, c
69, 160x160, 718804, 0, 0, 0, c
70, 160x160, 746060, 0, 0, 0, c
71, 160x160, 594516, 0, 0, 0, c
72, 160x160, 788380, 0, 0, 0, c
73, 160x160, 819632, 0, 0, 0, c
74, 160x160, 749736, 0, 0, 0, c
75, 160x160, 1321300, 0, 0, 0, c
76, 160x160, 718529, 0, 0, 0, c
77, 160x160, 784080, 0, 0, 0, c
78, 160x160, 957905, 0, 0, 0, c
79, 160x160, 783208, 0, 0, 0, c
80, 160x160, 652822, 0, 0, 0, c
81, 160x160, 778130, 0, 0, 0, c
82, 160x160, 1727138, 0, 0, 0, c
83, 160x160, 750872, 0, 0, 0, c
84, 160x160, 555484, 0, 0, 0, c
85, 160x160, 718175, 0, 0, 0, c
86, 160x160, 908775, 0, 0, 0, c
87, 160x160, 714080, 0, 0, 0, c
88, 160x160, 595233, 0, 0, 0, c
89, 160x160, 1227364, 0, 0, 0, c
90, 160x160, 716829, 0, 0, 0, c
91, 160x160, 1432775, 0, 0, 0, c
92, 160x160, 1308876, 0, 0, 0, c
93, 160x160, 555918, 0, 0, 0, c
94, 160x160, 1008280, 0, 0, 0, c
95, 160x160, 593803, 0, 0, 0, c
96, 160x160, 1319437, 0, 0, 0, c
97, 160x160, 716780, 0, 0, 0, c
98, 160x160, 594518, 0, 0, 0, c
99, 160x160, 1077488, 0, 0, 0, c
100, 160x160, 597755, 0, 0, 0, c
1, 160x160, 303803, 0, 0, 0, asm1
2, 160x160, 548268, 0, 0, 0, asm1
3, 160x160, 365092, 0, 0, 0, asm1
4, 160x160, 283997, 0, 0, 0, asm1
5, 160x160, 397670, 0, 0, 0, asm1
6, 160x160, 547038, 0, 0, 0, asm1
7, 160x160, 282791, 0, 0, 0, asm1
8, 160x160, 282763, 0, 0, 0, asm1
9, 160x160, 417388, 0, 0, 0, asm1
10, 160x160, 365175, 0, 0, 0, asm1
11, 160x160, 523970, 0, 0, 0, asm1
12, 160x160, 398784, 0, 0, 0, asm1
13, 160x160, 364379, 0, 0, 0, asm1
14, 160x160, 282067, 0, 0, 0, asm1
15, 160x160, 282927, 0, 0, 0, asm1
16, 160x160, 368279, 0, 0, 0, asm1
17, 160x160, 283979, 0, 0, 0, asm1
18, 160x160, 364588, 0, 0, 0, asm1
19, 160x160, 303239, 0, 0, 0, asm1
20, 160x160, 302688, 0, 0, 0, asm1
21, 160x160, 397838, 0, 0, 0, asm1
22, 160x160, 283524, 0, 0, 0, asm1
23, 160x160, 460630, 0, 0, 0, asm1
24, 160x160, 364671, 0, 0, 0, asm1
25, 160x160, 282276, 0, 0, 0, asm1
26, 160x160, 437035, 0, 0, 0, asm1
27, 160x160, 364921, 0, 0, 0, asm1
28, 160x160, 397742, 0, 0, 0, asm1
29, 160x160, 460830, 0, 0, 0, asm1
30, 160x160, 437925, 0, 0, 0, asm1
31, 160x160, 300791, 0, 0, 0, asm1
32, 160x160, 367155, 0, 0, 0, asm1
33, 160x160, 302161, 0, 0, 0, asm1
34, 160x160, 381020, 0, 0, 0, asm1
35, 160x160, 380396, 0, 0, 0, asm1
36, 160x160, 301924, 0, 0, 0, asm1
37, 160x160, 624321, 0, 0, 0, asm1
38, 160x160, 380052, 0, 0, 0, asm1
39, 160x160, 319632, 0, 0, 0, asm1
40, 160x160, 282552, 0, 0, 0, asm1
41, 160x160, 382104, 0, 0, 0, asm1
42, 160x160, 728617, 0, 0, 0, asm1
43, 160x160, 283379, 0, 0, 0, asm1
44, 160x160, 515085, 0, 0, 0, asm1
45, 160x160, 284122, 0, 0, 0, asm1
46, 160x160, 399642, 0, 0, 0, asm1
47, 160x160, 364000, 0, 0, 0, asm1
48, 160x160, 365296, 0, 0, 0, asm1
49, 160x160, 302657, 0, 0, 0, asm1
50, 160x160, 283466, 0, 0, 0, asm1
51, 160x160, 462635, 0, 0, 0, asm1
52, 160x160, 486245, 0, 0, 0, asm1
53, 160x160, 546062, 0, 0, 0, asm1
54, 160x160, 285594, 0, 0, 0, asm1
55, 160x160, 380468, 0, 0, 0, asm1
56, 160x160, 364962, 0, 0, 0, asm1
57, 160x160, 365688, 0, 0, 0, asm1
58, 160x160, 516610, 0, 0, 0, asm1
59, 160x160, 398142, 0, 0, 0, asm1
60, 160x160, 546025, 0, 0, 0, asm1
61, 160x160, 302078, 0, 0, 0, asm1
62, 160x160, 721975, 0, 0, 0, asm1
63, 160x160, 301885, 0, 0, 0, asm1
64, 160x160, 380924, 0, 0, 0, asm1
65, 160x160, 514040, 0, 0, 0, asm1
66, 160x160, 302064, 0, 0, 0, asm1
67, 160x160, 303384, 0, 0, 0, asm1
68, 160x160, 547058, 0, 0, 0, asm1
69, 160x160, 282800, 0, 0, 0, asm1
70, 160x160, 514510, 0, 0, 0, asm1
71, 160x160, 400078, 0, 0, 0, asm1
72, 160x160, 302612, 0, 0, 0, asm1
73, 160x160, 283337, 0, 0, 0, asm1
74, 160x160, 365054, 0, 0, 0, asm1
75, 160x160, 382328, 0, 0, 0, asm1
76, 160x160, 416672, 0, 0, 0, asm1
77, 160x160, 301972, 0, 0, 0, asm1
78, 160x160, 364558, 0, 0, 0, asm1
79, 160x160, 397836, 0, 0, 0, asm1
80, 160x160, 282624, 0, 0, 0, asm1
81, 160x160, 364892, 0, 0, 0, asm1
82, 160x160, 282245, 0, 0, 0, asm1
83, 160x160, 492448, 0, 0, 0, asm1
84, 160x160, 364292, 0, 0, 0, asm1
85, 160x160, 332900, 0, 0, 0, asm1
86, 160x160, 397542, 0, 0, 0, asm1
87, 160x160, 282588, 0, 0, 0, asm1
88, 160x160, 380704, 0, 0, 0, asm1
89, 160x160, 282525, 0, 0, 0, asm1
90, 160x160, 584158, 0, 0, 0, asm1
91, 160x160, 398466, 0, 0, 0, asm1
92, 160x160, 365200, 0, 0, 0, asm1
93, 160x160, 460360, 0, 0, 0, asm1
94, 160x160, 367679, 0, 0, 0, asm1
95, 160x160, 365946, 0, 0, 0, asm1
96, 160x160, 364792, 0, 0, 0, asm1
97, 160x160, 547563, 0, 0, 0, asm1
98, 160x160, 486535, 0, 0, 0, asm1
99, 160x160, 285603, 0, 0, 0, asm1
100, 160x160, 729283, 0, 0, 0, asm1
1, 160x160, 249569, 0, 0, 0, asm2
2, 160x160, 315296, 0, 0, 0, asm2
3, 160x160, 364275, 0, 0, 0, asm2
4, 160x160, 233058, 0, 0, 0, asm2
5, 160x160, 310324, 0, 0, 0, asm2
6, 160x160, 302788, 0, 0, 0, asm2
7, 160x160, 314072, 0, 0, 0, asm2
8, 160x160, 313512, 0, 0, 0, asm2
9, 160x160, 302129, 0, 0, 0, asm2
10, 160x160, 250121, 0, 0, 0, asm2
11, 160x160, 319432, 0, 0, 0, asm2
12, 160x160, 344704, 0, 0, 0, asm2
13, 160x160, 298887, 0, 0, 0, asm2
14, 160x160, 305212, 0, 0, 0, asm2
15, 160x160, 232155, 0, 0, 0, asm2
16, 160x160, 299758, 0, 0, 0, asm2
17, 160x160, 300633, 0, 0, 0, asm2
18, 160x160, 603050, 0, 0, 0, asm2
19, 160x160, 230991, 0, 0, 0, asm2
20, 160x160, 602742, 0, 0, 0, asm2
21, 160x160, 249273, 0, 0, 0, asm2
22, 160x160, 236060, 0, 0, 0, asm2
23, 160x160, 326936, 0, 0, 0, asm2
24, 160x160, 232766, 0, 0, 0, asm2
25, 160x160, 313568, 0, 0, 0, asm2
26, 160x160, 306400, 0, 0, 0, asm2
27, 160x160, 250866, 0, 0, 0, asm2
28, 160x160, 359920, 0, 0, 0, asm2
29, 160x160, 342756, 0, 0, 0, asm2
30, 160x160, 479852, 0, 0, 0, asm2
31, 160x160, 313604, 0, 0, 0, asm2
32, 160x160, 234337, 0, 0, 0, asm2
33, 160x160, 451887, 0, 0, 0, asm2
34, 160x160, 248927, 0, 0, 0, asm2
35, 160x160, 234942, 0, 0, 0, asm2
36, 160x160, 301204, 0, 0, 0, asm2
37, 160x160, 314192, 0, 0, 0, asm2
38, 160x160, 299808, 0, 0, 0, asm2
39, 160x160, 361525, 0, 0, 0, asm2
40, 160x160, 315136, 0, 0, 0, asm2
41, 160x160, 420664, 0, 0, 0, asm2
42, 160x160, 248155, 0, 0, 0, asm2
43, 160x160, 516608, 0, 0, 0, asm2
44, 160x160, 297066, 0, 0, 0, asm2
45, 160x160, 248870, 0, 0, 0, asm2
46, 160x160, 313300, 0, 0, 0, asm2
47, 160x160, 299025, 0, 0, 0, asm2
48, 160x160, 232261, 0, 0, 0, asm2
49, 160x160, 303404, 0, 0, 0, asm2
50, 160x160, 301754, 0, 0, 0, asm2
51, 160x160, 300142, 0, 0, 0, asm2
52, 160x160, 314304, 0, 0, 0, asm2
53, 160x160, 233457, 0, 0, 0, asm2
54, 160x160, 421925, 0, 0, 0, asm2
55, 160x160, 358965, 0, 0, 0, asm2
56, 160x160, 233066, 0, 0, 0, asm2
57, 160x160, 300913, 0, 0, 0, asm2
58, 160x160, 233528, 0, 0, 0, asm2
59, 160x160, 303867, 0, 0, 0, asm2
60, 160x160, 515528, 0, 0, 0, asm2
61, 160x160, 958425, 0, 0, 0, asm2
62, 160x160, 360990, 0, 0, 0, asm2
63, 160x160, 297395, 0, 0, 0, asm2
64, 160x160, 234373, 0, 0, 0, asm2
65, 160x160, 344172, 0, 0, 0, asm2
66, 160x160, 234642, 0, 0, 0, asm2
67, 160x160, 296979, 0, 0, 0, asm2
68, 160x160, 231361, 0, 0, 0, asm2
69, 160x160, 246534, 0, 0, 0, asm2
