N, WxH, Clock, Param0
0, 16x16, 41858, 0
0, 16x16, 44288, 0
0, 16x16, 44655, 0
0, 16x16, 52388, 0
0, 16x16, 55428, 0
0, 16x16, 43851, 0
0, 16x16, 44476, 0
0, 16x16, 43997, 0
0, 16x16, 53338, 0
0, 16x16, 53191, 0
0, 16x16, 42291, 0
0, 16x16, 79593, 0
0, 16x16, 57374, 0
0, 16x16, 110768, 0
0, 16x16, 41315, 0
0, 16x16, 57950, 0
0, 16x16, 44046, 0
0, 16x16, 52582, 0
0, 16x16, 46197, 0
0, 16x16, 105025, 0
0, 16x16, 75430, 0
0, 16x16, 44321, 0
0, 16x16, 55036, 0
0, 16x16, 44600, 0
0, 16x16, 44306, 0
0, 16x16, 53354, 0
0, 16x16, 52650, 0
0, 16x16, 57934, 0
0, 16x16, 44300, 0
0, 16x16, 48457, 0
0, 16x16, 42618, 0
0, 16x16, 54624, 0
0, 16x16, 40649, 0
0, 16x16, 60876, 0
0, 16x16, 55544, 0
0, 16x16, 45361, 0
0, 16x16, 44673, 0
0, 16x16, 43806, 0
0, 16x16, 75255, 0
0, 16x16, 86484, 0
0, 16x16, 44667, 0
0, 16x16, 70876, 0
0, 16x16, 44197, 0
0, 16x16, 57874, 0
0, 16x16, 43985, 0
0, 16x16, 44058, 0
0, 16x16, 44588, 0
0, 16x16, 41342, 0
0, 16x16, 44885, 0
0, 16x16, 62436, 0
0, 16x16, 53129, 0
0, 16x16, 41200, 0
0, 16x16, 44609, 0
0, 16x16, 62404, 0
0, 16x16, 44958, 0
0, 16x16, 42030, 0
0, 16x16, 40864, 0
0, 16x16, 63615, 0
0, 16x16, 53908, 0
0, 16x16, 77419, 0
0, 16x16, 74285, 0
0, 16x16, 62900, 0
0, 16x16, 55248, 0
0, 16x16, 88528, 0
0, 16x16, 56712, 0
0, 16x16, 44115, 0
0, 16x16, 69191, 0
0, 16x16, 59541, 0
0, 16x16, 43534, 0
0, 16x16, 52879, 0
0, 16x16, 44200, 0
0, 16x16, 53538, 0
0, 16x16, 74121, 0
0, 16x16, 97979, 0
0, 16x16, 43967, 0
0, 16x16, 44855, 0
0, 16x16, 44751, 0
0, 16x16, 58796, 0
0, 16x16, 88517, 0
0, 16x16, 54642, 0
0, 16x16, 44291, 0
0, 16x16, 55040, 0
0, 16x16, 44045, 0
0, 16x16, 59220, 0
0, 16x16, 41127, 0
0, 16x16, 57438, 0
0, 16x16, 44612, 0
0, 16x16, 44049, 0
0, 16x16, 106434, 0
0, 16x16, 41357, 0
0, 16x16, 44358, 0
0, 16x16, 91036, 0
0, 16x16, 43537, 0
0, 16x16, 55092, 0
0, 16x16, 104517, 0
0, 16x16, 43803, 0
0, 16x16, 41348, 0
0, 16x16, 44324, 0
0, 16x16, 44433, 0
0, 16x16, 54367, 0
1, 32x32, 297915, 0
1, 32x32, 212071, 0
1, 32x32, 164433, 0
1, 32x32, 175242, 0
1, 32x32, 210321, 0
1, 32x32, 221504, 0
1, 32x32, 174482, 0
1, 32x32, 163912, 0
1, 32x32, 174900, 0
1, 32x32, 228650, 0
1, 32x32, 211567, 0
1, 32x32, 164379, 0
1, 32x32, 163552, 0
1, 32x32, 229080, 0
1, 32x32, 316631, 0
1, 32x32, 176112, 0
1, 32x32, 163237, 0
1, 32x32, 174351, 0
1, 32x32, 229000, 0
1, 32x32, 424017, 0
1, 32x32, 211009, 0
1, 32x32, 175415, 0
1, 32x32, 181749, 0
1, 32x32, 220860, 0
1, 32x32, 419725, 0
1, 32x32, 212038, 0
1, 32x32, 221020, 0
1, 32x32, 163264, 0
1, 32x32, 238729, 0
1, 32x32, 270175, 0
1, 32x32, 173988, 0
1, 32x32, 313176, 0
1, 32x32, 174661, 0
1, 32x32, 209892, 0
1, 32x32, 175264, 0
1, 32x32, 219356, 0
1, 32x32, 163237, 0
1, 32x32, 164309, 0
1, 32x32, 209988, 0
1, 32x32, 174882, 0
1, 32x32, 220412, 0
1, 32x32, 315163, 0
1, 32x32, 229692, 0
1, 32x32, 212275, 0
1, 32x32, 190997, 0
1, 32x32, 178845, 0
1, 32x32, 271476, 0
1, 32x32, 176163, 0
1, 32x32, 174115, 0
1, 32x32, 174142, 0
1, 32x32, 197662, 0
1, 32x32, 183260, 0
1, 32x32, 221060, 0
1, 32x32, 176016, 0
1, 32x32, 174009, 0
1, 32x32, 211962, 0
1, 32x32, 219988, 0
1, 32x32, 163851, 0
1, 32x32, 163670, 0
1, 32x32, 219084, 0
1, 32x32, 260375, 0
1, 32x32, 175709, 0
1, 32x32, 300279, 0
1, 32x32, 211317, 0
1, 32x32, 229316, 0
1, 32x32, 174727, 0
1, 32x32, 239928, 0
1, 32x32, 211725, 0
