N, WxH, Clock, Param0
0, 16x16, 67395, 0
0, 16x16, 40985, 0
0, 16x16, 57172, 0
0, 16x16, 44634, 0
0, 16x16, 40819, 0
0, 16x16, 57746, 0
0, 16x16, 44979, 0
0, 16x16, 58714, 0
0, 16x16, 41494, 0
0, 16x16, 42615, 0
0, 16x16, 54604, 0
0, 16x16, 41527, 0
0, 16x16, 72850, 0
0, 16x16, 54980, 0
0, 16x16, 54676, 0
0, 16x16, 81288, 0
0, 16x16, 60796, 0
0, 16x16, 44054, 0
0, 16x16, 44824, 0
0, 16x16, 45003, 0
0, 16x16, 64580, 0
0, 16x16, 41494, 0
0, 16x16, 52925, 0
0, 16x16, 86552, 0
0, 16x16, 43764, 0
0, 16x16, 57604, 0
0, 16x16, 44457, 0
0, 16x16, 53254, 0
0, 16x16, 67135, 0
0, 16x16, 41385, 0
0, 16x16, 54812, 0
0, 16x16, 44506, 0
0, 16x16, 53213, 0
0, 16x16, 44451, 0
0, 16x16, 43842, 0
0, 16x16, 52417, 0
0, 16x16, 96765, 0
0, 16x16, 47251, 0
0, 16x16, 75173, 0
0, 16x16, 58250, 0
0, 16x16, 53496, 0
0, 16x16, 52525, 0
0, 16x16, 43627, 0
0, 16x16, 60172, 0
0, 16x16, 44655, 0
0, 16x16, 58454, 0
0, 16x16, 44270, 0
0, 16x16, 63500, 0
0, 16x16, 43761, 0
0, 16x16, 57352, 0
0, 16x16, 44242, 0
0, 16x16, 44521, 0
0, 16x16, 58130, 0
0, 16x16, 43967, 0
0, 16x16, 89436, 0
0, 16x16, 149489, 0
0, 16x16, 44079, 0
0, 16x16, 107367, 0
0, 16x16, 41481, 0
0, 16x16, 41524, 0
0, 16x16, 55416, 0
0, 16x16, 45530, 0
0, 16x16, 107375, 0
0, 16x16, 40812, 0
0, 16x16, 60868, 0
0, 16x16, 43936, 0
0, 16x16, 55884, 0
0, 16x16, 79697, 0
0, 16x16, 74660, 0
0, 16x16, 44291, 0
0, 16x16, 91471, 0
0, 16x16, 44328, 0
0, 16x16, 68658, 0
0, 16x16, 84824, 0
0, 16x16, 105750, 0
0, 16x16, 43967, 0
0, 16x16, 55368, 0
0, 16x16, 45482, 0
0, 16x16, 41778, 0
0, 16x16, 59704, 0
0, 16x16, 41578, 0
0, 16x16, 60736, 0
0, 16x16, 44140, 0
0, 16x16, 76686, 0
0, 16x16, 71135, 0
0, 16x16, 43954, 0
0, 16x16, 62144, 0
0, 16x16, 44400, 0
0, 16x16, 41472, 0
0, 16x16, 65324, 0
0, 16x16, 55052, 0
0, 16x16, 59776, 0
0, 16x16, 52508, 0
0, 16x16, 45867, 0
0, 16x16, 53862, 0
0, 16x16, 71000, 0
0, 16x16, 40842, 0
0, 16x16, 57424, 0
0, 16x16, 75750, 0
0, 16x16, 70460, 0
1, 32x32, 175073, 0
1, 32x32, 298085, 0
1, 32x32, 213504, 0
1, 32x32, 164049, 0
1, 32x32, 263255, 0
1, 32x32, 421950, 0
1, 32x32, 164428, 0
1, 32x32, 220956, 0
1, 32x32, 220436, 0
1, 32x32, 165273, 0
1, 32x32, 210609, 0
1, 32x32, 209979, 0
1, 32x32, 202963, 0
1, 32x32, 221660, 0
1, 32x32, 175697, 0
1, 32x32, 266050, 0
1, 32x32, 335033, 0
1, 32x32, 211471, 0
1, 32x32, 174539, 0
1, 32x32, 423225, 0
1, 32x32, 176015, 0
1, 32x32, 218728, 0
1, 32x32, 175067, 0
1, 32x32, 265010, 0
1, 32x32, 404044, 0
1, 32x32, 212858, 0
1, 32x32, 164376, 0
1, 32x32, 169527, 0
1, 32x32, 427963, 0
1, 32x32, 421733, 0
1, 32x32, 211221, 0
1, 32x32, 174715, 0
1, 32x32, 359220, 0
1, 32x32, 360564, 0
1, 32x32, 174270, 0
1, 32x32, 211375, 0
1, 32x32, 268855, 0
1, 32x32, 239709, 0
1, 32x32, 210721, 0
1, 32x32, 378745, 0
1, 32x32, 231350, 0
1, 32x32, 211942, 0
1, 32x32, 220580, 0
1, 32x32, 212550, 0
1, 32x32, 175397, 0
1, 32x32, 219304, 0
1, 32x32, 174346, 0
1, 32x32, 219780, 0
1, 32x32, 231510, 0
1, 32x32, 230104, 0
1, 32x32, 175282, 0
1, 32x32, 220260, 0
1, 32x32, 336188, 0
1, 32x32, 241324, 0
1, 32x32, 210213, 0
1, 32x32, 163209, 0
1, 32x32, 210175, 0
1, 32x32, 230212, 0
1, 32x32, 164221, 0
1, 32x32, 220692, 0
1, 32x32, 175055, 0
1, 32x32, 219812, 0
1, 32x32, 175527, 0
1, 32x32, 174667, 0
1, 32x32, 461900, 0
1, 32x32, 210745, 0
1, 32x32, 219240, 0
1, 32x32, 174385, 0
1, 32x32, 182030, 0
1, 32x32, 258184, 0
1, 32x32, 174806, 0
1, 32x32, 211492, 0
1, 32x32, 165255, 0
1, 32x32, 164803, 0
1, 32x32, 211279, 0
1, 32x32, 174745, 0
1, 32x32, 210725, 0
1, 32x32, 229700, 0
1, 32x32, 210200, 0
1, 32x32, 209287, 0
1, 32x32, 220192, 0
1, 32x32, 173954, 0
1, 32x32, 219152, 0
1, 32x32, 174558, 0
1, 32x32, 312518, 0
1, 32x32, 415954, 0
1, 32x32, 163433, 0
1, 32x32, 211162, 0
1, 32x32, 229238, 0
1, 32x32, 176527, 0
1, 32x32, 163109, 0
1, 32x32, 335712, 0
1, 32x32, 164018, 0
1, 32x32, 219464, 0
1, 32x32, 164006, 0
1, 32x32, 390962, 0
1, 32x32, 174600, 0
1, 32x32, 219736, 0
1, 32x32, 230080, 0
1, 32x32, 175073, 0
2, 48x48, 481966, 0
2, 48x48, 371773, 0
2, 48x48, 397503, 0
2, 48x48, 501588, 0
2, 48x48, 373491, 0
2, 48x48, 501928, 0
2, 48x48, 479812, 0
2, 48x48, 436931, 0
2, 48x48, 723538, 0
2, 48x48, 526796, 0
2, 48x48, 481075, 0
2, 48x48, 503244, 0
2, 48x48, 480009, 0
2, 48x48, 371906, 0
2, 48x48, 503352, 0
2, 48x48, 525842, 0
2, 48x48, 429352, 0
2, 48x48, 560449, 0
2, 48x48, 552492, 0
2, 48x48, 399051, 0
2, 48x48, 482512, 0
2, 48x48, 372309, 0
2, 48x48, 527542, 0
2, 48x48, 398588, 0
2, 48x48, 481387, 0
2, 48x48, 372506, 0
2, 48x48, 523918, 0
2, 48x48, 677522, 0
2, 48x48, 501092, 0
2, 48x48, 641290, 0
2, 48x48, 505587, 0
2, 48x48, 605785, 0
2, 48x48, 640350, 0
2, 48x48, 508546, 0
2, 48x48, 399330, 0
2, 48x48, 501444, 0
2, 48x48, 399458, 0
2, 48x48, 819529, 0
2, 48x48, 374294, 0
2, 48x48, 480425, 0
2, 48x48, 483283, 0
2, 48x48, 483338, 0
2, 48x48, 372343, 0
2, 48x48, 524754, 0
2, 48x48, 398033, 0
2, 48x48, 577685, 0
2, 48x48, 481758, 0
2, 48x48, 373791, 0
2, 48x48, 525230, 0
2, 48x48, 481113, 0
2, 48x48, 398303, 0
2, 48x48, 371431, 0
2, 48x48, 503548, 0
2, 48x48, 400937, 0
2, 48x48, 375824, 0
2, 48x48, 526564, 0
2, 48x48, 481630, 0
2, 48x48, 486753, 0
2, 48x48, 545076, 0
2, 48x48, 372112, 0
2, 48x48, 502156, 0
2, 48x48, 399497, 0
2, 48x48, 374269, 0
2, 48x48, 550104, 0
2, 48x48, 443970, 0
2, 48x48, 464000, 0
2, 48x48, 523000, 0
2, 48x48, 525390, 0
2, 48x48, 398097, 0
2, 48x48, 440833, 0
2, 48x48, 614124, 0
2, 48x48, 374927, 0
2, 48x48, 397052, 0
2, 48x48, 483475, 0
2, 48x48, 402042, 0
2, 48x48, 398530, 0
2, 48x48, 573236, 0
2, 48x48, 399348, 0
2, 48x48, 482605, 0
2, 48x48, 501117, 0
2, 48x48, 526162, 0
2, 48x48, 398103, 0
2, 48x48, 373054, 0
2, 48x48, 480508, 0
2, 48x48, 928688, 0
2, 48x48, 372163, 0
2, 48x48, 402188, 0
2, 48x48, 501804, 0
2, 48x48, 502652, 0
2, 48x48, 481925, 0
2, 48x48, 605310, 0
2, 48x48, 372891, 0
2, 48x48, 960917, 0
2, 48x48, 454400, 0
2, 48x48, 557092, 0
2, 48x48, 525620, 0
2, 48x48, 371421, 0
2, 48x48, 1050500, 0
2, 48x48, 891180, 0
2, 48x48, 667424, 0
3, 64x64, 943754, 0
3, 64x64, 669003, 0
3, 64x64, 889642, 0
3, 64x64, 777154, 0
3, 64x64, 901508, 0
3, 64x64, 1584618, 0
3, 64x64, 700644, 0
3, 64x64, 867292, 0
3, 64x64, 990076, 0
3, 64x64, 714403, 0
3, 64x64, 864075, 0
3, 64x64, 899276, 0
3, 64x64, 893833, 0
3, 64x64, 801562, 0
3, 64x64, 903684, 0
3, 64x64, 732992, 0
3, 64x64, 1151320, 0
3, 64x64, 718224, 0
3, 64x64, 900676, 0
3, 64x64, 1149600, 0
3, 64x64, 907820, 0
3, 64x64, 807879, 0
3, 64x64, 903344, 0
3, 64x64, 1945004, 0
3, 64x64, 1017836, 0
3, 64x64, 758973, 0
3, 64x64, 863246, 0
3, 64x64, 943342, 0
3, 64x64, 865679, 0
3, 64x64, 865537, 0
3, 64x64, 670445, 0
3, 64x64, 966791, 0
3, 64x64, 867996, 0
3, 64x64, 901588, 0
3, 64x64, 863112, 0
3, 64x64, 760755, 0
3, 64x64, 670203, 0
3, 64x64, 757990, 0
3, 64x64, 863492, 0
3, 64x64, 757124, 0
3, 64x64, 1102225, 0
3, 64x64, 947164, 0
3, 64x64, 881266, 0
3, 64x64, 952106, 0
3, 64x64, 943888, 0
3, 64x64, 667761, 0
3, 64x64, 712824, 0
3, 64x64, 867625, 0
3, 64x64, 868020, 0
3, 64x64, 1806592, 0
3, 64x64, 1155220, 0
3, 64x64, 718260, 0
3, 64x64, 665173, 0
3, 64x64, 941736, 0
3, 64x64, 987956, 0
3, 64x64, 905600, 0
3, 64x64, 714449, 0
3, 64x64, 1065219, 0
3, 64x64, 867950, 0
3, 64x64, 667761, 0
3, 64x64, 1122244, 0
3, 64x64, 903117, 0
3, 64x64, 905904, 0
3, 64x64, 899212, 0
3, 64x64, 762566, 0
