N, WxH, Clock, Param0
0, 16x16, 44218, 0
0, 16x16, 56464, 0
0, 16x16, 40825, 0
0, 16x16, 55512, 0
0, 16x16, 43851, 0
0, 16x16, 90321, 0
0, 16x16, 41731, 0
0, 16x16, 58112, 0
0, 16x16, 45733, 0
0, 16x16, 55240, 0
0, 16x16, 43882, 0
0, 16x16, 60512, 0
0, 16x16, 41555, 0
0, 16x16, 41166, 0
0, 16x16, 57824, 0
0, 16x16, 55912, 0
0, 16x16, 62685, 0
0, 16x16, 54648, 0
0, 16x16, 44988, 0
0, 16x16, 52142, 0
0, 16x16, 41291, 0
0, 16x16, 84830, 0
0, 16x16, 45491, 0
0, 16x16, 56796, 0
0, 16x16, 43736, 0
0, 16x16, 44882, 0
0, 16x16, 53150, 0
0, 16x16, 60920, 0
0, 16x16, 104950, 0
0, 16x16, 41561, 0
0, 16x16, 57696, 0
0, 16x16, 45172, 0
0, 16x16, 58084, 0
0, 16x16, 41325, 0
0, 16x16, 44061, 0
0, 16x16, 52545, 0
0, 16x16, 59560, 0
0, 16x16, 42440, 0
0, 16x16, 44231, 0
0, 16x16, 58634, 0
0, 16x16, 41579, 0
0, 16x16, 107391, 0
0, 16x16, 79431, 0
0, 16x16, 53421, 0
0, 16x16, 40824, 0
0, 16x16, 100508, 0
0, 16x16, 70555, 0
0, 16x16, 56020, 0
0, 16x16, 45952, 0
0, 16x16, 47330, 0
0, 16x16, 71482, 0
0, 16x16, 41400, 0
0, 16x16, 55180, 0
0, 16x16, 41603, 0
0, 16x16, 75375, 0
0, 16x16, 97107, 0
0, 16x16, 43936, 0
0, 16x16, 86048, 0
0, 16x16, 43942, 0
0, 16x16, 57018, 0
0, 16x16, 41242, 0
0, 16x16, 60452, 0
0, 16x16, 52779, 0
0, 16x16, 54840, 0
0, 16x16, 53763, 0
0, 16x16, 43618, 0
0, 16x16, 54412, 0
0, 16x16, 41294, 0
0, 16x16, 57072, 0
0, 16x16, 43722, 0
0, 16x16, 56144, 0
0, 16x16, 62430, 0
0, 16x16, 44018, 0
0, 16x16, 90022, 0
0, 16x16, 44879, 0
0, 16x16, 60560, 0
0, 16x16, 41431, 0
0, 16x16, 52209, 0
0, 16x16, 45812, 0
0, 16x16, 52629, 0
0, 16x16, 57604, 0
0, 16x16, 53154, 0
0, 16x16, 54752, 0
0, 16x16, 43591, 0
