N, WxH, Clock, Param0
0, 16x16, 74675, 0
0, 16x16, 40715, 0
0, 16x16, 74505, 0
0, 16x16, 54992, 0
0, 16x16, 43930, 0
0, 16x16, 55528, 0
0, 16x16, 53021, 0
0, 16x16, 55404, 0
0, 16x16, 63445, 0
0, 16x16, 55612, 0
0, 16x16, 43527, 0
0, 16x16, 43660, 0
0, 16x16, 55448, 0
0, 16x16, 45712, 0
0, 16x16, 45506, 0
0, 16x16, 43573, 0
0, 16x16, 103925, 0
0, 16x16, 44179, 0
0, 16x16, 59972, 0
0, 16x16, 42654, 0
0, 16x16, 54728, 0
0, 16x16, 44733, 0
0, 16x16, 40833, 0
0, 16x16, 85281, 0
0, 16x16, 52871, 0
0, 16x16, 55208, 0
0, 16x16, 41370, 0
0, 16x16, 55344, 0
0, 16x16, 41025, 0
0, 16x16, 40481, 0
0, 16x16, 53133, 0
0, 16x16, 58092, 0
0, 16x16, 43481, 0
0, 16x16, 45882, 0
0, 16x16, 105600, 0
0, 16x16, 44267, 0
0, 16x16, 63185, 0
0, 16x16, 56480, 0
0, 16x16, 44146, 0
0, 16x16, 44721, 0
0, 16x16, 45264, 0
0, 16x16, 54732, 0
0, 16x16, 44433, 0
0, 16x16, 44064, 0
0, 16x16, 43652, 0
0, 16x16, 55028, 0
0, 16x16, 44163, 0
0, 16x16, 53421, 0
0, 16x16, 44367, 0
0, 16x16, 43885, 0
0, 16x16, 87370, 0
0, 16x16, 54125, 0
0, 16x16, 55536, 0
0, 16x16, 41503, 0
0, 16x16, 55592, 0
0, 16x16, 41191, 0
0, 16x16, 60292, 0
0, 16x16, 41100, 0
0, 16x16, 54940, 0
0, 16x16, 70379, 0
0, 16x16, 41721, 0
0, 16x16, 53446, 0
0, 16x16, 41331, 0
0, 16x16, 57024, 0
0, 16x16, 57496, 0
0, 16x16, 78794, 0
0, 16x16, 91500, 0
0, 16x16, 46088, 0
0, 16x16, 52746, 0
0, 16x16, 45736, 0
0, 16x16, 52354, 0
0, 16x16, 41100, 0
0, 16x16, 59336, 0
0, 16x16, 52600, 0
0, 16x16, 41142, 0
0, 16x16, 43721, 0
0, 16x16, 52213, 0
0, 16x16, 44103, 0
0, 16x16, 45185, 0
0, 16x16, 66705, 0
0, 16x16, 69965, 0
0, 16x16, 53137, 0
0, 16x16, 41125, 0
0, 16x16, 63695, 0
0, 16x16, 40930, 0
0, 16x16, 57738, 0
0, 16x16, 41934, 0
0, 16x16, 55896, 0
0, 16x16, 43731, 0
0, 16x16, 41164, 0
0, 16x16, 55164, 0
0, 16x16, 53163, 0
0, 16x16, 44467, 0
0, 16x16, 105317, 0
0, 16x16, 41597, 0
0, 16x16, 76794, 0
0, 16x16, 55140, 0
0, 16x16, 41030, 0
0, 16x16, 57404, 0
0, 16x16, 44034, 0
1, 32x32, 175012, 0
1, 32x32, 357529, 0
1, 32x32, 219724, 0
1, 32x32, 211896, 0
1, 32x32, 205626, 0
1, 32x32, 232446, 0
1, 32x32, 230476, 0
1, 32x32, 220024, 0
1, 32x32, 247679, 0
1, 32x32, 162961, 0
1, 32x32, 176006, 0
1, 32x32, 219704, 0
1, 32x32, 162955, 0
1, 32x32, 211616, 0
1, 32x32, 175018, 0
1, 32x32, 335258, 0
1, 32x32, 174379, 0
1, 32x32, 213584, 0
1, 32x32, 175409, 0
1, 32x32, 210517, 0
1, 32x32, 239036, 0
1, 32x32, 174812, 0
1, 32x32, 173836, 0
1, 32x32, 229897, 0
1, 32x32, 174527, 0
1, 32x32, 281025, 0
1, 32x32, 210091, 0
1, 32x32, 205079, 0
1, 32x32, 219268, 0
1, 32x32, 219948, 0
1, 32x32, 175154, 0
1, 32x32, 210779, 0
1, 32x32, 174354, 0
1, 32x32, 220596, 0
1, 32x32, 162849, 0
1, 32x32, 219272, 0
1, 32x32, 174406, 0
1, 32x32, 174861, 0
1, 32x32, 174206, 0
1, 32x32, 211321, 0
1, 32x32, 163566, 0
1, 32x32, 294085, 0
1, 32x32, 173624, 0
1, 32x32, 163449, 0
1, 32x32, 163215, 0
1, 32x32, 221000, 0
1, 32x32, 163709, 0
1, 32x32, 164139, 0
1, 32x32, 515708, 0
1, 32x32, 174779, 0
1, 32x32, 173385, 0
1, 32x32, 220436, 0
1, 32x32, 228920, 0
1, 32x32, 176015, 0
1, 32x32, 175400, 0
1, 32x32, 306010, 0
