N, WxH, Clock, Param0
0, 16x16, 9978, 0
0, 16x16, 7088, 0
0, 16x16, 13194, 0
0, 16x16, 12575, 0
0, 16x16, 13350, 0
0, 16x16, 7403, 0
0, 16x16, 7630, 0
0, 16x16, 7742, 0
0, 16x16, 18225, 0
0, 16x16, 9368, 0
0, 16x16, 7658, 0
0, 16x16, 7376, 0
0, 16x16, 9268, 0
0, 16x16, 12164, 0
0, 16x16, 12239, 0
0, 16x16, 7667, 0
0, 16x16, 9812, 0
0, 16x16, 9716, 0
0, 16x16, 11435, 0
0, 16x16, 12282, 0
0, 16x16, 13463, 0
0, 16x16, 14006, 0
0, 16x16, 9440, 0
0, 16x16, 7888, 0
0, 16x16, 8604, 0
0, 16x16, 11155, 0
0, 16x16, 7061, 0
0, 16x16, 9748, 0
0, 16x16, 7200, 0
0, 16x16, 7721, 0
0, 16x16, 7403, 0
0, 16x16, 7848, 0
0, 16x16, 6912, 0
0, 16x16, 11320, 0
0, 16x16, 10324, 0
0, 16x16, 8227, 0
0, 16x16, 6970, 0
0, 16x16, 9868, 0
0, 16x16, 13045, 0
0, 16x16, 7291, 0
0, 16x16, 7200, 0
0, 16x16, 7400, 0
0, 16x16, 7030, 0
0, 16x16, 9476, 0
0, 16x16, 9179, 0
0, 16x16, 12937, 0
0, 16x16, 7370, 0
0, 16x16, 7533, 0
0, 16x16, 10568, 0
0, 16x16, 14614, 0
0, 16x16, 7812, 0
0, 16x16, 7085, 0
0, 16x16, 7128, 0
0, 16x16, 9332, 0
0, 16x16, 7603, 0
0, 16x16, 17841, 0
0, 16x16, 8018, 0
0, 16x16, 17193, 0
0, 16x16, 6973, 0
0, 16x16, 13148, 0
0, 16x16, 9064, 0
0, 16x16, 17600, 0
0, 16x16, 7361, 0
0, 16x16, 7194, 0
0, 16x16, 10376, 0
0, 16x16, 7894, 0
0, 16x16, 8917, 0
0, 16x16, 11295, 0
0, 16x16, 15257, 0
0, 16x16, 17450, 0
0, 16x16, 11660, 0
0, 16x16, 13210, 0
0, 16x16, 10168, 0
0, 16x16, 7109, 0
0, 16x16, 11648, 0
0, 16x16, 10140, 0
0, 16x16, 10352, 0
0, 16x16, 9808, 0
0, 16x16, 7512, 0
0, 16x16, 7406, 0
0, 16x16, 13519, 0
0, 16x16, 7133, 0
0, 16x16, 11275, 0
0, 16x16, 7451, 0
0, 16x16, 15307, 0
0, 16x16, 9316, 0
0, 16x16, 9008, 0
0, 16x16, 10506, 0
0, 16x16, 8804, 0
0, 16x16, 7070, 0
0, 16x16, 11505, 0
0, 16x16, 7406, 0
0, 16x16, 6655, 0
0, 16x16, 10304, 0
0, 16x16, 18050, 0
0, 16x16, 6736, 0
0, 16x16, 14536, 0
0, 16x16, 9033, 0
0, 16x16, 7767, 0
0, 16x16, 12775, 0
1, 32x32, 29237, 0
1, 32x32, 48588, 0
1, 32x32, 30692, 0
1, 32x32, 58058, 0
1, 32x32, 57350, 0
1, 32x32, 23121, 0
1, 32x32, 23922, 0
1, 32x32, 24106, 0
1, 32x32, 38380, 0
1, 32x32, 28942, 0
1, 32x32, 23991, 0
1, 32x32, 24160, 0
1, 32x32, 22930, 0
1, 32x32, 22849, 0
1, 32x32, 29379, 0
1, 32x32, 29113, 0
1, 32x32, 24237, 0
1, 32x32, 28567, 0
1, 32x32, 24336, 0
1, 32x32, 29184, 0
1, 32x32, 31096, 0
1, 32x32, 24618, 0
1, 32x32, 28467, 0
1, 32x32, 24203, 0
1, 32x32, 28833, 0
1, 32x32, 30328, 0
1, 32x32, 24209, 0
1, 32x32, 41568, 0
1, 32x32, 23712, 0
1, 32x32, 46085, 0
1, 32x32, 31696, 0
1, 32x32, 23963, 0
1, 32x32, 24085, 0
1, 32x32, 22706, 0
1, 32x32, 22833, 0
1, 32x32, 31746, 0
1, 32x32, 23097, 0
1, 32x32, 57225, 0
1, 32x32, 34064, 0
1, 32x32, 22576, 0
1, 32x32, 41015, 0
1, 32x32, 24091, 0
1, 32x32, 33056, 0
1, 32x32, 24021, 0
1, 32x32, 34985, 0
1, 32x32, 22628, 0
1, 32x32, 24231, 0
1, 32x32, 23757, 0
1, 32x32, 29409, 0
1, 32x32, 23085, 0
1, 32x32, 33432, 0
1, 32x32, 24464, 0
1, 32x32, 28708, 0
1, 32x32, 22684, 0
1, 32x32, 29066, 0
1, 32x32, 31592, 0
1, 32x32, 73900, 0
1, 32x32, 24240, 0
1, 32x32, 39200, 0
1, 32x32, 36360, 0
1, 32x32, 39279, 0
1, 32x32, 42838, 0
1, 32x32, 24727, 0
1, 32x32, 43575, 0
1, 32x32, 51048, 0
1, 32x32, 29233, 0
1, 32x32, 23939, 0
1, 32x32, 24121, 0
1, 32x32, 57075, 0
1, 32x32, 22615, 0
1, 32x32, 29500, 0
1, 32x32, 42969, 0
1, 32x32, 22745, 0
1, 32x32, 57909, 0
1, 32x32, 23000, 0
1, 32x32, 22722, 0
1, 32x32, 28696, 0
1, 32x32, 22788, 0
1, 32x32, 29112, 0
1, 32x32, 23933, 0
1, 32x32, 22994, 0
1, 32x32, 40760, 0
1, 32x32, 24103, 0
1, 32x32, 22830, 0
1, 32x32, 28583, 0
1, 32x32, 22633, 0
1, 32x32, 49528, 0
1, 32x32, 30556, 0
1, 32x32, 30292, 0
1, 32x32, 39790, 0
1, 32x32, 45018, 0
1, 32x32, 46248, 0
1, 32x32, 25027, 0
1, 32x32, 24930, 0
1, 32x32, 24012, 0
1, 32x32, 24097, 0
1, 32x32, 62410, 0
1, 32x32, 22642, 0
1, 32x32, 34860, 0
1, 32x32, 29000, 0
2, 48x48, 53570, 0
2, 48x48, 81494, 0
2, 48x48, 102858, 0
2, 48x48, 53597, 0
2, 48x48, 73608, 0
2, 48x48, 67820, 0
2, 48x48, 74440, 0
2, 48x48, 73540, 0
2, 48x48, 86210, 0
2, 48x48, 53655, 0
2, 48x48, 70508, 0
2, 48x48, 99006, 0
2, 48x48, 54670, 0
2, 48x48, 65008, 0
2, 48x48, 73828, 0
2, 48x48, 57906, 0
2, 48x48, 140798, 0
2, 48x48, 53985, 0
2, 48x48, 67304, 0
2, 48x48, 64380, 0
2, 48x48, 53785, 0
2, 48x48, 50185, 0
2, 48x48, 129775, 0
2, 48x48, 50285, 0
2, 48x48, 78661, 0
2, 48x48, 73844, 0
2, 48x48, 50224, 0
2, 48x48, 129467, 0
2, 48x48, 65279, 0
2, 48x48, 77875, 0
2, 48x48, 53660, 0
2, 48x48, 77535, 0
2, 48x48, 64821, 0
2, 48x48, 68576, 0
2, 48x48, 92512, 0
2, 48x48, 73712, 0
2, 48x48, 74540, 0
2, 48x48, 128975, 0
2, 48x48, 54018, 0
2, 48x48, 53955, 0
2, 48x48, 53848, 0
2, 48x48, 53709, 0
2, 48x48, 53924, 0
2, 48x48, 70584, 0
2, 48x48, 78280, 0
2, 48x48, 156303, 0
2, 48x48, 49831, 0
2, 48x48, 53940, 0
2, 48x48, 50140, 0
2, 48x48, 90965, 0
2, 48x48, 54297, 0
2, 48x48, 94736, 0
2, 48x48, 100194, 0
2, 48x48, 97861, 0
2, 48x48, 105142, 0
2, 48x48, 50318, 0
2, 48x48, 70958, 0
2, 48x48, 55194, 0
2, 48x48, 103576, 0
2, 48x48, 50021, 0
2, 48x48, 129675, 0
2, 48x48, 81795, 0
2, 48x48, 50509, 0
2, 48x48, 54018, 0
2, 48x48, 78075, 0
2, 48x48, 78225, 0
2, 48x48, 78020, 0
2, 48x48, 54370, 0
2, 48x48, 67940, 0
2, 48x48, 50000, 0
2, 48x48, 54067, 0
2, 48x48, 91020, 0
2, 48x48, 53360, 0
2, 48x48, 67852, 0
2, 48x48, 96513, 0
2, 48x48, 138238, 0
2, 48x48, 53764, 0
2, 48x48, 67676, 0
2, 48x48, 80691, 0
2, 48x48, 130258, 0
2, 48x48, 81691, 0
2, 48x48, 129091, 0
2, 48x48, 65254, 0
2, 48x48, 85415, 0
2, 48x48, 70380, 0
2, 48x48, 53967, 0
2, 48x48, 73484, 0
2, 48x48, 53715, 0
2, 48x48, 53321, 0
2, 48x48, 50076, 0
2, 48x48, 49673, 0
2, 48x48, 50187, 0
2, 48x48, 65713, 0
2, 48x48, 126214, 0
2, 48x48, 53885, 0
2, 48x48, 100267, 0
2, 48x48, 55336, 0
2, 48x48, 55400, 0
2, 48x48, 67544, 0
2, 48x48, 53694, 0
3, 64x64, 254687, 0
3, 64x64, 86821, 0
3, 64x64, 380159, 0
3, 64x64, 93115, 0
3, 64x64, 133094, 0
3, 64x64, 116976, 0
3, 64x64, 116472, 0
3, 64x64, 86976, 0
3, 64x64, 87288, 0
3, 64x64, 112275, 0
3, 64x64, 87212, 0
3, 64x64, 86797, 0
3, 64x64, 128520, 0
3, 64x64, 117688, 0
3, 64x64, 129204, 0
3, 64x64, 92858, 0
3, 64x64, 134095, 0
3, 64x64, 93618, 0
3, 64x64, 87300, 0
3, 64x64, 312625, 0
3, 64x64, 223100, 0
3, 64x64, 87419, 0
3, 64x64, 93306, 0
3, 64x64, 92670, 0
3, 64x64, 86858, 0
3, 64x64, 135270, 0
3, 64x64, 179176, 0
3, 64x64, 93297, 0
3, 64x64, 86461, 0
3, 64x64, 226177, 0
3, 64x64, 93140, 0
3, 64x64, 165033, 0
3, 64x64, 92739, 0
3, 64x64, 141830, 0
3, 64x64, 128372, 0
3, 64x64, 117698, 0
3, 64x64, 158695, 0
3, 64x64, 92755, 0
3, 64x64, 87224, 0
3, 64x64, 141860, 0
3, 64x64, 219305, 0
3, 64x64, 251360, 0
3, 64x64, 112279, 0
3, 64x64, 157950, 0
3, 64x64, 92609, 0
3, 64x64, 112550, 0
3, 64x64, 134440, 0
3, 64x64, 94991, 0
3, 64x64, 225117, 0
3, 64x64, 123088, 0
3, 64x64, 150380, 0
3, 64x64, 114013, 0
3, 64x64, 119980, 0
3, 64x64, 111800, 0
3, 64x64, 87206, 0
3, 64x64, 129269, 0
3, 64x64, 87242, 0
3, 64x64, 92418, 0
3, 64x64, 217090, 0
3, 64x64, 87534, 0
3, 64x64, 93066, 0
3, 64x64, 151773, 0
3, 64x64, 92818, 0
3, 64x64, 192028, 0
3, 64x64, 223509, 0
3, 64x64, 149210, 0
3, 64x64, 86657, 0
3, 64x64, 86839, 0
3, 64x64, 198854, 0
3, 64x64, 178806, 0
3, 64x64, 154657, 0
3, 64x64, 112104, 0
3, 64x64, 87043, 0
3, 64x64, 86618, 0
3, 64x64, 116568, 0
3, 64x64, 156316, 0
3, 64x64, 87231, 0
3, 64x64, 164464, 0
3, 64x64, 117180, 0
3, 64x64, 92994, 0
3, 64x64, 113241, 0
3, 64x64, 223792, 0
3, 64x64, 149720, 0
3, 64x64, 135650, 0
3, 64x64, 203741, 0
3, 64x64, 245084, 0
3, 64x64, 93015, 0
3, 64x64, 93224, 0
3, 64x64, 192393, 0
3, 64x64, 93100, 0
3, 64x64, 92997, 0
3, 64x64, 128056, 0
3, 64x64, 134640, 0
3, 64x64, 118924, 0
3, 64x64, 112416, 0
3, 64x64, 319430, 0
3, 64x64, 86797, 0
3, 64x64, 164164, 0
3, 64x64, 93591, 0
3, 64x64, 159171, 0
4, 80x80, 183216, 0
4, 80x80, 175187, 0
4, 80x80, 343583, 0
4, 80x80, 145194, 0
4, 80x80, 191788, 0
4, 80x80, 247775, 0
4, 80x80, 282088, 0
4, 80x80, 171037, 0
4, 80x80, 227373, 0
4, 80x80, 316285, 0
4, 80x80, 348850, 0
4, 80x80, 265546, 0
4, 80x80, 145009, 0
4, 80x80, 191046, 0
4, 80x80, 144979, 0
4, 80x80, 212264, 0
4, 80x80, 164273, 0
4, 80x80, 190778, 0
4, 80x80, 200376, 0
4, 80x80, 437930, 0
4, 80x80, 322193, 0
4, 80x80, 200968, 0
4, 80x80, 187542, 0
4, 80x80, 210110, 0
4, 80x80, 144879, 0
4, 80x80, 136521, 0
4, 80x80, 209805, 0
4, 80x80, 145500, 0
4, 80x80, 191524, 0
4, 80x80, 232815, 0
4, 80x80, 144964, 0
4, 80x80, 182792, 0
4, 80x80, 135942, 0
4, 80x80, 145594, 0
4, 80x80, 144991, 0
4, 80x80, 349567, 0
4, 80x80, 167152, 0
4, 80x80, 182520, 0
4, 80x80, 175276, 0
4, 80x80, 175041, 0
4, 80x80, 145264, 0
4, 80x80, 361742, 0
4, 80x80, 280670, 0
4, 80x80, 264093, 0
4, 80x80, 192206, 0
4, 80x80, 146373, 0
4, 80x80, 351508, 0
4, 80x80, 145109, 0
4, 80x80, 175108, 0
4, 80x80, 200132, 0
4, 80x80, 136554, 0
4, 80x80, 612292, 0
4, 80x80, 175075, 0
4, 80x80, 183276, 0
4, 80x80, 149079, 0
4, 80x80, 200088, 0
4, 80x80, 350441, 0
4, 80x80, 145015, 0
4, 80x80, 204776, 0
4, 80x80, 200240, 0
4, 80x80, 182664, 0
4, 80x80, 349725, 0
4, 80x80, 182452, 0
4, 80x80, 191124, 0
4, 80x80, 184064, 0
4, 80x80, 601492, 0
4, 80x80, 145436, 0
4, 80x80, 145073, 0
4, 80x80, 145397, 0
4, 80x80, 144772, 0
4, 80x80, 182748, 0
4, 80x80, 135073, 0
4, 80x80, 144915, 0
4, 80x80, 145646, 0
4, 80x80, 144624, 0
