N, WxH, Clock, Param0, Param1, Param2
0, 16x16, 31546, 30.0, 1.0, 0.1
0, 16x16, 33284, 30.0, 1.0, 0.1
0, 16x16, 24691, 30.0, 1.0, 0.1
0, 16x16, 33633, 30.0, 1.0, 0.1
0, 16x16, 33212, 30.0, 1.0, 0.1
0, 16x16, 53993, 30.0, 1.0, 0.1
0, 16x16, 24724, 30.0, 1.0, 0.1
0, 16x16, 50980, 30.0, 1.0, 0.1
0, 16x16, 24742, 30.0, 1.0, 0.1
0, 16x16, 33528, 30.0, 1.0, 0.1
1, 32x32, 94485, 30.0, 1.0, 0.1
1, 32x32, 224628, 30.0, 1.0, 0.1
1, 32x32, 246637, 30.0, 1.0, 0.1
1, 32x32, 133518, 30.0, 1.0, 0.1
1, 32x32, 158616, 30.0, 1.0, 0.1
1, 32x32, 127252, 30.0, 1.0, 0.1
1, 32x32, 132940, 30.0, 1.0, 0.1
1, 32x32, 133046, 30.0, 1.0, 0.1
1, 32x32, 133020, 30.0, 1.0, 0.1
1, 32x32, 100803, 30.0, 1.0, 0.1
2, 48x48, 232455, 30.0, 1.0, 0.1
2, 48x48, 225506, 30.0, 1.0, 0.1
2, 48x48, 317339, 30.0, 1.0, 0.1
2, 48x48, 225452, 30.0, 1.0, 0.1
2, 48x48, 225436, 30.0, 1.0, 0.1
2, 48x48, 243652, 30.0, 1.0, 0.1
2, 48x48, 308643, 30.0, 1.0, 0.1
2, 48x48, 312164, 30.0, 1.0, 0.1
2, 48x48, 317282, 30.0, 1.0, 0.1
2, 48x48, 225458, 30.0, 1.0, 0.1
3, 64x64, 639000, 30.0, 1.0, 0.1
3, 64x64, 399588, 30.0, 1.0, 0.1
3, 64x64, 457545, 30.0, 1.0, 0.1
3, 64x64, 399712, 30.0, 1.0, 0.1
3, 64x64, 521872, 30.0, 1.0, 0.1
3, 64x64, 545573, 30.0, 1.0, 0.1
3, 64x64, 536533, 30.0, 1.0, 0.1
3, 64x64, 515049, 30.0, 1.0, 0.1
3, 64x64, 568167, 30.0, 1.0, 0.1
3, 64x64, 555200, 30.0, 1.0, 0.1
4, 80x80, 672688, 30.0, 1.0, 0.1
4, 80x80, 884867, 30.0, 1.0, 0.1
4, 80x80, 897515, 30.0, 1.0, 0.1
4, 80x80, 886842, 30.0, 1.0, 0.1
4, 80x80, 888930, 30.0, 1.0, 0.1
4, 80x80, 686164, 30.0, 1.0, 0.1
4, 80x80, 910259, 30.0, 1.0, 0.1
4, 80x80, 865622, 30.0, 1.0, 0.1
4, 80x80, 820282, 30.0, 1.0, 0.1
4, 80x80, 670934, 30.0, 1.0, 0.1
5, 96x96, 1051557, 30.0, 1.0, 0.1
5, 96x96, 1029949, 30.0, 1.0, 0.1
5, 96x96, 2235129, 30.0, 1.0, 0.1
5, 96x96, 905703, 30.0, 1.0, 0.1
5, 96x96, 897815, 30.0, 1.0, 0.1
5, 96x96, 1209450, 30.0, 1.0, 0.1
5, 96x96, 839949, 30.0, 1.0, 0.1
5, 96x96, 1135803, 30.0, 1.0, 0.1
5, 96x96, 1383485, 30.0, 1.0, 0.1
5, 96x96, 1252664, 30.0, 1.0, 0.1
6, 112x112, 1184860, 30.0, 1.0, 0.1
6, 112x112, 1698337, 30.0, 1.0, 0.1
6, 112x112, 2058865, 30.0, 1.0, 0.1
6, 112x112, 2352095, 30.0, 1.0, 0.1
6, 112x112, 1349406, 30.0, 1.0, 0.1
6, 112x112, 1931326, 30.0, 1.0, 0.1
6, 112x112, 1603791, 30.0, 1.0, 0.1
6, 112x112, 1607230, 30.0, 1.0, 0.1
6, 112x112, 1511167, 30.0, 1.0, 0.1
6, 112x112, 1221173, 30.0, 1.0, 0.1
7, 128x128, 2003712, 30.0, 1.0, 0.1
7, 128x128, 3404877, 30.0, 1.0, 0.1
7, 128x128, 2237668, 30.0, 1.0, 0.1
7, 128x128, 2349565, 30.0, 1.0, 0.1
7, 128x128, 1517158, 30.0, 1.0, 0.1
7, 128x128, 1615019, 30.0, 1.0, 0.1
7, 128x128, 2338812, 30.0, 1.0, 0.1
7, 128x128, 1613864, 30.0, 1.0, 0.1
7, 128x128, 2218530, 30.0, 1.0, 0.1
7, 128x128, 1608064, 30.0, 1.0, 0.1
8, 144x144, 2194671, 30.0, 1.0, 0.1
8, 144x144, 2460194, 30.0, 1.0, 0.1
8, 144x144, 1887251, 30.0, 1.0, 0.1
8, 144x144, 2018045, 30.0, 1.0, 0.1
8, 144x144, 2788580, 30.0, 1.0, 0.1
8, 144x144, 2017530, 30.0, 1.0, 0.1
8, 144x144, 5336130, 30.0, 1.0, 0.1
8, 144x144, 1973905, 30.0, 1.0, 0.1
8, 144x144, 3296345, 30.0, 1.0, 0.1
8, 144x144, 2654778, 30.0, 1.0, 0.1
9, 160x160, 3150252, 30.0, 1.0, 0.1
9, 160x160, 3392758, 30.0, 1.0, 0.1
9, 160x160, 5682658, 30.0, 1.0, 0.1
9, 160x160, 4335145, 30.0, 1.0, 0.1
9, 160x160, 3337461, 30.0, 1.0, 0.1
9, 160x160, 2550409, 30.0, 1.0, 0.1
9, 160x160, 3393876, 30.0, 1.0, 0.1
9, 160x160, 3355163, 30.0, 1.0, 0.1
9, 160x160, 3282542, 30.0, 1.0, 0.1
9, 160x160, 2563446, 30.0, 1.0, 0.1
10, 176x176, 3045994, 30.0, 1.0, 0.1
10, 176x176, 4996804, 30.0, 1.0, 0.1
10, 176x176, 3738871, 30.0, 1.0, 0.1
10, 176x176, 3072821, 30.0, 1.0, 0.1
10, 176x176, 4077510, 30.0, 1.0, 0.1
10, 176x176, 4166118, 30.0, 1.0, 0.1
10, 176x176, 3042727, 30.0, 1.0, 0.1
10, 176x176, 4632500, 30.0, 1.0, 0.1
10, 176x176, 2988397, 30.0, 1.0, 0.1
10, 176x176, 6390297, 30.0, 1.0, 0.1
11, 192x192, 4685632, 30.0, 1.0, 0.1
11, 192x192, 5769353, 30.0, 1.0, 0.1
11, 192x192, 4433020, 30.0, 1.0, 0.1
11, 192x192, 3622875, 30.0, 1.0, 0.1
11, 192x192, 5236363, 30.0, 1.0, 0.1
11, 192x192, 4431790, 30.0, 1.0, 0.1
11, 192x192, 3624800, 30.0, 1.0, 0.1
11, 192x192, 3585203, 30.0, 1.0, 0.1
11, 192x192, 5116205, 30.0, 1.0, 0.1
11, 192x192, 5832575, 30.0, 1.0, 0.1
12, 208x208, 6170260, 30.0, 1.0, 0.1
12, 208x208, 5396148, 30.0, 1.0, 0.1
12, 208x208, 4252776, 30.0, 1.0, 0.1
12, 208x208, 4206342, 30.0, 1.0, 0.1
12, 208x208, 5055950, 30.0, 1.0, 0.1
12, 208x208, 5965776, 30.0, 1.0, 0.1
12, 208x208, 5273600, 30.0, 1.0, 0.1
12, 208x208, 7171067, 30.0, 1.0, 0.1
12, 208x208, 4225951, 30.0, 1.0, 0.1
12, 208x208, 4238444, 30.0, 1.0, 0.1
13, 224x224, 6710339, 30.0, 1.0, 0.1
13, 224x224, 6763818, 30.0, 1.0, 0.1
13, 224x224, 6361318, 30.0, 1.0, 0.1
13, 224x224, 6816862, 30.0, 1.0, 0.1
13, 224x224, 5950441, 30.0, 1.0, 0.1
13, 224x224, 6239457, 30.0, 1.0, 0.1
13, 224x224, 6754659, 30.0, 1.0, 0.1
13, 224x224, 6334451, 30.0, 1.0, 0.1
13, 224x224, 5135895, 30.0, 1.0, 0.1
13, 224x224, 5005483, 30.0, 1.0, 0.1
14, 240x240, 5753095, 30.0, 1.0, 0.1
14, 240x240, 5720254, 30.0, 1.0, 0.1
14, 240x240, 6974484, 30.0, 1.0, 0.1
14, 240x240, 11120790, 30.0, 1.0, 0.1
14, 240x240, 7812514, 30.0, 1.0, 0.1
14, 240x240, 6767791, 30.0, 1.0, 0.1
14, 240x240, 5857391, 30.0, 1.0, 0.1
14, 240x240, 7230468, 30.0, 1.0, 0.1
14, 240x240, 6289428, 30.0, 1.0, 0.1
14, 240x240, 7363312, 30.0, 1.0, 0.1
15, 256x256, 8600012, 30.0, 1.0, 0.1
15, 256x256, 8522927, 30.0, 1.0, 0.1
15, 256x256, 8558591, 30.0, 1.0, 0.1
15, 256x256, 6484647, 30.0, 1.0, 0.1
15, 256x256, 9277475, 30.0, 1.0, 0.1
15, 256x256, 6387654, 30.0, 1.0, 0.1
15, 256x256, 8850484, 30.0, 1.0, 0.1
15, 256x256, 6460191, 30.0, 1.0, 0.1
15, 256x256, 9326924, 30.0, 1.0, 0.1
15, 256x256, 6509224, 30.0, 1.0, 0.1
16, 272x272, 8154438, 30.0, 1.0, 0.1
16, 272x272, 9830561, 30.0, 1.0, 0.1
16, 272x272, 10065163, 30.0, 1.0, 0.1
16, 272x272, 10626788, 30.0, 1.0, 0.1
16, 272x272, 7687018, 30.0, 1.0, 0.1
16, 272x272, 10568973, 30.0, 1.0, 0.1
16, 272x272, 8813880, 30.0, 1.0, 0.1
16, 272x272, 8661719, 30.0, 1.0, 0.1
16, 272x272, 7180868, 30.0, 1.0, 0.1
16, 272x272, 15057703, 30.0, 1.0, 0.1
17, 288x288, 9352360, 30.0, 1.0, 0.1
17, 288x288, 14580906, 30.0, 1.0, 0.1
17, 288x288, 12144775, 30.0, 1.0, 0.1
17, 288x288, 8187750, 30.0, 1.0, 0.1
17, 288x288, 7803474, 30.0, 1.0, 0.1
17, 288x288, 8887768, 30.0, 1.0, 0.1
17, 288x288, 12102645, 30.0, 1.0, 0.1
17, 288x288, 11452256, 30.0, 1.0, 0.1
17, 288x288, 10132130, 30.0, 1.0, 0.1
17, 288x288, 11858273, 30.0, 1.0, 0.1
18, 304x304, 9383814, 30.0, 1.0, 0.1
18, 304x304, 9007604, 30.0, 1.0, 0.1
18, 304x304, 11111779, 30.0, 1.0, 0.1
18, 304x304, 13556113, 30.0, 1.0, 0.1
18, 304x304, 11557148, 30.0, 1.0, 0.1
18, 304x304, 12291670, 30.0, 1.0, 0.1
18, 304x304, 10583814, 30.0, 1.0, 0.1
18, 304x304, 12245979, 30.0, 1.0, 0.1
18, 304x304, 12341650, 30.0, 1.0, 0.1
18, 304x304, 10277612, 30.0, 1.0, 0.1
19, 320x320, 14350424, 30.0, 1.0, 0.1
19, 320x320, 14892675, 30.0, 1.0, 0.1
19, 320x320, 12276785, 30.0, 1.0, 0.1
19, 320x320, 13474737, 30.0, 1.0, 0.1
19, 320x320, 12021340, 30.0, 1.0, 0.1
19, 320x320, 12116580, 30.0, 1.0, 0.1
19, 320x320, 12293000, 30.0, 1.0, 0.1
19, 320x320, 12088616, 30.0, 1.0, 0.1
19, 320x320, 13939972, 30.0, 1.0, 0.1
19, 320x320, 12898920, 30.0, 1.0, 0.1
