N, WxH, Clock, Param0, Param1, Param2
0, 16x16, 32585, 30.0, 1.0, 0.1
0, 16x16, 39267, 30.0, 1.0, 0.1
0, 16x16, 86264, 30.0, 1.0, 0.1
0, 16x16, 78175, 30.0, 1.0, 0.1
0, 16x16, 31185, 30.0, 1.0, 0.1
0, 16x16, 44200, 30.0, 1.0, 0.1
0, 16x16, 43984, 30.0, 1.0, 0.1
0, 16x16, 30167, 30.0, 1.0, 0.1
0, 16x16, 58881, 30.0, 1.0, 0.1
0, 16x16, 30528, 30.0, 1.0, 0.1
1, 32x32, 144525, 30.0, 1.0, 0.1
1, 32x32, 120030, 30.0, 1.0, 0.1
1, 32x32, 205899, 30.0, 1.0, 0.1
1, 32x32, 123324, 30.0, 1.0, 0.1
1, 32x32, 249735, 30.0, 1.0, 0.1
1, 32x32, 159594, 30.0, 1.0, 0.1
1, 32x32, 203800, 30.0, 1.0, 0.1
1, 32x32, 119158, 30.0, 1.0, 0.1
1, 32x32, 199868, 30.0, 1.0, 0.1
1, 32x32, 121303, 30.0, 1.0, 0.1
2, 48x48, 246270, 30.0, 1.0, 0.1
2, 48x48, 380673, 30.0, 1.0, 0.1
2, 48x48, 473919, 30.0, 1.0, 0.1
2, 48x48, 392909, 30.0, 1.0, 0.1
2, 48x48, 241863, 30.0, 1.0, 0.1
2, 48x48, 375556, 30.0, 1.0, 0.1
2, 48x48, 260012, 30.0, 1.0, 0.1
2, 48x48, 258718, 30.0, 1.0, 0.1
2, 48x48, 258230, 30.0, 1.0, 0.1
2, 48x48, 260630, 30.0, 1.0, 0.1
3, 64x64, 574848, 30.0, 1.0, 0.1
3, 64x64, 772105, 30.0, 1.0, 0.1
3, 64x64, 454888, 30.0, 1.0, 0.1
3, 64x64, 453415, 30.0, 1.0, 0.1
3, 64x64, 455773, 30.0, 1.0, 0.1
3, 64x64, 659255, 30.0, 1.0, 0.1
3, 64x64, 455958, 30.0, 1.0, 0.1
3, 64x64, 773910, 30.0, 1.0, 0.1
3, 64x64, 707939, 30.0, 1.0, 0.1
3, 64x64, 656210, 30.0, 1.0, 0.1
4, 80x80, 738591, 30.0, 1.0, 0.1
4, 80x80, 982470, 30.0, 1.0, 0.1
4, 80x80, 722154, 30.0, 1.0, 0.1
4, 80x80, 1267069, 30.0, 1.0, 0.1
4, 80x80, 702931, 30.0, 1.0, 0.1
4, 80x80, 1420561, 30.0, 1.0, 0.1
4, 80x80, 745991, 30.0, 1.0, 0.1
4, 80x80, 1062967, 30.0, 1.0, 0.1
4, 80x80, 702026, 30.0, 1.0, 0.1
4, 80x80, 712868, 30.0, 1.0, 0.1
5, 96x96, 1213737, 30.0, 1.0, 0.1
5, 96x96, 1146154, 30.0, 1.0, 0.1
5, 96x96, 1109845, 30.0, 1.0, 0.1
5, 96x96, 1516813, 30.0, 1.0, 0.1
5, 96x96, 1447624, 30.0, 1.0, 0.1
5, 96x96, 1761065, 30.0, 1.0, 0.1
5, 96x96, 1210092, 30.0, 1.0, 0.1
5, 96x96, 1469890, 30.0, 1.0, 0.1
5, 96x96, 1210609, 30.0, 1.0, 0.1
5, 96x96, 1431584, 30.0, 1.0, 0.1
6, 112x112, 1921672, 30.0, 1.0, 0.1
6, 112x112, 1382721, 30.0, 1.0, 0.1
6, 112x112, 1271263, 30.0, 1.0, 0.1
6, 112x112, 2515910, 30.0, 1.0, 0.1
6, 112x112, 1545876, 30.0, 1.0, 0.1
6, 112x112, 3281577, 30.0, 1.0, 0.1
6, 112x112, 1361800, 30.0, 1.0, 0.1
6, 112x112, 1460517, 30.0, 1.0, 0.1
6, 112x112, 1929609, 30.0, 1.0, 0.1
6, 112x112, 2686315, 30.0, 1.0, 0.1
7, 128x128, 2200592, 30.0, 1.0, 0.1
7, 128x128, 1822333, 30.0, 1.0, 0.1
7, 128x128, 1661291, 30.0, 1.0, 0.1
7, 128x128, 2695827, 30.0, 1.0, 0.1
7, 128x128, 2228604, 30.0, 1.0, 0.1
7, 128x128, 2358821, 30.0, 1.0, 0.1
7, 128x128, 1770260, 30.0, 1.0, 0.1
7, 128x128, 2234762, 30.0, 1.0, 0.1
7, 128x128, 2949965, 30.0, 1.0, 0.1
7, 128x128, 2146937, 30.0, 1.0, 0.1
8, 144x144, 2753145, 30.0, 1.0, 0.1
8, 144x144, 2456788, 30.0, 1.0, 0.1
8, 144x144, 2436641, 30.0, 1.0, 0.1
8, 144x144, 3414595, 30.0, 1.0, 0.1
8, 144x144, 2244609, 30.0, 1.0, 0.1
8, 144x144, 2170533, 30.0, 1.0, 0.1
8, 144x144, 3398725, 30.0, 1.0, 0.1
8, 144x144, 2516988, 30.0, 1.0, 0.1
8, 144x144, 3038826, 30.0, 1.0, 0.1
8, 144x144, 5404946, 30.0, 1.0, 0.1
9, 160x160, 2697331, 30.0, 1.0, 0.1
9, 160x160, 5444375, 30.0, 1.0, 0.1
9, 160x160, 2901455, 30.0, 1.0, 0.1
9, 160x160, 2750973, 30.0, 1.0, 0.1
9, 160x160, 2835524, 30.0, 1.0, 0.1
9, 160x160, 2948415, 30.0, 1.0, 0.1
9, 160x160, 3459459, 30.0, 1.0, 0.1
9, 160x160, 2812094, 30.0, 1.0, 0.1
9, 160x160, 4164739, 30.0, 1.0, 0.1
9, 160x160, 2805886, 30.0, 1.0, 0.1
10, 176x176, 5198363, 30.0, 1.0, 0.1
10, 176x176, 3324185, 30.0, 1.0, 0.1
10, 176x176, 3391578, 30.0, 1.0, 0.1
10, 176x176, 5478133, 30.0, 1.0, 0.1
10, 176x176, 3638691, 30.0, 1.0, 0.1
10, 176x176, 3271547, 30.0, 1.0, 0.1
10, 176x176, 4384776, 30.0, 1.0, 0.1
10, 176x176, 4456419, 30.0, 1.0, 0.1
10, 176x176, 3746844, 30.0, 1.0, 0.1
10, 176x176, 3326049, 30.0, 1.0, 0.1
11, 192x192, 3706088, 30.0, 1.0, 0.1
11, 192x192, 3837431, 30.0, 1.0, 0.1
11, 192x192, 5227372, 30.0, 1.0, 0.1
11, 192x192, 4058161, 30.0, 1.0, 0.1
11, 192x192, 6252285, 30.0, 1.0, 0.1
11, 192x192, 5429500, 30.0, 1.0, 0.1
11, 192x192, 5052432, 30.0, 1.0, 0.1
11, 192x192, 12576154, 30.0, 1.0, 0.1
11, 192x192, 5322475, 30.0, 1.0, 0.1
11, 192x192, 3974370, 30.0, 1.0, 0.1
12, 208x208, 6033814, 30.0, 1.0, 0.1
12, 208x208, 4898244, 30.0, 1.0, 0.1
12, 208x208, 4408901, 30.0, 1.0, 0.1
12, 208x208, 5141757, 30.0, 1.0, 0.1
12, 208x208, 6030568, 30.0, 1.0, 0.1
12, 208x208, 8060590, 30.0, 1.0, 0.1
12, 208x208, 4762572, 30.0, 1.0, 0.1
12, 208x208, 7076444, 30.0, 1.0, 0.1
12, 208x208, 7132945, 30.0, 1.0, 0.1
12, 208x208, 6013203, 30.0, 1.0, 0.1
13, 224x224, 6892029, 30.0, 1.0, 0.1
13, 224x224, 5553015, 30.0, 1.0, 0.1
13, 224x224, 5659423, 30.0, 1.0, 0.1
13, 224x224, 5356934, 30.0, 1.0, 0.1
13, 224x224, 6864232, 30.0, 1.0, 0.1
13, 224x224, 5448615, 30.0, 1.0, 0.1
13, 224x224, 6550741, 30.0, 1.0, 0.1
13, 224x224, 5187897, 30.0, 1.0, 0.1
13, 224x224, 8433956, 30.0, 1.0, 0.1
13, 224x224, 5831142, 30.0, 1.0, 0.1
14, 240x240, 12303352, 30.0, 1.0, 0.1
14, 240x240, 9142853, 30.0, 1.0, 0.1
14, 240x240, 9426403, 30.0, 1.0, 0.1
14, 240x240, 8183866, 30.0, 1.0, 0.1
14, 240x240, 5998373, 30.0, 1.0, 0.1
14, 240x240, 8365490, 30.0, 1.0, 0.1
14, 240x240, 7781385, 30.0, 1.0, 0.1
14, 240x240, 6660292, 30.0, 1.0, 0.1
14, 240x240, 7184472, 30.0, 1.0, 0.1
14, 240x240, 6782585, 30.0, 1.0, 0.1
15, 256x256, 7297818, 30.0, 1.0, 0.1
15, 256x256, 8961692, 30.0, 1.0, 0.1
15, 256x256, 8151197, 30.0, 1.0, 0.1
15, 256x256, 8428284, 30.0, 1.0, 0.1
15, 256x256, 11945710, 30.0, 1.0, 0.1
15, 256x256, 7080142, 30.0, 1.0, 0.1
15, 256x256, 10507050, 30.0, 1.0, 0.1
15, 256x256, 8236026, 30.0, 1.0, 0.1
15, 256x256, 7444022, 30.0, 1.0, 0.1
15, 256x256, 8137836, 30.0, 1.0, 0.1
16, 272x272, 12074965, 30.0, 1.0, 0.1
16, 272x272, 9302938, 30.0, 1.0, 0.1
16, 272x272, 7983237, 30.0, 1.0, 0.1
16, 272x272, 10995020, 30.0, 1.0, 0.1
16, 272x272, 9781776, 30.0, 1.0, 0.1
16, 272x272, 8416970, 30.0, 1.0, 0.1
16, 272x272, 8142236, 30.0, 1.0, 0.1
16, 272x272, 9337568, 30.0, 1.0, 0.1
16, 272x272, 10328975, 30.0, 1.0, 0.1
16, 272x272, 9017076, 30.0, 1.0, 0.1
17, 288x288, 11993961, 30.0, 1.0, 0.1
17, 288x288, 10590731, 30.0, 1.0, 0.1
17, 288x288, 12513346, 30.0, 1.0, 0.1
17, 288x288, 15341855, 30.0, 1.0, 0.1
17, 288x288, 8842514, 30.0, 1.0, 0.1
17, 288x288, 13380856, 30.0, 1.0, 0.1
17, 288x288, 9140705, 30.0, 1.0, 0.1
17, 288x288, 9113551, 30.0, 1.0, 0.1
17, 288x288, 12101726, 30.0, 1.0, 0.1
17, 288x288, 11853682, 30.0, 1.0, 0.1
18, 304x304, 16153068, 30.0, 1.0, 0.1
18, 304x304, 12777357, 30.0, 1.0, 0.1
18, 304x304, 14182136, 30.0, 1.0, 0.1
18, 304x304, 10392500, 30.0, 1.0, 0.1
18, 304x304, 10803408, 30.0, 1.0, 0.1
18, 304x304, 10895276, 30.0, 1.0, 0.1
18, 304x304, 16572277, 30.0, 1.0, 0.1
18, 304x304, 13363348, 30.0, 1.0, 0.1
18, 304x304, 13674855, 30.0, 1.0, 0.1
18, 304x304, 9948693, 30.0, 1.0, 0.1
19, 320x320, 10594307, 30.0, 1.0, 0.1
19, 320x320, 13579649, 30.0, 1.0, 0.1
19, 320x320, 14493779, 30.0, 1.0, 0.1
19, 320x320, 13779688, 30.0, 1.0, 0.1
19, 320x320, 15250878, 30.0, 1.0, 0.1
19, 320x320, 13344550, 30.0, 1.0, 0.1
19, 320x320, 11409090, 30.0, 1.0, 0.1
19, 320x320, 13032980, 30.0, 1.0, 0.1
19, 320x320, 13725378, 30.0, 1.0, 0.1
19, 320x320, 13265234, 30.0, 1.0, 0.1
