N, WxH, Clock, Param0, Param1, Param2
0, 16x16, 28531, 30.0, 1.0, 0.1
0, 16x16, 30233, 30.0, 1.0, 0.1
0, 16x16, 42621, 30.0, 1.0, 0.1
0, 16x16, 36167, 30.0, 1.0, 0.1
0, 16x16, 48090, 30.0, 1.0, 0.1
0, 16x16, 57906, 30.0, 1.0, 0.1
0, 16x16, 51658, 30.0, 1.0, 0.1
0, 16x16, 61921, 30.0, 1.0, 0.1
0, 16x16, 42015, 30.0, 1.0, 0.1
0, 16x16, 30533, 30.0, 1.0, 0.1
1, 32x32, 107884, 30.0, 1.0, 0.1
1, 32x32, 175522, 30.0, 1.0, 0.1
1, 32x32, 114818, 30.0, 1.0, 0.1
1, 32x32, 168952, 30.0, 1.0, 0.1
1, 32x32, 114849, 30.0, 1.0, 0.1
1, 32x32, 107339, 30.0, 1.0, 0.1
1, 32x32, 160070, 30.0, 1.0, 0.1
1, 32x32, 107557, 30.0, 1.0, 0.1
1, 32x32, 171924, 30.0, 1.0, 0.1
1, 32x32, 280114, 30.0, 1.0, 0.1
2, 48x48, 255348, 30.0, 1.0, 0.1
2, 48x48, 455108, 30.0, 1.0, 0.1
2, 48x48, 255791, 30.0, 1.0, 0.1
2, 48x48, 364376, 30.0, 1.0, 0.1
2, 48x48, 321400, 30.0, 1.0, 0.1
2, 48x48, 324424, 30.0, 1.0, 0.1
2, 48x48, 255655, 30.0, 1.0, 0.1
2, 48x48, 255348, 30.0, 1.0, 0.1
2, 48x48, 493240, 30.0, 1.0, 0.1
2, 48x48, 293896, 30.0, 1.0, 0.1
3, 64x64, 453212, 30.0, 1.0, 0.1
3, 64x64, 453540, 30.0, 1.0, 0.1
3, 64x64, 452640, 30.0, 1.0, 0.1
3, 64x64, 690412, 30.0, 1.0, 0.1
3, 64x64, 569825, 30.0, 1.0, 0.1
3, 64x64, 874336, 30.0, 1.0, 0.1
3, 64x64, 820225, 30.0, 1.0, 0.1
3, 64x64, 423715, 30.0, 1.0, 0.1
3, 64x64, 423491, 30.0, 1.0, 0.1
3, 64x64, 656310, 30.0, 1.0, 0.1
4, 80x80, 779199, 30.0, 1.0, 0.1
4, 80x80, 1016383, 30.0, 1.0, 0.1
