N, WxH, Clock, Param0, Param1, Param2
0, 16x16, 28391, 30.0, 1.0, 0.1
0, 16x16, 33770, 30.0, 1.0, 0.1
0, 16x16, 27991, 30.0, 1.0, 0.1
0, 16x16, 67759, 30.0, 1.0, 0.1
0, 16x16, 34084, 30.0, 1.0, 0.1
0, 16x16, 28288, 30.0, 1.0, 0.1
0, 16x16, 28624, 30.0, 1.0, 0.1
0, 16x16, 28030, 30.0, 1.0, 0.1
0, 16x16, 26558, 30.0, 1.0, 0.1
0, 16x16, 28424, 30.0, 1.0, 0.1
1, 32x32, 108145, 30.0, 1.0, 0.1
1, 32x32, 108206, 30.0, 1.0, 0.1
1, 32x32, 108176, 30.0, 1.0, 0.1
1, 32x32, 183841, 30.0, 1.0, 0.1
1, 32x32, 130996, 30.0, 1.0, 0.1
1, 32x32, 108397, 30.0, 1.0, 0.1
1, 32x32, 136524, 30.0, 1.0, 0.1
1, 32x32, 142592, 30.0, 1.0, 0.1
1, 32x32, 109873, 30.0, 1.0, 0.1
1, 32x32, 173625, 30.0, 1.0, 0.1
2, 48x48, 241033, 30.0, 1.0, 0.1
2, 48x48, 329328, 30.0, 1.0, 0.1
2, 48x48, 225963, 30.0, 1.0, 0.1
2, 48x48, 303488, 30.0, 1.0, 0.1
2, 48x48, 240621, 30.0, 1.0, 0.1
2, 48x48, 225873, 30.0, 1.0, 0.1
2, 48x48, 241182, 30.0, 1.0, 0.1
2, 48x48, 410555, 30.0, 1.0, 0.1
2, 48x48, 331528, 30.0, 1.0, 0.1
2, 48x48, 581542, 30.0, 1.0, 0.1
3, 64x64, 427330, 30.0, 1.0, 0.1
3, 64x64, 516292, 30.0, 1.0, 0.1
3, 64x64, 398981, 30.0, 1.0, 0.1
3, 64x64, 687730, 30.0, 1.0, 0.1
3, 64x64, 426843, 30.0, 1.0, 0.1
3, 64x64, 1079208, 30.0, 1.0, 0.1
3, 64x64, 1239825, 30.0, 1.0, 0.1
3, 64x64, 687895, 30.0, 1.0, 0.1
3, 64x64, 893115, 30.0, 1.0, 0.1
3, 64x64, 427000, 30.0, 1.0, 0.1
4, 80x80, 755818, 30.0, 1.0, 0.1
4, 80x80, 703927, 30.0, 1.0, 0.1
4, 80x80, 823258, 30.0, 1.0, 0.1
4, 80x80, 707367, 30.0, 1.0, 0.1
4, 80x80, 668673, 30.0, 1.0, 0.1
4, 80x80, 666088, 30.0, 1.0, 0.1
4, 80x80, 1240620, 30.0, 1.0, 0.1
4, 80x80, 1210061, 30.0, 1.0, 0.1
4, 80x80, 804671, 30.0, 1.0, 0.1
4, 80x80, 1710250, 30.0, 1.0, 0.1
5, 96x96, 1735975, 30.0, 1.0, 0.1
5, 96x96, 1056421, 30.0, 1.0, 0.1
5, 96x96, 1100351, 30.0, 1.0, 0.1
5, 96x96, 957988, 30.0, 1.0, 0.1
5, 96x96, 1322424, 30.0, 1.0, 0.1
5, 96x96, 1003396, 30.0, 1.0, 0.1
5, 96x96, 956138, 30.0, 1.0, 0.1
5, 96x96, 2149235, 30.0, 1.0, 0.1
5, 96x96, 1289025, 30.0, 1.0, 0.1
5, 96x96, 962706, 30.0, 1.0, 0.1
6, 112x112, 1845098, 30.0, 1.0, 0.1
6, 112x112, 1305361, 30.0, 1.0, 0.1
6, 112x112, 1902855, 30.0, 1.0, 0.1
6, 112x112, 6134920, 30.0, 1.0, 0.1
6, 112x112, 1717680, 30.0, 1.0, 0.1
6, 112x112, 1307506, 30.0, 1.0, 0.1
6, 112x112, 1574221, 30.0, 1.0, 0.1
6, 112x112, 1430312, 30.0, 1.0, 0.1
6, 112x112, 2379300, 30.0, 1.0, 0.1
6, 112x112, 1890535, 30.0, 1.0, 0.1
7, 128x128, 3317081, 30.0, 1.0, 0.1
7, 128x128, 1713700, 30.0, 1.0, 0.1
7, 128x128, 1742676, 30.0, 1.0, 0.1
7, 128x128, 1702082, 30.0, 1.0, 0.1
7, 128x128, 1719457, 30.0, 1.0, 0.1
7, 128x128, 2739805, 30.0, 1.0, 0.1
7, 128x128, 2980060, 30.0, 1.0, 0.1
7, 128x128, 1845319, 30.0, 1.0, 0.1
7, 128x128, 2506684, 30.0, 1.0, 0.1
7, 128x128, 1738688, 30.0, 1.0, 0.1
8, 144x144, 4296942, 30.0, 1.0, 0.1
8, 144x144, 2266672, 30.0, 1.0, 0.1
8, 144x144, 3745431, 30.0, 1.0, 0.1
8, 144x144, 4305180, 30.0, 1.0, 0.1
8, 144x144, 2538806, 30.0, 1.0, 0.1
8, 144x144, 2154506, 30.0, 1.0, 0.1
8, 144x144, 2723550, 30.0, 1.0, 0.1
8, 144x144, 3184176, 30.0, 1.0, 0.1
8, 144x144, 3131905, 30.0, 1.0, 0.1
8, 144x144, 2081668, 30.0, 1.0, 0.1
9, 160x160, 4116720, 30.0, 1.0, 0.1
9, 160x160, 2764860, 30.0, 1.0, 0.1
9, 160x160, 8314385, 30.0, 1.0, 0.1
9, 160x160, 2725818, 30.0, 1.0, 0.1
9, 160x160, 4026020, 30.0, 1.0, 0.1
9, 160x160, 4411070, 30.0, 1.0, 0.1
9, 160x160, 2666650, 30.0, 1.0, 0.1
9, 160x160, 2657536, 30.0, 1.0, 0.1
9, 160x160, 4158882, 30.0, 1.0, 0.1
9, 160x160, 3229117, 30.0, 1.0, 0.1
10, 176x176, 4359522, 30.0, 1.0, 0.1
10, 176x176, 3145667, 30.0, 1.0, 0.1
10, 176x176, 3287069, 30.0, 1.0, 0.1
10, 176x176, 6026643, 30.0, 1.0, 0.1
10, 176x176, 4556530, 30.0, 1.0, 0.1
10, 176x176, 4632729, 30.0, 1.0, 0.1
10, 176x176, 3255397, 30.0, 1.0, 0.1
10, 176x176, 4045349, 30.0, 1.0, 0.1
10, 176x176, 6680382, 30.0, 1.0, 0.1
10, 176x176, 6243402, 30.0, 1.0, 0.1
11, 192x192, 4068295, 30.0, 1.0, 0.1
11, 192x192, 3947121, 30.0, 1.0, 0.1
11, 192x192, 5077858, 30.0, 1.0, 0.1
11, 192x192, 5480446, 30.0, 1.0, 0.1
11, 192x192, 4073291, 30.0, 1.0, 0.1
11, 192x192, 5995060, 30.0, 1.0, 0.1
11, 192x192, 3634079, 30.0, 1.0, 0.1
11, 192x192, 4029918, 30.0, 1.0, 0.1
11, 192x192, 3731539, 30.0, 1.0, 0.1
11, 192x192, 5423718, 30.0, 1.0, 0.1
12, 208x208, 5471975, 30.0, 1.0, 0.1
12, 208x208, 4532725, 30.0, 1.0, 0.1
12, 208x208, 5938350, 30.0, 1.0, 0.1
12, 208x208, 5909172, 30.0, 1.0, 0.1
12, 208x208, 4392884, 30.0, 1.0, 0.1
12, 208x208, 4739051, 30.0, 1.0, 0.1
12, 208x208, 4223300, 30.0, 1.0, 0.1
12, 208x208, 5581433, 30.0, 1.0, 0.1
12, 208x208, 6534820, 30.0, 1.0, 0.1
12, 208x208, 5090893, 30.0, 1.0, 0.1
13, 224x224, 4882567, 30.0, 1.0, 0.1
13, 224x224, 5584009, 30.0, 1.0, 0.1
13, 224x224, 7684360, 30.0, 1.0, 0.1
13, 224x224, 6940196, 30.0, 1.0, 0.1
13, 224x224, 6663575, 30.0, 1.0, 0.1
13, 224x224, 7228681, 30.0, 1.0, 0.1
13, 224x224, 5059554, 30.0, 1.0, 0.1
13, 224x224, 8560415, 30.0, 1.0, 0.1
13, 224x224, 6664874, 30.0, 1.0, 0.1
13, 224x224, 5229253, 30.0, 1.0, 0.1
14, 240x240, 6166866, 30.0, 1.0, 0.1
14, 240x240, 7029597, 30.0, 1.0, 0.1
