N, WxH, Clock, Param0, Param1, Param2
0, 16x16, 28025, 30.0, 1.0, 0.1
0, 16x16, 66958, 30.0, 1.0, 0.1
0, 16x16, 42410, 30.0, 1.0, 0.1
0, 16x16, 27933, 30.0, 1.0, 0.1
0, 16x16, 28236, 30.0, 1.0, 0.1
0, 16x16, 27876, 30.0, 1.0, 0.1
0, 16x16, 26361, 30.0, 1.0, 0.1
0, 16x16, 27988, 30.0, 1.0, 0.1
0, 16x16, 44525, 30.0, 1.0, 0.1
0, 16x16, 53436, 30.0, 1.0, 0.1
1, 32x32, 107521, 30.0, 1.0, 0.1
1, 32x32, 109537, 30.0, 1.0, 0.1
1, 32x32, 107876, 30.0, 1.0, 0.1
1, 32x32, 108006, 30.0, 1.0, 0.1
1, 32x32, 107918, 30.0, 1.0, 0.1
1, 32x32, 108275, 30.0, 1.0, 0.1
1, 32x32, 100912, 30.0, 1.0, 0.1
1, 32x32, 185879, 30.0, 1.0, 0.1
1, 32x32, 135608, 30.0, 1.0, 0.1
1, 32x32, 261235, 30.0, 1.0, 0.1
2, 48x48, 332152, 30.0, 1.0, 0.1
2, 48x48, 332600, 30.0, 1.0, 0.1
2, 48x48, 225036, 30.0, 1.0, 0.1
2, 48x48, 303791, 30.0, 1.0, 0.1
2, 48x48, 335524, 30.0, 1.0, 0.1
2, 48x48, 317412, 30.0, 1.0, 0.1
2, 48x48, 317576, 30.0, 1.0, 0.1
2, 48x48, 241188, 30.0, 1.0, 0.1
2, 48x48, 501357, 30.0, 1.0, 0.1
2, 48x48, 240840, 30.0, 1.0, 0.1
3, 64x64, 1265364, 30.0, 1.0, 0.1
3, 64x64, 1032108, 30.0, 1.0, 0.1
3, 64x64, 754946, 30.0, 1.0, 0.1
3, 64x64, 399755, 30.0, 1.0, 0.1
3, 64x64, 428030, 30.0, 1.0, 0.1
3, 64x64, 534218, 30.0, 1.0, 0.1
3, 64x64, 590404, 30.0, 1.0, 0.1
3, 64x64, 758562, 30.0, 1.0, 0.1
3, 64x64, 427382, 30.0, 1.0, 0.1
3, 64x64, 428003, 30.0, 1.0, 0.1
4, 80x80, 624067, 30.0, 1.0, 0.1
4, 80x80, 624397, 30.0, 1.0, 0.1
4, 80x80, 725021, 30.0, 1.0, 0.1
4, 80x80, 624212, 30.0, 1.0, 0.1
4, 80x80, 804964, 30.0, 1.0, 0.1
4, 80x80, 693567, 30.0, 1.0, 0.1
4, 80x80, 667088, 30.0, 1.0, 0.1
4, 80x80, 667248, 30.0, 1.0, 0.1
4, 80x80, 1432914, 30.0, 1.0, 0.1
4, 80x80, 667782, 30.0, 1.0, 0.1
