N, WxH, Clock, Param0, Param1, Param2
0, 16x16, 10294, 0.5, 0, 0
1, 32x32, 41467, 0.5, 0, 0
2, 48x48, 89479, 0.5, 0, 0
3, 64x64, 158064, 0.5, 0, 0
4, 80x80, 247249, 0.5, 0, 0
5, 96x96, 430096, 0.5, 0, 0
6, 112x112, 484888, 0.5, 0, 0
7, 128x128, 594082, 0.5, 0, 0
8, 144x144, 1493194, 0.5, 0, 0
9, 160x160, 991815, 0.5, 0, 0
10, 176x176, 1259342, 0.5, 0, 0
11, 192x192, 1947626, 0.5, 0, 0
12, 208x208, 1571531, 0.5, 0, 0
13, 224x224, 3892864, 0.5, 0, 0
14, 240x240, 2392899, 0.5, 0, 0
15, 256x256, 2664931, 0.5, 0, 0
16, 272x272, 4034875, 0.5, 0, 0
17, 288x288, 3220761, 0.5, 0, 0
18, 304x304, 3358085, 0.5, 0, 0
19, 320x320, 4555411, 0.5, 0, 0
