N, WxH, Clock, Param0, Param1, Param2
0, 16x16, 9924, 0.5, 0, 0
1, 32x32, 39458, 0.5, 0, 0
2, 48x48, 88800, 0.5, 0, 0
3, 64x64, 160694, 0.5, 0, 0
4, 80x80, 250112, 0.5, 0, 0
5, 96x96, 491852, 0.5, 0, 0
6, 112x112, 485109, 0.5, 0, 0
7, 128x128, 649061, 0.5, 0, 0
8, 144x144, 751449, 0.5, 0, 0
9, 160x160, 952866, 0.5, 0, 0
10, 176x176, 1206809, 0.5, 0, 0
11, 192x192, 1761640, 0.5, 0, 0
12, 208x208, 1676860, 0.5, 0, 0
13, 224x224, 7274512, 0.5, 0, 0
14, 240x240, 2474151, 0.5, 0, 0
15, 256x256, 2775724, 0.5, 0, 0
16, 272x272, 2867548, 0.5, 0, 0
17, 288x288, 3222457, 0.5, 0, 0
18, 304x304, 3700136, 0.5, 0, 0
19, 320x320, 4117400, 0.5, 0, 0
