N, WxH, Clock, Param0, Param1, Param2
0, 16x16, 9876, 0.5, 0, 0
1, 32x32, 39257, 0.5, 0, 0
2, 48x48, 107058, 0.5, 0, 0
3, 64x64, 240865, 0.5, 0, 0
4, 80x80, 341168, 0.5, 0, 0
5, 96x96, 357633, 0.5, 0, 0
6, 112x112, 783730, 0.5, 0, 0
7, 128x128, 1288391, 0.5, 0, 0
8, 144x144, 945365, 0.5, 0, 0
9, 160x160, 1252184, 0.5, 0, 0
10, 176x176, 1257752, 0.5, 0, 0
11, 192x192, 1450837, 0.5, 0, 0
12, 208x208, 1699160, 0.5, 0, 0
13, 224x224, 1939760, 0.5, 0, 0
14, 240x240, 3621470, 0.5, 0, 0
15, 256x256, 3655244, 0.5, 0, 0
16, 272x272, 2879122, 0.5, 0, 0
17, 288x288, 3102482, 0.5, 0, 0
18, 304x304, 3736790, 0.5, 0, 0
19, 320x320, 4733163, 0.5, 0, 0
