N, WxH, Clock, Param0, Param1, Param2
0, 16x16, 13400, 0.5, 0, 0
1, 32x32, 47958, 0.5, 0, 0
2, 48x48, 116746, 0.5, 0, 0
3, 64x64, 325715, 0.5, 0, 0
4, 80x80, 253651, 0.5, 0, 0
5, 96x96, 440400, 0.5, 0, 0
6, 112x112, 827020, 0.5, 0, 0
7, 128x128, 635370, 0.5, 0, 0
8, 144x144, 804670, 0.5, 0, 0
9, 160x160, 927882, 0.5, 0, 0
10, 176x176, 1715800, 0.5, 0, 0
11, 192x192, 2236898, 0.5, 0, 0
12, 208x208, 2584076, 0.5, 0, 0
13, 224x224, 2353996, 0.5, 0, 0
14, 240x240, 3289367, 0.5, 0, 0
15, 256x256, 2631555, 0.5, 0, 0
16, 272x272, 2878700, 0.5, 0, 0
17, 288x288, 4273053, 0.5, 0, 0
18, 304x304, 3522281, 0.5, 0, 0
19, 320x320, 4008591, 0.5, 0, 0
