N, WxH, Clock, Param0, Param1, Param2
1, 160x160, 3880536, 0.1, 0.2, 3, c
2, 160x160, 2853728, 0.1, 0.2, 3, c
3, 160x160, 4275993, 0.1, 0.2, 3, c
4, 160x160, 4034805, 0.1, 0.2, 3, c
5, 160x160, 3700975, 0.1, 0.2, 3, c
6, 160x160, 3011933, 0.1, 0.2, 3, c
7, 160x160, 2853746, 0.1, 0.2, 3, c
8, 160x160, 3777568, 0.1, 0.2, 3, c
9, 160x160, 3689971, 0.1, 0.2, 3, c
10, 160x160, 4260236, 0.1, 0.2, 3, c
11, 160x160, 3724579, 0.1, 0.2, 3, c
12, 160x160, 4298256, 0.1, 0.2, 3, c
13, 160x160, 2850567, 0.1, 0.2, 3, c
14, 160x160, 3702792, 0.1, 0.2, 3, c
15, 160x160, 2933828, 0.1, 0.2, 3, c
16, 160x160, 4055299, 0.1, 0.2, 3, c
17, 160x160, 3718029, 0.1, 0.2, 3, c
18, 160x160, 2919109, 0.1, 0.2, 3, c
19, 160x160, 3709104, 0.1, 0.2, 3, c
20, 160x160, 2924294, 0.1, 0.2, 3, c
21, 160x160, 3689758, 0.1, 0.2, 3, c
22, 160x160, 4423735, 0.1, 0.2, 3, c
23, 160x160, 4450690, 0.1, 0.2, 3, c
24, 160x160, 3720766, 0.1, 0.2, 3, c
25, 160x160, 2937870, 0.1, 0.2, 3, c
26, 160x160, 3687105, 0.1, 0.2, 3, c
27, 160x160, 5515262, 0.1, 0.2, 3, c
28, 160x160, 2965718, 0.1, 0.2, 3, c
29, 160x160, 3702458, 0.1, 0.2, 3, c
30, 160x160, 2921933, 0.1, 0.2, 3, c
31, 160x160, 4765275, 0.1, 0.2, 3, c
32, 160x160, 2852919, 0.1, 0.2, 3, c
33, 160x160, 3789474, 0.1, 0.2, 3, c
34, 160x160, 4402790, 0.1, 0.2, 3, c
35, 160x160, 3680287, 0.1, 0.2, 3, c
36, 160x160, 4075833, 0.1, 0.2, 3, c
37, 160x160, 3855815, 0.1, 0.2, 3, c
38, 160x160, 3212645, 0.1, 0.2, 3, c
39, 160x160, 2990540, 0.1, 0.2, 3, c
40, 160x160, 2880955, 0.1, 0.2, 3, c
41, 160x160, 3719371, 0.1, 0.2, 3, c
42, 160x160, 2931147, 0.1, 0.2, 3, c
43, 160x160, 2921644, 0.1, 0.2, 3, c
44, 160x160, 4211100, 0.1, 0.2, 3, c
45, 160x160, 4083028, 0.1, 0.2, 3, c
46, 160x160, 2941154, 0.1, 0.2, 3, c
47, 160x160, 3704571, 0.1, 0.2, 3, c
48, 160x160, 4654525, 0.1, 0.2, 3, c
49, 160x160, 3071103, 0.1, 0.2, 3, c
50, 160x160, 5309130, 0.1, 0.2, 3, c
51, 160x160, 3066306, 0.1, 0.2, 3, c
52, 160x160, 4402756, 0.1, 0.2, 3, c
53, 160x160, 3612061, 0.1, 0.2, 3, c
54, 160x160, 3717233, 0.1, 0.2, 3, c
55, 160x160, 2853066, 0.1, 0.2, 3, c
56, 160x160, 6476725, 0.1, 0.2, 3, c
57, 160x160, 4856038, 0.1, 0.2, 3, c
58, 160x160, 3685938, 0.1, 0.2, 3, c
59, 160x160, 3741834, 0.1, 0.2, 3, c
60, 160x160, 3847032, 0.1, 0.2, 3, c
61, 160x160, 3051121, 0.1, 0.2, 3, c
62, 160x160, 4210404, 0.1, 0.2, 3, c
63, 160x160, 2940697, 0.1, 0.2, 3, c
64, 160x160, 3704991, 0.1, 0.2, 3, c
65, 160x160, 3907238, 0.1, 0.2, 3, c
66, 160x160, 3703433, 0.1, 0.2, 3, c
67, 160x160, 3709000, 0.1, 0.2, 3, c
68, 160x160, 2941662, 0.1, 0.2, 3, c
69, 160x160, 3832856, 0.1, 0.2, 3, c
70, 160x160, 3716871, 0.1, 0.2, 3, c
71, 160x160, 3755404, 0.1, 0.2, 3, c
72, 160x160, 3053685, 0.1, 0.2, 3, c
73, 160x160, 3737346, 0.1, 0.2, 3, c
74, 160x160, 3699383, 0.1, 0.2, 3, c
75, 160x160, 3689817, 0.1, 0.2, 3, c
