N, WxH, Clock, Param0, Param1, Param2
1, 160x160, 4111623, 0.1, 0.2, 3, asm1
2, 160x160, 4276260, 0.1, 0.2, 3, asm1
3, 160x160, 4348200, 0.1, 0.2, 3, asm1
4, 160x160, 4128577, 0.1, 0.2, 3, asm1
5, 160x160, 4104311, 0.1, 0.2, 3, asm1
6, 160x160, 4028100, 0.1, 0.2, 3, asm1
7, 160x160, 4169634, 0.1, 0.2, 3, asm1
8, 160x160, 4304082, 0.1, 0.2, 3, asm1
9, 160x160, 4162459, 0.1, 0.2, 3, asm1
10, 160x160, 5689522, 0.1, 0.2, 3, asm1
11, 160x160, 4350648, 0.1, 0.2, 3, asm1
12, 160x160, 5709654, 0.1, 0.2, 3, asm1
13, 160x160, 4106276, 0.1, 0.2, 3, asm1
14, 160x160, 4025997, 0.1, 0.2, 3, asm1
15, 160x160, 4186695, 0.1, 0.2, 3, asm1
16, 160x160, 6933925, 0.1, 0.2, 3, asm1
17, 160x160, 4103803, 0.1, 0.2, 3, asm1
18, 160x160, 4093112, 0.1, 0.2, 3, asm1
19, 160x160, 8377770, 0.1, 0.2, 3, asm1
20, 160x160, 4250792, 0.1, 0.2, 3, asm1
21, 160x160, 4026200, 0.1, 0.2, 3, asm1
22, 160x160, 5296375, 0.1, 0.2, 3, asm1
23, 160x160, 5201100, 0.1, 0.2, 3, asm1
24, 160x160, 6330810, 0.1, 0.2, 3, asm1
25, 160x160, 4151990, 0.1, 0.2, 3, asm1
26, 160x160, 4153848, 0.1, 0.2, 3, asm1
27, 160x160, 7797943, 0.1, 0.2, 3, asm1
28, 160x160, 6244690, 0.1, 0.2, 3, asm1
29, 160x160, 4668972, 0.1, 0.2, 3, asm1
30, 160x160, 4566361, 0.1, 0.2, 3, asm1
31, 160x160, 5190052, 0.1, 0.2, 3, asm1
32, 160x160, 5944588, 0.1, 0.2, 3, asm1
33, 160x160, 6002460, 0.1, 0.2, 3, asm1
34, 160x160, 6244740, 0.1, 0.2, 3, asm1
35, 160x160, 7421005, 0.1, 0.2, 3, asm1
36, 160x160, 4385027, 0.1, 0.2, 3, asm1
37, 160x160, 4358482, 0.1, 0.2, 3, asm1
38, 160x160, 4244081, 0.1, 0.2, 3, asm1
39, 160x160, 5280858, 0.1, 0.2, 3, asm1
40, 160x160, 4304361, 0.1, 0.2, 3, asm1
41, 160x160, 7927575, 0.1, 0.2, 3, asm1
42, 160x160, 4109973, 0.1, 0.2, 3, asm1
43, 160x160, 5205175, 0.1, 0.2, 3, asm1
44, 160x160, 6933155, 0.1, 0.2, 3, asm1
45, 160x160, 7340320, 0.1, 0.2, 3, asm1
46, 160x160, 6238430, 0.1, 0.2, 3, asm1
47, 160x160, 5503688, 0.1, 0.2, 3, asm1
48, 160x160, 4095642, 0.1, 0.2, 3, asm1
49, 160x160, 4089915, 0.1, 0.2, 3, asm1
50, 160x160, 4225983, 0.1, 0.2, 3, asm1
51, 160x160, 8917414, 0.1, 0.2, 3, asm1
52, 160x160, 4105685, 0.1, 0.2, 3, asm1
53, 160x160, 5485396, 0.1, 0.2, 3, asm1
54, 160x160, 6997290, 0.1, 0.2, 3, asm1
55, 160x160, 5449456, 0.1, 0.2, 3, asm1
56, 160x160, 6637380, 0.1, 0.2, 3, asm1
57, 160x160, 4307324, 0.1, 0.2, 3, asm1
58, 160x160, 6079866, 0.1, 0.2, 3, asm1
59, 160x160, 5300092, 0.1, 0.2, 3, asm1
60, 160x160, 4121894, 0.1, 0.2, 3, asm1
61, 160x160, 5199259, 0.1, 0.2, 3, asm1
62, 160x160, 6572230, 0.1, 0.2, 3, asm1
63, 160x160, 7485907, 0.1, 0.2, 3, asm1
64, 160x160, 7027280, 0.1, 0.2, 3, asm1
65, 160x160, 5200921, 0.1, 0.2, 3, asm1
66, 160x160, 5220254, 0.1, 0.2, 3, asm1
67, 160x160, 4133793, 0.1, 0.2, 3, asm1
68, 160x160, 5737337, 0.1, 0.2, 3, asm1
69, 160x160, 5225875, 0.1, 0.2, 3, asm1
70, 160x160, 4102588, 0.1, 0.2, 3, asm1
71, 160x160, 6324390, 0.1, 0.2, 3, asm1
72, 160x160, 4092493, 0.1, 0.2, 3, asm1
73, 160x160, 5223246, 0.1, 0.2, 3, asm1
74, 160x160, 7006891, 0.1, 0.2, 3, asm1
75, 160x160, 5460104, 0.1, 0.2, 3, asm1
76, 160x160, 7683712, 0.1, 0.2, 3, asm1
77, 160x160, 4113523, 0.1, 0.2, 3, asm1
78, 160x160, 5945396, 0.1, 0.2, 3, asm1
79, 160x160, 8447783, 0.1, 0.2, 3, asm1
80, 160x160, 5262317, 0.1, 0.2, 3, asm1
81, 160x160, 4225714, 0.1, 0.2, 3, asm1
82, 160x160, 6998875, 0.1, 0.2, 3, asm1
83, 160x160, 4021451, 0.1, 0.2, 3, asm1
84, 160x160, 7045160, 0.1, 0.2, 3, asm1
85, 160x160, 6011780, 0.1, 0.2, 3, asm1
86, 160x160, 5245442, 0.1, 0.2, 3, asm1
87, 160x160, 5199987, 0.1, 0.2, 3, asm1
88, 160x160, 5204384, 0.1, 0.2, 3, asm1
89, 160x160, 4026085, 0.1, 0.2, 3, asm1
90, 160x160, 4025785, 0.1, 0.2, 3, asm1
91, 160x160, 5217375, 0.1, 0.2, 3, asm1
92, 160x160, 4025697, 0.1, 0.2, 3, asm1
93, 160x160, 4091455, 0.1, 0.2, 3, asm1
94, 160x160, 4130099, 0.1, 0.2, 3, asm1
95, 160x160, 4327321, 0.1, 0.2, 3, asm1
96, 160x160, 4109321, 0.1, 0.2, 3, asm1
97, 160x160, 4330945, 0.1, 0.2, 3, asm1
98, 160x160, 4176011, 0.1, 0.2, 3, asm1
99, 160x160, 5252604, 0.1, 0.2, 3, asm1
100, 160x160, 8360476, 0.1, 0.2, 3, asm1
1, 164x160, 5305284, 0.1, 0.2, 3, asm1
2, 164x160, 6631999, 0.1, 0.2, 3, asm1
3, 164x160, 5186846, 0.1, 0.2, 3, asm1
4, 164x160, 4152055, 0.1, 0.2, 3, asm1
5, 164x160, 5298098, 0.1, 0.2, 3, asm1
6, 164x160, 5219754, 0.1, 0.2, 3, asm1
7, 164x160, 3965800, 0.1, 0.2, 3, asm1
8, 164x160, 3965964, 0.1, 0.2, 3, asm1
9, 164x160, 4242146, 0.1, 0.2, 3, asm1
10, 164x160, 5342636, 0.1, 0.2, 3, asm1
11, 164x160, 4237700, 0.1, 0.2, 3, asm1
12, 164x160, 4208481, 0.1, 0.2, 3, asm1
13, 164x160, 4079478, 0.1, 0.2, 3, asm1
14, 164x160, 4055753, 0.1, 0.2, 3, asm1
15, 164x160, 4061145, 0.1, 0.2, 3, asm1
16, 164x160, 4047658, 0.1, 0.2, 3, asm1
17, 164x160, 5343088, 0.1, 0.2, 3, asm1
18, 164x160, 5167971, 0.1, 0.2, 3, asm1
19, 164x160, 5138708, 0.1, 0.2, 3, asm1
20, 164x160, 4034470, 0.1, 0.2, 3, asm1
21, 164x160, 5119675, 0.1, 0.2, 3, asm1
22, 164x160, 5606618, 0.1, 0.2, 3, asm1
23, 164x160, 4031618, 0.1, 0.2, 3, asm1
24, 164x160, 5344909, 0.1, 0.2, 3, asm1
