N, WxH, Clock, Param0, Param1, Param2
1, 160x160, 4022176, 0.1, 0.2, 3, c
2, 160x160, 7129541, 0.1, 0.2, 3, c
3, 160x160, 3049312, 0.1, 0.2, 3, c
4, 160x160, 3085927, 0.1, 0.2, 3, c
5, 160x160, 6824128, 0.1, 0.2, 3, c
6, 160x160, 3900760, 0.1, 0.2, 3, c
7, 160x160, 5291890, 0.1, 0.2, 3, c
8, 160x160, 3056024, 0.1, 0.2, 3, c
9, 160x160, 4426190, 0.1, 0.2, 3, c
10, 160x160, 3916524, 0.1, 0.2, 3, c
11, 160x160, 3882355, 0.1, 0.2, 3, c
12, 160x160, 3809237, 0.1, 0.2, 3, c
13, 160x160, 3057890, 0.1, 0.2, 3, c
14, 160x160, 3057068, 0.1, 0.2, 3, c
15, 160x160, 3807234, 0.1, 0.2, 3, c
16, 160x160, 3846608, 0.1, 0.2, 3, c
17, 160x160, 3822485, 0.1, 0.2, 3, c
18, 160x160, 3047432, 0.1, 0.2, 3, c
19, 160x160, 2933572, 0.1, 0.2, 3, c
20, 160x160, 5307375, 0.1, 0.2, 3, c
21, 160x160, 2853000, 0.1, 0.2, 3, c
22, 160x160, 3760292, 0.1, 0.2, 3, c
23, 160x160, 2923088, 0.1, 0.2, 3, c
24, 160x160, 2857639, 0.1, 0.2, 3, c
25, 160x160, 5631227, 0.1, 0.2, 3, c
26, 160x160, 3052760, 0.1, 0.2, 3, c
27, 160x160, 3102676, 0.1, 0.2, 3, c
28, 160x160, 4027154, 0.1, 0.2, 3, c
29, 160x160, 4587295, 0.1, 0.2, 3, c
30, 160x160, 4228992, 0.1, 0.2, 3, c
31, 160x160, 3049046, 0.1, 0.2, 3, c
32, 160x160, 2955641, 0.1, 0.2, 3, c
33, 160x160, 2849397, 0.1, 0.2, 3, c
34, 160x160, 5226152, 0.1, 0.2, 3, c
35, 160x160, 4941755, 0.1, 0.2, 3, c
36, 160x160, 2976822, 0.1, 0.2, 3, c
37, 160x160, 2987866, 0.1, 0.2, 3, c
38, 160x160, 4018604, 0.1, 0.2, 3, c
39, 160x160, 5277400, 0.1, 0.2, 3, c
40, 160x160, 4539975, 0.1, 0.2, 3, c
41, 160x160, 3861748, 0.1, 0.2, 3, c
42, 160x160, 4655755, 0.1, 0.2, 3, c
43, 160x160, 3690659, 0.1, 0.2, 3, c
44, 160x160, 3043727, 0.1, 0.2, 3, c
45, 160x160, 4427410, 0.1, 0.2, 3, c
46, 160x160, 2980823, 0.1, 0.2, 3, c
47, 160x160, 2852009, 0.1, 0.2, 3, c
48, 160x160, 3105609, 0.1, 0.2, 3, c
49, 160x160, 6687912, 0.1, 0.2, 3, c
50, 160x160, 4072317, 0.1, 0.2, 3, c
51, 160x160, 5998334, 0.1, 0.2, 3, c
52, 160x160, 3123621, 0.1, 0.2, 3, c
53, 160x160, 3758138, 0.1, 0.2, 3, c
54, 160x160, 2971452, 0.1, 0.2, 3, c
55, 160x160, 2847491, 0.1, 0.2, 3, c
56, 160x160, 5550519, 0.1, 0.2, 3, c
57, 160x160, 7429637, 0.1, 0.2, 3, c
58, 160x160, 3030994, 0.1, 0.2, 3, c
59, 160x160, 3683742, 0.1, 0.2, 3, c
60, 160x160, 3780142, 0.1, 0.2, 3, c
61, 160x160, 5007055, 0.1, 0.2, 3, c
62, 160x160, 5203095, 0.1, 0.2, 3, c
63, 160x160, 3866772, 0.1, 0.2, 3, c
64, 160x160, 2889637, 0.1, 0.2, 3, c
65, 160x160, 3909808, 0.1, 0.2, 3, c
66, 160x160, 3092301, 0.1, 0.2, 3, c
67, 160x160, 5203320, 0.1, 0.2, 3, c
68, 160x160, 2856928, 0.1, 0.2, 3, c
69, 160x160, 4122590, 0.1, 0.2, 3, c
70, 160x160, 2852073, 0.1, 0.2, 3, c
71, 160x160, 3288667, 0.1, 0.2, 3, c
72, 160x160, 4168104, 0.1, 0.2, 3, c
73, 160x160, 3067009, 0.1, 0.2, 3, c
74, 160x160, 3836256, 0.1, 0.2, 3, c
75, 160x160, 4423310, 0.1, 0.2, 3, c
76, 160x160, 2915308, 0.1, 0.2, 3, c
77, 160x160, 2917288, 0.1, 0.2, 3, c
78, 160x160, 4588492, 0.1, 0.2, 3, c
79, 160x160, 3687792, 0.1, 0.2, 3, c
80, 160x160, 3687262, 0.1, 0.2, 3, c
81, 160x160, 3054030, 0.1, 0.2, 3, c
82, 160x160, 4466220, 0.1, 0.2, 3, c
83, 160x160, 2883435, 0.1, 0.2, 3, c
84, 160x160, 3865052, 0.1, 0.2, 3, c
85, 160x160, 2984246, 0.1, 0.2, 3, c
86, 160x160, 5857366, 0.1, 0.2, 3, c
87, 160x160, 3045191, 0.1, 0.2, 3, c
88, 160x160, 3657409, 0.1, 0.2, 3, c
89, 160x160, 4428435, 0.1, 0.2, 3, c
90, 160x160, 2905871, 0.1, 0.2, 3, c
91, 160x160, 2853591, 0.1, 0.2, 3, c
92, 160x160, 4580400, 0.1, 0.2, 3, c
93, 160x160, 3747306, 0.1, 0.2, 3, c
94, 160x160, 4210292, 0.1, 0.2, 3, c
95, 160x160, 5209310, 0.1, 0.2, 3, c
96, 160x160, 2853355, 0.1, 0.2, 3, c
97, 160x160, 2893920, 0.1, 0.2, 3, c
98, 160x160, 3999342, 0.1, 0.2, 3, c
99, 160x160, 4265188, 0.1, 0.2, 3, c
100, 160x160, 2854646, 0.1, 0.2, 3, c
1, 164x160, 5325526, 0.1, 0.2, 3, c
2, 164x160, 2690779, 0.1, 0.2, 3, c
3, 164x160, 2687988, 0.1, 0.2, 3, c
4, 164x160, 5303638, 0.1, 0.2, 3, c
5, 164x160, 3852400, 0.1, 0.2, 3, c
6, 164x160, 2686736, 0.1, 0.2, 3, c
7, 164x160, 3784196, 0.1, 0.2, 3, c
8, 164x160, 3478463, 0.1, 0.2, 3, c
9, 164x160, 2876876, 0.1, 0.2, 3, c
10, 164x160, 2691106, 0.1, 0.2, 3, c
11, 164x160, 3392034, 0.1, 0.2, 3, c
12, 164x160, 4910545, 0.1, 0.2, 3, c
13, 164x160, 3478867, 0.1, 0.2, 3, c
14, 164x160, 2873666, 0.1, 0.2, 3, c
15, 164x160, 5957407, 0.1, 0.2, 3, c
16, 164x160, 2848653, 0.1, 0.2, 3, c
17, 164x160, 3493909, 0.1, 0.2, 3, c
18, 164x160, 3891467, 0.1, 0.2, 3, c
19, 164x160, 3645049, 0.1, 0.2, 3, c
20, 164x160, 3477763, 0.1, 0.2, 3, c
21, 164x160, 3797312, 0.1, 0.2, 3, c
22, 164x160, 4224550, 0.1, 0.2, 3, c
23, 164x160, 3527992, 0.1, 0.2, 3, c
24, 164x160, 3969352, 0.1, 0.2, 3, c
25, 164x160, 2911841, 0.1, 0.2, 3, c
26, 164x160, 3564891, 0.1, 0.2, 3, c
27, 164x160, 4635015, 0.1, 0.2, 3, c
28, 164x160, 3649747, 0.1, 0.2, 3, c
29, 164x160, 2718669, 0.1, 0.2, 3, c
30, 164x160, 3715044, 0.1, 0.2, 3, c
31, 164x160, 2691836, 0.1, 0.2, 3, c
32, 164x160, 3474609, 0.1, 0.2, 3, c
33, 164x160, 5728649, 0.1, 0.2, 3, c
34, 164x160, 3473400, 0.1, 0.2, 3, c
35, 164x160, 5955000, 0.1, 0.2, 3, c
36, 164x160, 4343114, 0.1, 0.2, 3, c
37, 164x160, 2689839, 0.1, 0.2, 3, c
38, 164x160, 3715600, 0.1, 0.2, 3, c
39, 164x160, 2692100, 0.1, 0.2, 3, c
40, 164x160, 3633428, 0.1, 0.2, 3, c
41, 164x160, 2722071, 0.1, 0.2, 3, c
42, 164x160, 2878604, 0.1, 0.2, 3, c
43, 164x160, 2876421, 0.1, 0.2, 3, c
44, 164x160, 2689091, 0.1, 0.2, 3, c
45, 164x160, 3496613, 0.1, 0.2, 3, c
46, 164x160, 2773582, 0.1, 0.2, 3, c
47, 164x160, 3473479, 0.1, 0.2, 3, c
48, 164x160, 2774795, 0.1, 0.2, 3, c
49, 164x160, 3495100, 0.1, 0.2, 3, c
50, 164x160, 2688812, 0.1, 0.2, 3, c
51, 164x160, 4507915, 0.1, 0.2, 3, c
52, 164x160, 4936990, 0.1, 0.2, 3, c
53, 164x160, 2872309, 0.1, 0.2, 3, c
54, 164x160, 3627292, 0.1, 0.2, 3, c
55, 164x160, 3512462, 0.1, 0.2, 3, c
56, 164x160, 3477880, 0.1, 0.2, 3, c
57, 164x160, 2878500, 0.1, 0.2, 3, c
58, 164x160, 3475279, 0.1, 0.2, 3, c
59, 164x160, 5992557, 0.1, 0.2, 3, c
60, 164x160, 2882894, 0.1, 0.2, 3, c
61, 164x160, 3573734, 0.1, 0.2, 3, c
62, 164x160, 2690121, 0.1, 0.2, 3, c
63, 164x160, 3699091, 0.1, 0.2, 3, c
64, 164x160, 3862634, 0.1, 0.2, 3, c
65, 164x160, 2688882, 0.1, 0.2, 3, c
66, 164x160, 2689312, 0.1, 0.2, 3, c
67, 164x160, 4082320, 0.1, 0.2, 3, c
68, 164x160, 2943854, 0.1, 0.2, 3, c
69, 164x160, 3674414, 0.1, 0.2, 3, c
70, 164x160, 3478075, 0.1, 0.2, 3, c
71, 164x160, 3474837, 0.1, 0.2, 3, c
72, 164x160, 4057756, 0.1, 0.2, 3, c
73, 164x160, 2690391, 0.1, 0.2, 3, c
74, 164x160, 3476667, 0.1, 0.2, 3, c
75, 164x160, 3505096, 0.1, 0.2, 3, c
76, 164x160, 4171385, 0.1, 0.2, 3, c
77, 164x160, 2696370, 0.1, 0.2, 3, c
78, 164x160, 2943376, 0.1, 0.2, 3, c
79, 164x160, 3552659, 0.1, 0.2, 3, c
80, 164x160, 3476209, 0.1, 0.2, 3, c
81, 164x160, 2858811, 0.1, 0.2, 3, c
82, 164x160, 3985917, 0.1, 0.2, 3, c
83, 164x160, 3473942, 0.1, 0.2, 3, c
84, 164x160, 2749897, 0.1, 0.2, 3, c
85, 164x160, 3625600, 0.1, 0.2, 3, c
86, 164x160, 6977283, 0.1, 0.2, 3, c
87, 164x160, 2743483, 0.1, 0.2, 3, c
88, 164x160, 3564304, 0.1, 0.2, 3, c
89, 164x160, 5558522, 0.1, 0.2, 3, c
90, 164x160, 2690664, 0.1, 0.2, 3, c
91, 164x160, 3478696, 0.1, 0.2, 3, c
92, 164x160, 3500162, 0.1, 0.2, 3, c
93, 164x160, 3475454, 0.1, 0.2, 3, c
94, 164x160, 3003868, 0.1, 0.2, 3, c
95, 164x160, 3476446, 0.1, 0.2, 3, c
