N, WxH, Clock, Param0, Param1, Param2
1, 160x160, 3663567, 0.1, 0.2, 3, c
2, 160x160, 3017154, 0.1, 0.2, 3, c
3, 160x160, 4652640, 0.1, 0.2, 3, c
4, 160x160, 3037824, 0.1, 0.2, 3, c
5, 160x160, 5244605, 0.1, 0.2, 3, c
6, 160x160, 2952822, 0.1, 0.2, 3, c
7, 160x160, 6754933, 0.1, 0.2, 3, c
8, 160x160, 3664079, 0.1, 0.2, 3, c
9, 160x160, 3685500, 0.1, 0.2, 3, c
10, 160x160, 3032694, 0.1, 0.2, 3, c
11, 160x160, 3691571, 0.1, 0.2, 3, c
12, 160x160, 3664508, 0.1, 0.2, 3, c
13, 160x160, 2821936, 0.1, 0.2, 3, c
14, 160x160, 2927352, 0.1, 0.2, 3, c
15, 160x160, 2868948, 0.1, 0.2, 3, c
16, 160x160, 3675171, 0.1, 0.2, 3, c
17, 160x160, 2823018, 0.1, 0.2, 3, c
18, 160x160, 3811816, 0.1, 0.2, 3, c
19, 160x160, 3030151, 0.1, 0.2, 3, c
20, 160x160, 2943666, 0.1, 0.2, 3, c
21, 160x160, 3809444, 0.1, 0.2, 3, c
22, 160x160, 4420135, 0.1, 0.2, 3, c
23, 160x160, 4607435, 0.1, 0.2, 3, c
24, 160x160, 3710104, 0.1, 0.2, 3, c
25, 160x160, 5546469, 0.1, 0.2, 3, c
26, 160x160, 2914925, 0.1, 0.2, 3, c
27, 160x160, 3036100, 0.1, 0.2, 3, c
28, 160x160, 3645288, 0.1, 0.2, 3, c
29, 160x160, 3018282, 0.1, 0.2, 3, c
30, 160x160, 3854931, 0.1, 0.2, 3, c
31, 160x160, 3686984, 0.1, 0.2, 3, c
32, 160x160, 3019182, 0.1, 0.2, 3, c
33, 160x160, 2822166, 0.1, 0.2, 3, c
34, 160x160, 3645408, 0.1, 0.2, 3, c
35, 160x160, 3719084, 0.1, 0.2, 3, c
36, 160x160, 3019391, 0.1, 0.2, 3, c
37, 160x160, 2822300, 0.1, 0.2, 3, c
38, 160x160, 3802970, 0.1, 0.2, 3, c
39, 160x160, 3143698, 0.1, 0.2, 3, c
40, 160x160, 5263660, 0.1, 0.2, 3, c
41, 160x160, 3724675, 0.1, 0.2, 3, c
42, 160x160, 3691463, 0.1, 0.2, 3, c
43, 160x160, 3050483, 0.1, 0.2, 3, c
44, 160x160, 2912133, 0.1, 0.2, 3, c
45, 160x160, 3033443, 0.1, 0.2, 3, c
46, 160x160, 3017215, 0.1, 0.2, 3, c
47, 160x160, 3880333, 0.1, 0.2, 3, c
48, 160x160, 3643862, 0.1, 0.2, 3, c
49, 160x160, 5609555, 0.1, 0.2, 3, c
50, 160x160, 4373560, 0.1, 0.2, 3, c
51, 160x160, 4672221, 0.1, 0.2, 3, c
52, 160x160, 3649554, 0.1, 0.2, 3, c
53, 160x160, 4603805, 0.1, 0.2, 3, c
54, 160x160, 2837812, 0.1, 0.2, 3, c
55, 160x160, 3025556, 0.1, 0.2, 3, c
56, 160x160, 4256732, 0.1, 0.2, 3, c
57, 160x160, 3687612, 0.1, 0.2, 3, c
58, 160x160, 4661083, 0.1, 0.2, 3, c
59, 160x160, 3804888, 0.1, 0.2, 3, c
60, 160x160, 4604210, 0.1, 0.2, 3, c
61, 160x160, 3858662, 0.1, 0.2, 3, c
62, 160x160, 3663829, 0.1, 0.2, 3, c
63, 160x160, 5643944, 0.1, 0.2, 3, c
64, 160x160, 3821661, 0.1, 0.2, 3, c
65, 160x160, 3706387, 0.1, 0.2, 3, c
66, 160x160, 3646746, 0.1, 0.2, 3, c
67, 160x160, 3018121, 0.1, 0.2, 3, c
68, 160x160, 4824019, 0.1, 0.2, 3, c
69, 160x160, 3689442, 0.1, 0.2, 3, c
70, 160x160, 2855397, 0.1, 0.2, 3, c
71, 160x160, 3645825, 0.1, 0.2, 3, c
72, 160x160, 4517760, 0.1, 0.2, 3, c
73, 160x160, 2927642, 0.1, 0.2, 3, c
74, 160x160, 2889609, 0.1, 0.2, 3, c
75, 160x160, 3710666, 0.1, 0.2, 3, c
76, 160x160, 3706467, 0.1, 0.2, 3, c
77, 160x160, 6253700, 0.1, 0.2, 3, c
78, 160x160, 3720492, 0.1, 0.2, 3, c
79, 160x160, 4375530, 0.1, 0.2, 3, c
80, 160x160, 2925131, 0.1, 0.2, 3, c
81, 160x160, 3688487, 0.1, 0.2, 3, c
82, 160x160, 3690500, 0.1, 0.2, 3, c
83, 160x160, 3016934, 0.1, 0.2, 3, c
84, 160x160, 3805820, 0.1, 0.2, 3, c
85, 160x160, 4607265, 0.1, 0.2, 3, c
86, 160x160, 3646438, 0.1, 0.2, 3, c
87, 160x160, 2824067, 0.1, 0.2, 3, c
88, 160x160, 5282235, 0.1, 0.2, 3, c
89, 160x160, 2888040, 0.1, 0.2, 3, c
90, 160x160, 2836436, 0.1, 0.2, 3, c
91, 160x160, 3670266, 0.1, 0.2, 3, c
92, 160x160, 3666183, 0.1, 0.2, 3, c
93, 160x160, 5520100, 0.1, 0.2, 3, c
94, 160x160, 4020688, 0.1, 0.2, 3, c
95, 160x160, 5213050, 0.1, 0.2, 3, c
96, 160x160, 3777929, 0.1, 0.2, 3, c
97, 160x160, 5571900, 0.1, 0.2, 3, c
98, 160x160, 4704051, 0.1, 0.2, 3, c
99, 160x160, 3646158, 0.1, 0.2, 3, c
100, 160x160, 3848900, 0.1, 0.2, 3, c
1, 160x160, 4026113, 0.1, 0.2, 3, asm1
2, 160x160, 8412765, 0.1, 0.2, 3, asm1
3, 160x160, 5200788, 0.1, 0.2, 3, asm1
4, 160x160, 4057188, 0.1, 0.2, 3, asm1
5, 160x160, 5436049, 0.1, 0.2, 3, asm1
6, 160x160, 5291417, 0.1, 0.2, 3, asm1
7, 160x160, 4290867, 0.1, 0.2, 3, asm1
8, 160x160, 4223473, 0.1, 0.2, 3, asm1
9, 160x160, 4109064, 0.1, 0.2, 3, asm1
10, 160x160, 8681121, 0.1, 0.2, 3, asm1
11, 160x160, 5673796, 0.1, 0.2, 3, asm1
12, 160x160, 4233365, 0.1, 0.2, 3, asm1
13, 160x160, 6601600, 0.1, 0.2, 3, asm1
14, 160x160, 5510092, 0.1, 0.2, 3, asm1
15, 160x160, 5698080, 0.1, 0.2, 3, asm1
16, 160x160, 6598500, 0.1, 0.2, 3, asm1
17, 160x160, 7166478, 0.1, 0.2, 3, asm1
18, 160x160, 7885000, 0.1, 0.2, 3, asm1
19, 160x160, 5743388, 0.1, 0.2, 3, asm1
20, 160x160, 4060468, 0.1, 0.2, 3, asm1
21, 160x160, 7153273, 0.1, 0.2, 3, asm1
22, 160x160, 5521140, 0.1, 0.2, 3, asm1
23, 160x160, 5203741, 0.1, 0.2, 3, asm1
24, 160x160, 6634720, 0.1, 0.2, 3, asm1
25, 160x160, 4090216, 0.1, 0.2, 3, asm1
26, 160x160, 6059426, 0.1, 0.2, 3, asm1
27, 160x160, 5268662, 0.1, 0.2, 3, asm1
28, 160x160, 4120715, 0.1, 0.2, 3, asm1
29, 160x160, 5217417, 0.1, 0.2, 3, asm1
30, 160x160, 5689742, 0.1, 0.2, 3, asm1
31, 160x160, 5434072, 0.1, 0.2, 3, asm1
32, 160x160, 4158646, 0.1, 0.2, 3, asm1
33, 160x160, 5260183, 0.1, 0.2, 3, asm1
34, 160x160, 4128757, 0.1, 0.2, 3, asm1
35, 160x160, 5445052, 0.1, 0.2, 3, asm1
36, 160x160, 5718192, 0.1, 0.2, 3, asm1
37, 160x160, 4131153, 0.1, 0.2, 3, asm1
38, 160x160, 5776274, 0.1, 0.2, 3, asm1
39, 160x160, 5580676, 0.1, 0.2, 3, asm1
40, 160x160, 6238635, 0.1, 0.2, 3, asm1
41, 160x160, 4155247, 0.1, 0.2, 3, asm1
42, 160x160, 6101963, 0.1, 0.2, 3, asm1
43, 160x160, 5428924, 0.1, 0.2, 3, asm1
44, 160x160, 6008328, 0.1, 0.2, 3, asm1
45, 160x160, 4094921, 0.1, 0.2, 3, asm1
46, 160x160, 4092919, 0.1, 0.2, 3, asm1
47, 160x160, 4192092, 0.1, 0.2, 3, asm1
48, 160x160, 8318336, 0.1, 0.2, 3, asm1
49, 160x160, 10468742, 0.1, 0.2, 3, asm1
50, 160x160, 6429749, 0.1, 0.2, 3, asm1
51, 160x160, 5199592, 0.1, 0.2, 3, asm1
52, 160x160, 4084164, 0.1, 0.2, 3, asm1
53, 160x160, 5296463, 0.1, 0.2, 3, asm1
54, 160x160, 4130126, 0.1, 0.2, 3, asm1
55, 160x160, 6878390, 0.1, 0.2, 3, asm1
56, 160x160, 5201563, 0.1, 0.2, 3, asm1
57, 160x160, 5944784, 0.1, 0.2, 3, asm1
58, 160x160, 6242455, 0.1, 0.2, 3, asm1
59, 160x160, 5305337, 0.1, 0.2, 3, asm1
60, 160x160, 4122286, 0.1, 0.2, 3, asm1
61, 160x160, 7411375, 0.1, 0.2, 3, asm1
62, 160x160, 4061734, 0.1, 0.2, 3, asm1
63, 160x160, 4025191, 0.1, 0.2, 3, asm1
64, 160x160, 5262533, 0.1, 0.2, 3, asm1
65, 160x160, 5292921, 0.1, 0.2, 3, asm1
66, 160x160, 4121308, 0.1, 0.2, 3, asm1
67, 160x160, 4304233, 0.1, 0.2, 3, asm1
68, 160x160, 4127697, 0.1, 0.2, 3, asm1
69, 160x160, 4024909, 0.1, 0.2, 3, asm1
70, 160x160, 4025879, 0.1, 0.2, 3, asm1
71, 160x160, 4113126, 0.1, 0.2, 3, asm1
72, 160x160, 4322304, 0.1, 0.2, 3, asm1
