N, WxH, Clock, Param0, Param1, Param2
1, 160x160, 1602030, 0.5, 0, 0, c
2, 160x160, 1439706, 0.5, 0, 0, c
3, 160x160, 927582, 0.5, 0, 0, c
4, 160x160, 1369004, 0.5, 0, 0, c
5, 160x160, 1248779, 0.5, 0, 0, c
6, 160x160, 927612, 0.5, 0, 0, c
7, 160x160, 1198154, 0.5, 0, 0, c
8, 160x160, 1364416, 0.5, 0, 0, c
9, 160x160, 1198109, 0.5, 0, 0, c
10, 160x160, 927545, 0.5, 0, 0, c
11, 160x160, 927967, 0.5, 0, 0, c
12, 160x160, 927591, 0.5, 0, 0, c
13, 160x160, 1242492, 0.5, 0, 0, c
14, 160x160, 1198129, 0.5, 0, 0, c
15, 160x160, 999698, 0.5, 0, 0, c
16, 160x160, 928300, 0.5, 0, 0, c
17, 160x160, 928370, 0.5, 0, 0, c
18, 160x160, 1198009, 0.5, 0, 0, c
19, 160x160, 996815, 0.5, 0, 0, c
20, 160x160, 927715, 0.5, 0, 0, c
21, 160x160, 991618, 0.5, 0, 0, c
22, 160x160, 991946, 0.5, 0, 0, c
23, 160x160, 927703, 0.5, 0, 0, c
24, 160x160, 927557, 0.5, 0, 0, c
25, 160x160, 927515, 0.5, 0, 0, c
26, 160x160, 1198904, 0.5, 0, 0, c
27, 160x160, 1198196, 0.5, 0, 0, c
28, 160x160, 927600, 0.5, 0, 0, c
29, 160x160, 991452, 0.5, 0, 0, c
30, 160x160, 1797038, 0.5, 0, 0, c
31, 160x160, 1189446, 0.5, 0, 0, c
32, 160x160, 1692750, 0.5, 0, 0, c
33, 160x160, 927555, 0.5, 0, 0, c
34, 160x160, 1198195, 0.5, 0, 0, c
35, 160x160, 1796844, 0.5, 0, 0, c
36, 160x160, 927533, 0.5, 0, 0, c
37, 160x160, 1250040, 0.5, 0, 0, c
38, 160x160, 1198184, 0.5, 0, 0, c
39, 160x160, 1198054, 0.5, 0, 0, c
40, 160x160, 1691455, 0.5, 0, 0, c
41, 160x160, 1437450, 0.5, 0, 0, c
42, 160x160, 927591, 0.5, 0, 0, c
43, 160x160, 1197992, 0.5, 0, 0, c
44, 160x160, 991651, 0.5, 0, 0, c
45, 160x160, 927694, 0.5, 0, 0, c
46, 160x160, 979034, 0.5, 0, 0, c
47, 160x160, 1307132, 0.5, 0, 0, c
48, 160x160, 1250348, 0.5, 0, 0, c
49, 160x160, 1250260, 0.5, 0, 0, c
50, 160x160, 927479, 0.5, 0, 0, c
51, 160x160, 991561, 0.5, 0, 0, c
52, 160x160, 1524365, 0.5, 0, 0, c
53, 160x160, 1197804, 0.5, 0, 0, c
54, 160x160, 1243388, 0.5, 0, 0, c
55, 160x160, 1307032, 0.5, 0, 0, c
56, 160x160, 991791, 0.5, 0, 0, c
57, 160x160, 1796975, 0.5, 0, 0, c
58, 160x160, 927706, 0.5, 0, 0, c
59, 160x160, 927548, 0.5, 0, 0, c
60, 160x160, 1408536, 0.5, 0, 0, c
61, 160x160, 1197879, 0.5, 0, 0, c
62, 160x160, 1197916, 0.5, 0, 0, c
63, 160x160, 1198013, 0.5, 0, 0, c
64, 160x160, 1306792, 0.5, 0, 0, c
