N,Size,Min,Max,Sum,Average
0, 16x16,6506,17958,912149,9121
1, 32x32,13239,39665,1821915,18219
2, 48x48,27421,235588,3854316,38543
3, 64x64,45009,118190,6194932,61949
4, 80x80,67321,221212,9131372,91313
5, 96x96,106321,366858,13489810,134898
6, 112x112,127906,373650,17393345,173933
7, 128x128,166336,595954,23420358,234203
8, 144x144,211867,604000,28753171,287531
9, 160x160,278530,1067900,35606127,356061
10, 176x176,313922,817200,41331346,413313
11, 192x192,376609,1109817,47834344,478343
12, 208x208,465518,1248940,61427718,614277
13, 224x224,506848,1381517,65701853,657018
14, 240x240,581894,1758642,76267453,762674
15, 256x256,658376,1839816,83440227,834402
16, 272x272,745076,1816058,89470427,894704
17, 288x288,832861,1576759,95199249,951992
18, 304x304,929657,1889921,112952320,1129523
19, 320x320,1025791,2675933,125237546,1252375
