N,Size,Min,Max,Sum,Average
0, 16x16,5834,40741,900665,9006
1, 32x32,13394,155835,2210368,22103
2, 48x48,27667,91728,4108737,41087
3, 64x64,45746,165948,6720707,67207
4, 80x80,68628,260316,9638342,96383
5, 96x96,107506,334241,15167846,151678
6, 112x112,130179,528734,19270973,192709
7, 128x128,168152,435500,24033213,240332
8, 144x144,215218,557816,30424386,304243
9, 160x160,281569,836311,39476044,394760
10, 176x176,317467,822633,44059802,440598
11, 192x192,374927,1011808,53355107,533551
12, 208x208,467321,1209950,64122583,641225
13, 224x224,508631,1456033,77373184,773731
14, 240x240,584158,1662783,82170615,821706
15, 256x256,660879,1520912,92088703,920887
16, 272x272,749848,1967679,102280716,1022807
17, 288x288,834488,2331845,112135133,1121351
18, 304x304,930140,2900819,128018809,1280188
19, 320x320,1028170,3305970,128359355,1283593
