N,Size,Min,Max,Sum,Average
0, 16x16,5809,53191,974875,9748
1, 32x32,13646,56938,1905230,19052
2, 48x48,27654,85218,4038954,40389
3, 64x64,45812,180048,6964893,69648
4, 80x80,68376,500961,9830521,98305
5, 96x96,107372,280983,15237192,152371
6, 112x112,130164,404550,18515816,185158
7, 128x128,168200,593386,24187826,241878
8, 144x144,214985,756913,31656093,316560
9, 160x160,282133,821308,43065677,430656
10, 176x176,317591,939341,46999082,469990
11, 192x192,374681,1085788,53489249,534892
12, 208x208,467167,1277117,68751109,687511
13, 224x224,508706,1438208,72268780,722687
14, 240x240,583543,1406265,78791911,787919
15, 256x256,659179,1798616,90687996,906879
16, 272x272,749400,3773010,108330504,1083305
17, 288x288,834943,2824521,115658808,1156588
18, 304x304,930327,4087876,127351506,1273515
19, 320x320,1026903,2882892,131888931,1318889
