N,Size,Min,Max,Sum,Average
0, 16x16,39603,80865,478162,47816
1, 32x32,141403,362258,2014708,201470
2, 48x48,314997,654202,4451703,445170
3, 64x64,598570,1005680,7985918,798591
4, 80x80,872027,1715125,11682448,1168244
5, 96x96,1327736,1953205,15455009,1545500
6, 112x112,1709806,4118301,26332804,2633280
7, 128x128,2335932,4382443,28670446,2867044
8, 144x144,2885584,4871180,38863370,3886337
9, 160x160,3722085,6500819,46120730,4612073
10, 176x176,4444097,8297541,60215870,6021587
11, 192x192,5147109,11941236,70122690,7012269
12, 208x208,6121835,11972155,83174144,8317414
13, 224x224,7117907,12032445,96091262,9609126
14, 240x240,8482053,12881127,103772341,10377234
15, 256x256,9295303,16459542,125462903,12546290
16, 272x272,11322524,14858850,135161605,13516160
17, 288x288,12475957,21533108,157794592,15779459
18, 304x304,13178798,19473919,162745986,16274598
19, 320x320,15437720,21559562,187325106,18732510
