N,Size,Min,Max,Sum,Average
0, 16x16,45966,73080,589599,58959
1, 32x32,167006,431458,2589307,258930
2, 48x48,391794,585904,4331405,433140
3, 64x64,643521,1056410,7617486,761748
4, 80x80,996697,1606105,12293087,1229308
5, 96x96,1527497,3325235,20525942,2052594
6, 112x112,1941315,3540580,25405703,2540570
7, 128x128,2553781,5210957,32007276,3200727
8, 144x144,3414088,5970785,39631178,3963117
9, 160x160,4217385,8761625,55138462,5513846
10, 176x176,5347382,8579515,71617715,7161771
11, 192x192,6082503,10855366,70582088,7058208
12, 208x208,6735473,9717968,76993740,7699374
13, 224x224,8094212,12120740,93874953,9387495
14, 240x240,9393321,13446446,119193755,11919375
15, 256x256,11007975,15662800,132495501,13249550
16, 272x272,12236009,14540179,130783248,13078324
17, 288x288,14430497,19351421,164609456,16460945
18, 304x304,14657899,22863908,187227948,18722794
19, 320x320,17043748,30025423,223852846,22385284
