N,Size,Min,Max,Sum,Average
0, 16x16,5056,5056,5056,5056
1, 32x32,13894,13894,13894,13894
2, 48x48,31615,31615,31615,31615
3, 64x64,52306,52306,52306,52306
4, 80x80,99075,99075,99075,99075
5, 96x96,111021,111021,111021,111021
6, 112x112,152528,152528,152528,152528
7, 128x128,145837,145837,145837,145837
8, 144x144,185215,185215,185215,185215
9, 160x160,312524,312524,312524,312524
10, 176x176,291091,291091,291091,291091
11, 192x192,329088,329088,329088,329088
12, 208x208,513921,513921,513921,513921
13, 224x224,630027,630027,630027,630027
14, 240x240,690542,690542,690542,690542
15, 256x256,836255,836255,836255,836255
16, 272x272,1231504,1231504,1231504,1231504
17, 288x288,796091,796091,796091,796091
18, 304x304,844912,844912,844912,844912
19, 320x320,1311391,1311391,1311391,1311391
