N,Size,Min,Max,Sum,Average
0, 16x16,3728,3728,3728,3728
1, 32x32,12542,12542,12542,12542
2, 48x48,27000,27000,27000,27000
3, 64x64,52091,52091,52091,52091
4, 80x80,85373,85373,85373,85373
5, 96x96,119846,119846,119846,119846
6, 112x112,111457,111457,111457,111457
7, 128x128,207163,207163,207163,207163
8, 144x144,332350,332350,332350,332350
9, 160x160,317245,317245,317245,317245
10, 176x176,388997,388997,388997,388997
11, 192x192,377509,377509,377509,377509
12, 208x208,486734,486734,486734,486734
13, 224x224,414297,414297,414297,414297
14, 240x240,647667,647667,647667,647667
15, 256x256,1049769,1049769,1049769,1049769
16, 272x272,653818,653818,653818,653818
17, 288x288,808203,808203,808203,808203
18, 304x304,827879,827879,827879,827879
19, 320x320,1008897,1008897,1008897,1008897
