N,Size,Min,Max,Sum,Average
0, 16x16,2788,2788,2788,2788
1, 32x32,9533,9533,9533,9533
2, 48x48,30446,30446,30446,30446
3, 64x64,48724,48724,48724,48724
4, 80x80,57367,57367,57367,57367
5, 96x96,107986,107986,107986,107986
6, 112x112,111324,111324,111324,111324
7, 128x128,144960,144960,144960,144960
8, 144x144,282254,282254,282254,282254
9, 160x160,284908,284908,284908,284908
10, 176x176,255857,255857,255857,255857
11, 192x192,426962,426962,426962,426962
12, 208x208,522707,522707,522707,522707
13, 224x224,701088,701088,701088,701088
14, 240x240,524858,524858,524858,524858
15, 256x256,708558,708558,708558,708558
16, 272x272,716091,716091,716091,716091
17, 288x288,1250507,1250507,1250507,1250507
18, 304x304,919618,919618,919618,919618
19, 320x320,1484571,1484571,1484571,1484571
