N,Size,Min,Max,Sum,Average
0, 16x16,33652,33652,33652,33652
1, 16x16,11873,11873,11873,11873
2, 32x32,22675,22675,22675,22675
3, 48x48,42290,42290,42290,42290
4, 64x64,76515,76515,76515,76515
5, 80x80,113621,113621,113621,113621
6, 96x96,164376,164376,164376,164376
7, 112x112,193493,193493,193493,193493
8, 128x128,291459,291459,291459,291459
9, 144x144,323965,323965,323965,323965
10, 160x160,419176,419176,419176,419176
11, 176x176,508539,508539,508539,508539
12, 192x192,641998,641998,641998,641998
13, 208x208,690654,690654,690654,690654
14, 224x224,792495,792495,792495,792495
15, 240x240,867192,867192,867192,867192
16, 256x256,988100,988100,988100,988100
17, 272x272,1143962,1143962,1143962,1143962
18, 288x288,1497870,1497870,1497870,1497870
19, 304x304,1416256,1416256,1416256,1416256
20, 320x320,1280459,1280459,1280459,1280459
21, 336x336,1709066,1709066,1709066,1709066
22, 352x352,1931101,1931101,1931101,1931101
23, 368x368,1645235,1645235,1645235,1645235
24, 384x384,1076748,1076748,1076748,1076748
25, 400x400,2659004,2659004,2659004,2659004
26, 416x416,2944343,2944343,2944343,2944343
27, 432x432,3324785,3324785,3324785,3324785
28, 448x448,2763307,2763307,2763307,2763307
29, 464x464,3318011,3318011,3318011,3318011
30, 480x480,3537580,3537580,3537580,3537580
31, 496x496,3808603,3808603,3808603,3808603
32, 512x512,4160916,4160916,4160916,4160916
33, 528x528,3792354,3792354,3792354,3792354
34, 544x544,9625921,9625921,9625921,9625921
35, 560x560,5259960,5259960,5259960,5259960
36, 576x576,5091305,5091305,5091305,5091305
37, 592x592,6996426,6996426,6996426,6996426
38, 608x608,5915035,5915035,5915035,5915035
39, 624x624,5836556,5836556,5836556,5836556
40, 640x640,8693644,8693644,8693644,8693644
41, 656x656,13309258,13309258,13309258,13309258
42, 672x672,8502441,8502441,8502441,8502441
43, 688x688,7953218,7953218,7953218,7953218
44, 704x704,6573695,6573695,6573695,6573695
45, 720x720,7961945,7961945,7961945,7961945
46, 736x736,9836195,9836195,9836195,9836195
47, 752x752,8907632,8907632,8907632,8907632
48, 768x768,11044462,11044462,11044462,11044462
49, 784x784,12008348,12008348,12008348,12008348
50, 800x800,9763442,9763442,9763442,9763442
51, 816x816,9909494,9909494,9909494,9909494
52, 832x832,16820281,16820281,16820281,16820281
53, 848x848,12271317,12271317,12271317,12271317
54, 864x864,11714073,11714073,11714073,11714073
55, 880x880,14334760,14334760,14334760,14334760
56, 896x896,14131726,14131726,14131726,14131726
57, 912x912,22743564,22743564,22743564,22743564
58, 928x928,13550938,13550938,13550938,13550938
59, 944x944,16360048,16360048,16360048,16360048
60, 960x960,14884863,14884863,14884863,14884863
61, 976x976,15714415,15714415,15714415,15714415
62, 992x992,14506248,14506248,14506248,14506248
63, 1008x1008,16282723,16282723,16282723,16282723
64, 1024x1024,23611575,23611575,23611575,23611575
65, 1040x1040,19009753,19009753,19009753,19009753
66, 1056x1056,18292286,18292286,18292286,18292286
67, 1072x1072,20697183,20697183,20697183,20697183
68, 1088x1088,17852118,17852118,17852118,17852118
69, 1104x1104,21373631,21373631,21373631,21373631
70, 1120x1120,22797703,22797703,22797703,22797703
71, 1136x1136,33667362,33667362,33667362,33667362
72, 1152x1152,21526030,21526030,21526030,21526030
73, 1168x1168,21440900,21440900,21440900,21440900
74, 1184x1184,22366338,22366338,22366338,22366338
75, 1200x1200,25071996,25071996,25071996,25071996
76, 1216x1216,45528094,45528094,45528094,45528094
77, 1232x1232,25911387,25911387,25911387,25911387
78, 1248x1248,25591905,25591905,25591905,25591905
79, 1264x1264,28055265,28055265,28055265,28055265
80, 1280x1280,49668212,49668212,49668212,49668212
81, 1296x1296,26957033,26957033,26957033,26957033
82, 1312x1312,27574003,27574003,27574003,27574003
83, 1328x1328,36332072,36332072,36332072,36332072
84, 1344x1344,47600499,47600499,47600499,47600499
85, 1360x1360,29580448,29580448,29580448,29580448
86, 1376x1376,31002124,31002124,31002124,31002124
87, 1392x1392,38347468,38347468,38347468,38347468
88, 1408x1408,33548821,33548821,33548821,33548821
89, 1424x1424,36286278,36286278,36286278,36286278
90, 1440x1440,33491116,33491116,33491116,33491116
91, 1456x1456,35271505,35271505,35271505,35271505
92, 1472x1472,36416874,36416874,36416874,36416874
93, 1488x1488,35841474,35841474,35841474,35841474
94, 1504x1504,36143541,36143541,36143541,36143541
95, 1520x1520,37082953,37082953,37082953,37082953
96, 1536x1536,40766683,40766683,40766683,40766683
97, 1552x1552,40226241,40226241,40226241,40226241
98, 1568x1568,37803375,37803375,37803375,37803375
99, 1584x1584,40223835,40223835,40223835,40223835
100, 1600x1600,40150262,40150262,40150262,40150262
