N,Size,Min,Max,Sum,Average
0, 16x16,11005,23480,1295563,12955
1, 16x16,4190,76887,1445152,14451
2, 32x32,19765,99097,2362854,23628
3, 48x48,6412,83585,3982283,39822
4, 64x64,51185,344497,6661099,66610
5, 80x80,69815,316623,9450693,94506
6, 96x96,18393,534115,14107568,141075
7, 112x112,36957,500709,17353586,173535
8, 128x128,195469,266061,21277947,212779
9, 144x144,199789,784661,29018184,290181
10, 160x160,180836,2805559,37911740,379117
11, 176x176,48263,631261,39778197,397781
12, 192x192,187694,829081,48623801,486238
13, 208x208,109246,1343761,58619639,586196
14, 224x224,192741,1137252,65414185,654141
15, 240x240,179261,1056680,72523598,725235
16, 256x256,202053,1216758,86981714,869817
17, 272x272,10461,1300117,94641547,946415
18, 288x288,256977,3132059,106908195,1069081
19, 304x304,479014,1768314,121503464,1215034
20, 320x320,562561,3616542,133131709,1331317
