N,Size,Min,Max,Sum,Average
0, 16x16,7746,15037,880597,8805
1, 32x32,14799,53221,1760566,17605
2, 48x48,27474,75917,3121078,31210
3, 64x64,43989,92371,4990096,49900
4, 80x80,65055,105488,7065766,70657
5, 96x96,100308,212333,11179693,111796
6, 112x112,122514,260898,13222953,132229
7, 128x128,159558,252145,17511660,175116
8, 144x144,203313,405593,23265934,232659
9, 160x160,262158,528900,29556540,295565
10, 176x176,299637,619793,34195913,341959
11, 192x192,350778,630810,41406299,414062
12, 208x208,431505,972328,48796273,487962
13, 224x224,479823,699205,54558318,545583
14, 240x240,554553,1106301,66146674,661466
15, 256x256,623718,1283056,72798684,727986
16, 272x272,712221,1353882,79811397,798113
17, 288x288,790803,1584955,89301374,893013
18, 304x304,894987,1712549,97657311,976573
19, 320x320,971019,1944697,109844332,1098443
