N,Size,Min,Max,Sum,Average
0, 16x16,7827,7827,7827,7827
1, 32x32,27360,27360,27360,27360
2, 48x48,28872,28872,28872,28872
3, 64x64,46380,46380,46380,46380
4, 80x80,77580,77580,77580,77580
5, 96x96,111040,111040,111040,111040
6, 112x112,150884,150884,150884,150884
7, 128x128,166962,166962,166962,166962
8, 144x144,219724,219724,219724,219724
9, 160x160,325628,325628,325628,325628
10, 176x176,311076,311076,311076,311076
11, 192x192,374748,374748,374748,374748
12, 208x208,461388,461388,461388,461388
13, 224x224,745830,745830,745830,745830
14, 240x240,622680,622680,622680,622680
15, 256x256,741306,741306,741306,741306
16, 272x272,760508,760508,760508,760508
17, 288x288,866832,866832,866832,866832
18, 304x304,994581,994581,994581,994581
19, 320x320,1021962,1021962,1021962,1021962
0, 16x16,7500,16456,928368,9283
1, 32x32,15108,60404,1860004,18600
2, 48x48,26916,55724,3098227,30982
3, 64x64,44700,87450,5061077,50610
4, 80x80,65289,133371,7631253,76312
5, 96x96,100347,169728,11839791,118397
6, 112x112,122394,245190,14336102,143361
7, 128x128,160344,317439,18398976,183989
8, 144x144,203337,410250,24098943,240989
9, 160x160,262050,529050,29902548,299025
10, 176x176,300459,620019,35352003,353520
11, 192x192,351348,704437,40174966,401749
12, 208x208,428916,925653,50208147,502081
13, 224x224,479754,963826,55621497,556214
14, 240x240,554448,1121377,62761989,627619
15, 256x256,629538,1258230,70709525,707095
16, 272x272,711504,1437766,79566354,795663
17, 288x288,802815,1207805,86622929,866229
18, 304x304,893244,1264170,96509952,965099
19, 320x320,988305,1665702,106307831,1063078
