N,Size,Min,Max,Sum,Average
0, 16x16,34690,69494,496460,49646
1, 32x32,133942,239865,1744184,174418
2, 48x48,298657,465285,3828634,382863
3, 64x64,537609,1180071,8566351,856635
4, 80x80,893839,2139066,12112897,1211289
5, 96x96,1281552,2305580,16374509,1637450
6, 112x112,1727546,4154052,22881066,2288106
7, 128x128,2266409,3843210,26973611,2697361
8, 144x144,2917806,4687835,36973683,3697368
9, 160x160,3561137,6376451,46343064,4634306
10, 176x176,4141342,5918432,49032870,4903287
11, 192x192,4800597,8026708,61332862,6133286
12, 208x208,5845445,8605587,74062446,7406244
13, 224x224,6877130,11070925,86436331,8643633
14, 240x240,7814991,14444701,103216949,10321694
15, 256x256,9227305,16349737,116382502,11638250
16, 272x272,10295382,16933453,129923646,12992364
17, 288x288,10976794,20615624,143386711,14338671
18, 304x304,12676131,18034323,144278633,14427863
19, 320x320,13593512,20857870,176641126,17664112
