N,Size,Min,Max,Sum,Average
0, 16x16,33333,85425,500330,50033
1, 32x32,132288,264859,1866182,186618
2, 48x48,297185,498712,3868785,386878
3, 64x64,561130,817020,6969603,696960
4, 80x80,823764,2094717,12695294,1269529
5, 96x96,1268197,2041210,15334849,1533484
6, 112x112,1611997,4221542,24856975,2485697
7, 128x128,2099488,4028404,29879928,2987992
8, 144x144,2755833,5161949,33284137,3328413
9, 160x160,3383231,6100843,44930568,4493056
10, 176x176,4047667,8310409,63481788,6348178
11, 192x192,4963416,8822825,67396690,6739669
12, 208x208,5804533,10687727,80591203,8059120
13, 224x224,6522671,14173587,102001920,10200192
14, 240x240,7466222,11381263,94984937,9498493
15, 256x256,9329608,14061845,115231536,11523153
16, 272x272,10053152,15859720,127041297,12704129
17, 288x288,12135857,16498048,142931642,14293164
18, 304x304,12762324,21791219,163147918,16314791
19, 320x320,14178090,19870229,167892535,16789253
