N,Size,Min,Max,Sum,Average
0, 16x16,33582,85475,446937,44693
1, 32x32,141455,340992,1993931,199393
2, 48x48,297094,474666,3838311,383831
3, 64x64,524309,777876,6339650,633965
4, 80x80,883046,2127017,14617038,1461703
5, 96x96,1181615,2410155,17333211,1733321
6, 112x112,1718112,2643290,20277711,2027771
7, 128x128,2106100,4367216,28436284,2843628
8, 144x144,2896309,6024636,40182713,4018271
9, 160x160,3407216,6471803,42177013,4217701
10, 176x176,4167262,7574165,52029882,5202988
11, 192x192,4762512,8476081,62269449,6226944
12, 208x208,6104621,9504544,76538597,7653859
13, 224x224,6706277,12297663,90697055,9069705
14, 240x240,8099851,11288612,96670997,9667099
15, 256x256,8620660,14564698,111892732,11189273
16, 272x272,10173164,14661745,119861746,11986174
17, 288x288,11362029,16597760,147710167,14771016
18, 304x304,12182743,18602990,154598275,15459827
19, 320x320,13473249,21578905,176928869,17692886
