N,Size,Min,Max,Sum,Average
0, 16x16,3627,9385,505797,5057
1, 32x32,6184,15959,814338,8143
2, 48x48,10664,31170,1412916,14129
3, 64x64,17018,74749,2251128,22511
4, 80x80,24725,76007,3216364,32163
5, 96x96,34963,124716,4952971,49529
6, 112x112,47055,182859,6357957,63579
7, 128x128,62443,140486,8465957,84659
8, 144x144,76739,226181,10643961,106439
9, 160x160,94924,246034,12065361,120653
10, 176x176,112333,305396,16055658,160556
11, 192x192,133012,329050,17650178,176501
12, 208x208,154603,420792,21096663,210966
13, 224x224,178821,470841,23059861,230598
14, 240x240,206997,494609,27007023,270070
15, 256x256,232315,510429,30152940,301529
16, 272x272,263246,717537,34211613,342116
17, 288x288,295306,558270,34705671,347056
18, 304x304,335631,879033,39040155,390401
19, 320x320,367343,780540,43776268,437762
