N,Size,Min,Max,Sum,Average
0, 16x16,4041,9667,476112,4761
1, 32x32,7170,36974,852004,8520
2, 48x48,12615,25724,1415864,14158
3, 64x64,20265,40846,2269625,22696
4, 80x80,29046,60284,3294906,32949
5, 96x96,40554,83670,4626756,46267
6, 112x112,53688,120016,6027345,60273
7, 128x128,73290,116943,7862960,78629
8, 144x144,91803,183060,10176762,101767
9, 160x160,111885,229410,12826551,128265
10, 176x176,136089,273203,15647292,156472
11, 192x192,159759,325237,18074985,180749
12, 208x208,187653,377603,21144240,211442
13, 224x224,215787,410026,24542902,245429
14, 240x240,247323,479612,28069979,280699
15, 256x256,280683,526172,31035645,310356
16, 272x272,315729,433834,33367825,333678
17, 288x288,353460,690291,38004808,380048
18, 304x304,392499,860467,43143910,431439
19, 320x320,434409,623676,48038282,480382
