N,Size,Min,Max,Sum,Average
0, 16x16,11546,11546,11546,11546
1, 16x16,7304,7304,7304,7304
2, 32x32,11043,11043,11043,11043
3, 48x48,16668,16668,16668,16668
4, 64x64,25326,25326,25326,25326
5, 80x80,35976,35976,35976,35976
6, 96x96,48966,48966,48966,48966
7, 112x112,64288,64288,64288,64288
8, 128x128,88619,88619,88619,88619
9, 144x144,108196,108196,108196,108196
10, 160x160,127741,127741,127741,127741
11, 176x176,160898,160898,160898,160898
12, 192x192,186343,186343,186343,186343
13, 208x208,218559,218559,218559,218559
14, 224x224,356790,356790,356790,356790
15, 240x240,324773,324773,324773,324773
16, 256x256,320223,320223,320223,320223
17, 272x272,401356,401356,401356,401356
18, 288x288,348909,348909,348909,348909
19, 304x304,494443,494443,494443,494443
20, 320x320,541202,541202,541202,541202
21, 336x336,556593,556593,556593,556593
22, 352x352,608097,608097,608097,608097
23, 368x368,724615,724615,724615,724615
24, 384x384,755767,755767,755767,755767
25, 400x400,787851,787851,787851,787851
26, 416x416,839673,839673,839673,839673
27, 432x432,3180805,3180805,3180805,3180805
28, 448x448,1148158,1148158,1148158,1148158
29, 464x464,1049999,1049999,1049999,1049999
30, 480x480,1154371,1154371,1154371,1154371
31, 496x496,1277684,1277684,1277684,1277684
32, 512x512,1319893,1319893,1319893,1319893
33, 528x528,1292440,1292440,1292440,1292440
34, 544x544,1498298,1498298,1498298,1498298
35, 560x560,1580837,1580837,1580837,1580837
36, 576x576,1740438,1740438,1740438,1740438
37, 592x592,1772238,1772238,1772238,1772238
38, 608x608,1117519,1117519,1117519,1117519
39, 624x624,2093532,2093532,2093532,2093532
40, 640x640,2118873,2118873,2118873,2118873
41, 656x656,2355034,2355034,2355034,2355034
42, 672x672,2445460,2445460,2445460,2445460
43, 688x688,2471081,2471081,2471081,2471081
44, 704x704,2583843,2583843,2583843,2583843
45, 720x720,2722941,2722941,2722941,2722941
46, 736x736,2852832,2852832,2852832,2852832
47, 752x752,2938766,2938766,2938766,2938766
48, 768x768,3148461,3148461,3148461,3148461
49, 784x784,7407407,7407407,7407407,7407407
50, 800x800,3352131,3352131,3352131,3352131
51, 816x816,3545705,3545705,3545705,3545705
52, 832x832,3648096,3648096,3648096,3648096
53, 848x848,3794427,3794427,3794427,3794427
54, 864x864,4022616,4022616,4022616,4022616
55, 880x880,4153022,4153022,4153022,4153022
56, 896x896,3283355,3283355,3283355,3283355
57, 912x912,4421984,4421984,4421984,4421984
58, 928x928,4533409,4533409,4533409,4533409
59, 944x944,3970895,3970895,3970895,3970895
60, 960x960,4831006,4831006,4831006,4831006
61, 976x976,6423019,6423019,6423019,6423019
62, 992x992,6837417,6837417,6837417,6837417
63, 1008x1008,7984748,7984748,7984748,7984748
64, 1024x1024,5317775,5317775,5317775,5317775
65, 1040x1040,4295902,4295902,4295902,4295902
66, 1056x1056,5618874,5618874,5618874,5618874
67, 1072x1072,6044498,6044498,6044498,6044498
68, 1088x1088,6253125,6253125,6253125,6253125
69, 1104x1104,11000874,11000874,11000874,11000874
70, 1120x1120,8396224,8396224,8396224,8396224
71, 1136x1136,6841177,6841177,6841177,6841177
72, 1152x1152,6902447,6902447,6902447,6902447
73, 1168x1168,6980312,6980312,6980312,6980312
74, 1184x1184,9968435,9968435,9968435,9968435
75, 1200x1200,8723196,8723196,8723196,8723196
76, 1216x1216,7912739,7912739,7912739,7912739
77, 1232x1232,7298189,7298189,7298189,7298189
78, 1248x1248,14958250,14958250,14958250,14958250
79, 1264x1264,8965354,8965354,8965354,8965354
80, 1280x1280,7840919,7840919,7840919,7840919
81, 1296x1296,8312924,8312924,8312924,8312924
82, 1312x1312,8959688,8959688,8959688,8959688
83, 1328x1328,9387794,9387794,9387794,9387794
84, 1344x1344,9272161,9272161,9272161,9272161
85, 1360x1360,10157888,10157888,10157888,10157888
86, 1376x1376,10140685,10140685,10140685,10140685
87, 1392x1392,11318229,11318229,11318229,11318229
88, 1408x1408,9922655,9922655,9922655,9922655
89, 1424x1424,9741363,9741363,9741363,9741363
90, 1440x1440,11323389,11323389,11323389,11323389
91, 1456x1456,13394940,13394940,13394940,13394940
92, 1472x1472,12240870,12240870,12240870,12240870
93, 1488x1488,11740687,11740687,11740687,11740687
94, 1504x1504,14815128,14815128,14815128,14815128
95, 1520x1520,12959789,12959789,12959789,12959789
96, 1536x1536,14580243,14580243,14580243,14580243
97, 1552x1552,13394755,13394755,13394755,13394755
98, 1568x1568,13215875,13215875,13215875,13215875
99, 1584x1584,15207230,15207230,15207230,15207230
100, 1600x1600,14508743,14508743,14508743,14508743
