N,Size,Min,Max,Sum,Average
0, 16x16,46428,98972,5532684,55326
1, 32x32,185781,285680,20500197,205001
2, 48x48,426018,905984,47236499,472364
3, 64x64,765585,1566967,88799448,887994
4, 80x80,1202742,2413034,137891417,1378914
5, 96x96,1748565,3582180,205427847,2054278
6, 112x112,2381433,4772550,268808515,2688085
7, 128x128,3116328,6260977,360513250,3605132
8, 144x144,3953727,7955280,462161657,4621616
9, 160x160,4892490,9887229,573418022,5734180
10, 176x176,6001527,12039847,707697227,7076972
11, 192x192,7055136,14199771,829181735,8291817
12, 208x208,8302086,15709888,984925128,9849251
13, 224x224,9645033,19572713,1185233710,11852337
14, 240x240,11073594,22254217,1319703820,13197038
15, 256x256,12709170,21433680,1481959986,14819599
16, 272x272,14407569,21435562,1569566190,15695661
17, 288x288,16146117,20027447,1734150409,17341504
18, 304x304,17885547,32922152,1928569524,19285695
19, 320x320,19977264,29074280,2195149810,21951498
