N,Size,Min,Max,Sum,Average
0, 16x16,6515,46064,1111332,11113
1, 32x32,22342,111908,3149718,31497
2, 48x48,49912,138644,7079945,70799
3, 64x64,86488,343940,12809895,128098
4, 80x80,135230,593572,19710135,197101
5, 96x96,199236,671065,29062141,290621
6, 112x112,266839,760676,40263451,402634
7, 128x128,349818,977083,47785799,477857
8, 144x144,444852,1925600,66213313,662133
9, 160x160,552100,1515852,79856766,798567
10, 176x176,666203,2062340,91223737,912237
11, 192x192,791803,2098508,114839062,1148390
12, 208x208,931806,3216325,138192644,1381926
13, 224x224,1084322,3552481,161731817,1617318
14, 240x240,1244524,3527584,168624764,1686247
15, 256x256,1415549,4231145,211267225,2112672
16, 272x272,1599979,5688450,230824840,2308248
17, 288x288,1794236,5606163,247159941,2471599
18, 304x304,2011928,5255583,296269497,2962694
19, 320x320,2212688,5576725,328366624,3283666
