N,Size,Min,Max,Sum,Average
0, 16x16,14081,51417,1626744,16267
1, 16x16,13939,57062,1742843,17428
2, 32x32,33970,247734,4057327,40573
3, 48x48,59155,136150,7278247,72782
4, 64x64,30813,412067,12451317,124513
5, 80x80,27376,554779,19135950,191359
6, 96x96,188501,569439,28099485,280994
7, 112x112,558,745966,36727507,367275
8, 128x128,128553,780414,46192908,461929
9, 144x144,19148,1006019,60390370,603903
10, 160x160,21114,1343076,75331975,753319
11, 176x176,341869,1216156,88684444,886844
12, 192x192,62778,1521862,106013223,1060132
13, 208x208,393100,3296712,125818266,1258182
14, 224x224,467031,3816071,148722140,1487221
15, 240x240,1183902,3375597,168395974,1683959
16, 256x256,816308,3803785,189071864,1890718
17, 272x272,1112530,4705424,211167419,2111674
18, 288x288,954005,4673203,239435884,2394358
19, 304x304,1458687,4856871,272554886,2725548
20, 320x320,1648066,5455759,300107450,3001074
