N,Size,Min,Max,Sum,Average
0, 16x16,48138,130530,6162450,61624
1, 32x32,188676,373133,21655049,216550
2, 48x48,426828,920199,49142211,491422
3, 64x64,789135,1465651,88320300,883203
4, 80x80,1207269,2455325,140827952,1408279
5, 96x96,1746876,3491017,203110067,2031100
6, 112x112,2378613,4766760,275202124,2752021
7, 128x128,3117552,5513090,357652821,3576528
8, 144x144,3962679,8020936,463467541,4634675
9, 160x160,4895400,9858637,579556458,5795564
10, 176x176,5925228,9278698,683434026,6834340
11, 192x192,7061610,13383306,819342939,8193429
12, 208x208,8295009,13104214,964814822,9648148
13, 224x224,9845384,16412388,1163017330,11630173
14, 240x240,11086803,21698283,1295173038,12951730
15, 256x256,12659007,24896014,1475260784,14752607
16, 272x272,14314974,18401177,1542721592,15427215
17, 288x288,16316940,26104352,1743741195,17437411
18, 304x304,17964726,23064368,1938329823,19383298
19, 320x320,19861977,30480228,2150407115,21504071
